finding_id,org_id,obligation_id,policy_id,severity,finding_type,finding_summary,recommended_fix,owner_team,status,target_date,created_at,ground_truth_compliance_label
FND-000011,ORG-0017,OBL-000203,POL-000171,Medium,Evidence Gap,Evidence Gap: Liquidity Risk obligation is needs human review with coverage score 47.,"Update policy clause, assign owner, and add evidence workflow for: update the internal policy and maintain approval evidence.",Security,Risk Accepted,2026-04-20,2026-05-02T14:59:00,Partially Compliant
FND-000012,ORG-0011,OBL-000213,POL-000106,Medium,Expired Policy,Expired Policy: Incident Management obligation is partially covered with coverage score 73.,"Update policy clause, assign owner, and add evidence workflow for: review customer or transaction risk indicators.",Audit,Resolved,2026-02-17,2025-12-24T13:33:00,Partially Compliant
FND-000013,ORG-0007,OBL-000019,POL-000065,Low,Evidence Gap,Evidence Gap: Audit & Reporting obligation is fully covered with coverage score 85.,"Update policy clause, assign owner, and add evidence workflow for: perform periodic control testing and document exceptions.",Data Governance,In Progress,2026-07-24,2026-01-08T14:40:00,Compliant
FND-000014,ORG-0003,OBL-000542,POL-000022,Critical,Evidence Gap,Evidence Gap: Trading Risk obligation is not covered with coverage score 10.,"Update policy clause, assign owner, and add evidence workflow for: review customer or transaction risk indicators.",Security,Resolved,2026-01-19,2026-07-07T08:32:00,Non-Compliant
FND-000015,ORG-0026,OBL-000552,POL-000264,Low,Review Delay,Review Delay: Audit & Reporting obligation is fully covered with coverage score 96.,"Update policy clause, assign owner, and add evidence workflow for: update the internal policy and maintain approval evidence.",IT,Open,2026-01-13,2026-05-11T10:28:00,Compliant
FND-000016,ORG-0013,OBL-000024,POL-000127,Low,Control Operating Gap,Control Operating Gap: Customer Protection obligation is partially covered with coverage score 79.,"Update policy clause, assign owner, and add evidence workflow for: retain supporting records for audit and supervisory review.",Trading Desk,In Progress,2026-03-18,2025-11-28T08:31:00,Partially Compliant
FND-000017,ORG-0025,OBL-000236,POL-000249,High,Evidence Gap,Evidence Gap: Customer Protection obligation is partially covered with coverage score 51.,"Update policy clause, assign owner, and add evidence workflow for: notify stakeholders when material incidents occur.",IT,Open,2026-01-15,2026-01-17T18:30:00,Partially Compliant
FND-000018,ORG-0005,OBL-000173,POL-000045,Low,Policy Gap,Policy Gap: Outsourcing obligation is fully covered with coverage score 96.,"Update policy clause, assign owner, and add evidence workflow for: retain supporting records for audit and supervisory review.",Risk,Open,2026-04-25,2025-07-26T10:03:00,Compliant
FND-000019,ORG-0022,OBL-000508,POL-000224,Critical,Control Operating Gap,Control Operating Gap: Operational Resilience obligation is not covered with coverage score 17.,"Update policy clause, assign owner, and add evidence workflow for: validate system calculations against approved methodology.",Operations,In Progress,2026-08-13,2025-12-10T13:29:00,Non-Compliant
FND-000020,ORG-0020,OBL-000665,POL-000201,Low,Control Operating Gap,Control Operating Gap: Data Privacy obligation is fully covered with coverage score 91.,"Update policy clause, assign owner, and add evidence workflow for: perform periodic control testing and document exceptions.",Audit,Open,2026-04-19,2026-05-27T16:00:00,Compliant
FND-000021,ORG-0029,OBL-000664,POL-000293,Low,Policy Gap,Policy Gap: Data Privacy obligation is partially covered with coverage score 45.,"Update policy clause, assign owner, and add evidence workflow for: update the internal policy and maintain approval evidence.",Compliance,Resolved,2026-01-16,2025-10-28T11:03:00,Partially Compliant
FND-000022,ORG-0008,OBL-000123,POL-000076,High,Unmapped Obligation,Unmapped Obligation: Capital Adequacy obligation is not covered with coverage score 41.,"Update policy clause, assign owner, and add evidence workflow for: retain supporting records for audit and supervisory review.",Legal,Resolved,2026-04-21,2026-04-10T17:01:00,Non-Compliant
FND-000023,ORG-0021,OBL-000121,POL-000214,Low,Policy Gap,Policy Gap: Audit & Reporting obligation is partially covered with coverage score 80.,"Update policy clause, assign owner, and add evidence workflow for: notify stakeholders when material incidents occur.",Operations,Resolved,2026-02-21,2025-08-28T13:42:00,Partially Compliant
FND-000024,ORG-0001,OBL-000118,POL-000002,High,Policy Gap,Policy Gap: Audit & Reporting obligation is partially covered with coverage score 62.,"Update policy clause, assign owner, and add evidence workflow for: validate system calculations against approved methodology.",Audit,Open,2026-08-09,2025-09-17T12:18:00,Partially Compliant
FND-000025,ORG-0025,OBL-000446,POL-000259,Medium,Control Operating Gap,Control Operating Gap: Cybersecurity obligation is partially covered with coverage score 70.,"Update policy clause, assign owner, and add evidence workflow for: retain supporting records for audit and supervisory review.",Finance,Risk Accepted,2026-05-15,2026-01-13T09:33:00,Partially Compliant
FND-000026,ORG-0003,OBL-000533,POL-000032,High,Control Design Gap,Control Design Gap: Liquidity Risk obligation is partially covered with coverage score 78.,"Update policy clause, assign owner, and add evidence workflow for: notify stakeholders when material incidents occur.",Finance,In Progress,2026-01-20,2026-01-11T19:40:00,Partially Compliant
FND-000027,ORG-0027,OBL-000528,POL-000271,High,Evidence Gap,Evidence Gap: Cybersecurity obligation is partially covered with coverage score 51.,"Update policy clause, assign owner, and add evidence workflow for: notify stakeholders when material incidents occur.",Finance,Risk Accepted,2026-07-15,2025-12-09T15:56:00,Partially Compliant
FND-000028,ORG-0027,OBL-000065,POL-000273,High,Policy Gap,Policy Gap: Incident Management obligation is fully covered with coverage score 96.,"Update policy clause, assign owner, and add evidence workflow for: perform periodic control testing and document exceptions.",Security,In Progress,2026-01-30,2026-05-08T10:44:00,Compliant
FND-000029,ORG-0022,OBL-000467,POL-000222,Medium,Expired Policy,Expired Policy: Trading Risk obligation is fully covered with coverage score 98.,"Update policy clause, assign owner, and add evidence workflow for: perform periodic control testing and document exceptions.",Operations,Open,2026-08-25,2025-09-09T19:24:00,Compliant
FND-000030,ORG-0030,OBL-000048,POL-000307,Low,Control Operating Gap,Control Operating Gap: Cybersecurity obligation is partially covered with coverage score 45.,"Update policy clause, assign owner, and add evidence workflow for: submit a compliance confirmation report to management.",IT,In Progress,2026-06-12,2026-04-08T09:08:00,Partially Compliant
FND-000031,ORG-0019,OBL-000070,POL-000192,Medium,Control Operating Gap,Control Operating Gap: Trading Risk obligation is not covered with coverage score 17.,"Update policy clause, assign owner, and add evidence workflow for: update the internal policy and maintain approval evidence.",Audit,In Progress,2026-06-16,2026-04-23T17:55:00,Non-Compliant
FND-000032,ORG-0018,OBL-000707,POL-000184,Low,Unmapped Obligation,Unmapped Obligation: Disclosure obligation is partially covered with coverage score 65.,"Update policy clause, assign owner, and add evidence workflow for: retain supporting records for audit and supervisory review.",Trading Desk,Resolved,2025-12-14,2026-06-14T16:51:00,Partially Compliant
FND-000033,ORG-0003,OBL-000620,POL-000023,High,Unmapped Obligation,Unmapped Obligation: Operational Resilience obligation is partially covered with coverage score 49.,"Update policy clause, assign owner, and add evidence workflow for: notify stakeholders when material incidents occur.",Finance,Open,2026-05-01,2026-04-05T19:27:00,Partially Compliant
FND-000034,ORG-0021,OBL-000671,POL-000212,Medium,Review Delay,Review Delay: Incident Management obligation is partially covered with coverage score 53.,"Update policy clause, assign owner, and add evidence workflow for: submit a compliance confirmation report to management.",Trading Desk,In Progress,2026-05-13,2026-05-07T15:31:00,Partially Compliant
FND-000035,ORG-0026,OBL-000045,POL-000269,Medium,Unmapped Obligation,Unmapped Obligation: Customer Protection obligation is partially covered with coverage score 81.,"Update policy clause, assign owner, and add evidence workflow for: notify stakeholders when material incidents occur.",IT,Open,2026-07-25,2025-12-13T08:46:00,Partially Compliant
FND-000036,ORG-0025,OBL-000388,POL-000254,Low,Evidence Gap,Evidence Gap: Disclosure obligation is fully covered with coverage score 94.,"Update policy clause, assign owner, and add evidence workflow for: retain supporting records for audit and supervisory review.",Operations,Resolved,2026-03-31,2025-10-26T17:15:00,Compliant
FND-000037,ORG-0016,OBL-000091,POL-000165,Medium,Expired Policy,Expired Policy: Data Privacy obligation is not covered with coverage score 38.,"Update policy clause, assign owner, and add evidence workflow for: monitor threshold breaches and escalate unresolved cases.",Security,In Progress,2026-02-28,2026-02-11T15:35:00,Non-Compliant
FND-000038,ORG-0005,OBL-000357,POL-000051,Medium,Expired Policy,Expired Policy: Trading Risk obligation is partially covered with coverage score 63.,"Update policy clause, assign owner, and add evidence workflow for: monitor threshold breaches and escalate unresolved cases.",Data Governance,In Progress,2026-07-17,2025-11-06T18:52:00,Partially Compliant
FND-000039,ORG-0004,OBL-000652,POL-000038,Medium,Control Design Gap,Control Design Gap: KYC/AML obligation is partially covered with coverage score 57.,"Update policy clause, assign owner, and add evidence workflow for: retain supporting records for audit and supervisory review.",Security,Resolved,2025-12-02,2026-01-04T10:05:00,Partially Compliant
FND-000040,ORG-0002,OBL-000410,POL-000019,High,Evidence Gap,Evidence Gap: Capital Adequacy obligation is fully covered with coverage score 87.,"Update policy clause, assign owner, and add evidence workflow for: notify stakeholders when material incidents occur.",Legal,Open,2026-03-22,2025-07-05T18:21:00,Compliant
FND-000041,ORG-0009,OBL-000411,POL-000089,Medium,Control Operating Gap,Control Operating Gap: Capital Adequacy obligation is partially covered with coverage score 45.,"Update policy clause, assign owner, and add evidence workflow for: monitor threshold breaches and escalate unresolved cases.",IT,In Progress,2026-08-18,2026-03-29T08:10:00,Partially Compliant
FND-000042,ORG-0015,OBL-000661,POL-000158,Critical,Expired Policy,Expired Policy: Audit & Reporting obligation is not covered with coverage score 30.,"Update policy clause, assign owner, and add evidence workflow for: retain supporting records for audit and supervisory review.",Legal,In Progress,2026-05-27,2025-12-21T15:25:00,Non-Compliant
FND-000043,ORG-0017,OBL-000744,POL-000171,High,Evidence Gap,Evidence Gap: Operational Resilience obligation is partially covered with coverage score 68.,"Update policy clause, assign owner, and add evidence workflow for: monitor threshold breaches and escalate unresolved cases.",Compliance,In Progress,2026-09-02,2025-10-22T15:52:00,Partially Compliant
FND-000044,ORG-0006,OBL-000752,POL-000053,Low,Expired Policy,Expired Policy: Audit & Reporting obligation is fully covered with coverage score 92.,"Update policy clause, assign owner, and add evidence workflow for: perform periodic control testing and document exceptions.",Compliance,In Progress,2026-03-07,2026-06-19T18:41:00,Compliant
FND-000045,ORG-0003,OBL-000170,POL-000033,Low,Unmapped Obligation,Unmapped Obligation: KYC/AML obligation is partially covered with coverage score 50.,"Update policy clause, assign owner, and add evidence workflow for: monitor threshold breaches and escalate unresolved cases.",Security,Open,2026-05-06,2025-12-01T17:05:00,Partially Compliant
FND-000046,ORG-0003,OBL-000535,POL-000030,Medium,Control Operating Gap,Control Operating Gap: Liquidity Risk obligation is partially covered with coverage score 67.,"Update policy clause, assign owner, and add evidence workflow for: validate system calculations against approved methodology.",Security,Resolved,2026-07-21,2025-07-05T18:34:00,Partially Compliant
FND-000047,ORG-0027,OBL-000133,POL-000270,Critical,Control Design Gap,Control Design Gap: Cybersecurity obligation is not covered with coverage score 23.,"Update policy clause, assign owner, and add evidence workflow for: perform periodic control testing and document exceptions.",IT,Resolved,2026-08-07,2025-09-05T09:45:00,Non-Compliant
FND-000048,ORG-0026,OBL-000053,POL-000265,Medium,Expired Policy,Expired Policy: Disclosure obligation is not covered with coverage score 38.,"Update policy clause, assign owner, and add evidence workflow for: validate system calculations against approved methodology.",Legal,Open,2026-08-28,2026-05-23T13:53:00,Non-Compliant
FND-000049,ORG-0002,OBL-000344,POL-000013,High,Evidence Gap,Evidence Gap: Audit & Reporting obligation is not covered with coverage score 10.,"Update policy clause, assign owner, and add evidence workflow for: notify stakeholders when material incidents occur.",Security,Open,2026-06-10,2026-07-09T08:39:00,Non-Compliant
FND-000050,ORG-0023,OBL-000098,POL-000232,Medium,Evidence Gap,Evidence Gap: Capital Adequacy obligation is needs human review with coverage score 55.,"Update policy clause, assign owner, and add evidence workflow for: update the internal policy and maintain approval evidence.",Finance,Risk Accepted,2026-03-02,2025-11-17T08:32:00,Partially Compliant
FND-000051,ORG-0015,OBL-000299,POL-000152,Low,Unmapped Obligation,Unmapped Obligation: Operational Resilience obligation is partially covered with coverage score 60.,"Update policy clause, assign owner, and add evidence workflow for: update the internal policy and maintain approval evidence.",Trading Desk,Open,2026-04-06,2025-09-15T09:23:00,Partially Compliant
FND-000052,ORG-0020,OBL-000432,POL-000199,Low,Control Operating Gap,Control Operating Gap: Customer Protection obligation is fully covered with coverage score 82.,"Update policy clause, assign owner, and add evidence workflow for: perform periodic control testing and document exceptions.",Compliance,Open,2026-01-09,2026-03-22T15:07:00,Compliant
FND-000053,ORG-0026,OBL-000670,POL-000269,Medium,Policy Gap,Policy Gap: Liquidity Risk obligation is needs human review with coverage score 64.,"Update policy clause, assign owner, and add evidence workflow for: submit a compliance confirmation report to management.",Security,Resolved,2026-02-20,2026-07-05T08:30:00,Partially Compliant
FND-000054,ORG-0015,OBL-000219,POL-000156,High,Expired Policy,Expired Policy: Trading Risk obligation is fully covered with coverage score 86.,"Update policy clause, assign owner, and add evidence workflow for: validate system calculations against approved methodology.",Audit,In Progress,2025-12-12,2025-09-18T10:05:00,Compliant
FND-000055,ORG-0001,OBL-000682,POL-000005,Critical,Review Delay,Review Delay: Disclosure obligation is needs human review with coverage score 33.,"Update policy clause, assign owner, and add evidence workflow for: monitor threshold breaches and escalate unresolved cases.",Finance,Open,2025-12-18,2025-10-09T12:24:00,Non-Compliant
FND-000056,ORG-0001,OBL-000124,POL-000006,Low,Unmapped Obligation,Unmapped Obligation: Capital Adequacy obligation is partially covered with coverage score 68.,"Update policy clause, assign owner, and add evidence workflow for: monitor threshold breaches and escalate unresolved cases.",Risk,In Progress,2026-05-01,2025-08-19T15:57:00,Partially Compliant
FND-000057,ORG-0011,OBL-000404,POL-000107,High,Control Design Gap,Control Design Gap: Data Privacy obligation is partially covered with coverage score 75.,"Update policy clause, assign owner, and add evidence workflow for: notify stakeholders when material incidents occur.",Finance,Resolved,2026-05-26,2026-01-06T12:20:00,Partially Compliant
FND-000058,ORG-0013,OBL-000576,POL-000136,Low,Evidence Gap,Evidence Gap: Capital Adequacy obligation is partially covered with coverage score 48.,"Update policy clause, assign owner, and add evidence workflow for: review customer or transaction risk indicators.",Operations,Resolved,2026-05-24,2026-01-06T17:04:00,Partially Compliant
FND-000059,ORG-0003,OBL-000721,POL-000025,Critical,Control Design Gap,Control Design Gap: Audit & Reporting obligation is not covered with coverage score 36.,"Update policy clause, assign owner, and add evidence workflow for: monitor threshold breaches and escalate unresolved cases.",Audit,Open,2026-06-29,2026-01-27T11:01:00,Non-Compliant
FND-000060,ORG-0018,OBL-000616,POL-000182,Medium,Evidence Gap,Evidence Gap: Cybersecurity obligation is partially covered with coverage score 65.,"Update policy clause, assign owner, and add evidence workflow for: update the internal policy and maintain approval evidence.",IT,In Progress,2026-05-07,2026-03-21T14:21:00,Partially Compliant
FND-000061,ORG-0017,OBL-000200,POL-000170,Low,Control Operating Gap,Control Operating Gap: Incident Management obligation is not covered with coverage score 19.,"Update policy clause, assign owner, and add evidence workflow for: review customer or transaction risk indicators.",Security,Open,2026-05-16,2025-10-03T13:54:00,Non-Compliant
FND-000062,ORG-0016,OBL-000369,POL-000161,Medium,Control Operating Gap,Control Operating Gap: KYC/AML obligation is partially covered with coverage score 78.,"Update policy clause, assign owner, and add evidence workflow for: review customer or transaction risk indicators.",Data Governance,Open,2026-04-12,2026-02-25T08:51:00,Partially Compliant
FND-000063,ORG-0020,OBL-000477,POL-000202,Medium,Control Operating Gap,Control Operating Gap: Liquidity Risk obligation is needs human review with coverage score 36.,"Update policy clause, assign owner, and add evidence workflow for: validate system calculations against approved methodology.",Audit,In Progress,2026-08-03,2026-03-09T16:40:00,Non-Compliant
FND-000064,ORG-0007,OBL-000081,POL-000072,Low,Expired Policy,Expired Policy: Cybersecurity obligation is partially covered with coverage score 77.,"Update policy clause, assign owner, and add evidence workflow for: retain supporting records for audit and supervisory review.",Operations,Open,2026-05-08,2025-12-26T10:17:00,Partially Compliant
FND-000065,ORG-0022,OBL-000601,POL-000223,Critical,Control Design Gap,Control Design Gap: Operational Resilience obligation is partially covered with coverage score 75.,"Update policy clause, assign owner, and add evidence workflow for: validate system calculations against approved methodology.",IT,Risk Accepted,2026-04-20,2026-04-28T09:43:00,Partially Compliant
FND-000066,ORG-0016,OBL-000503,POL-000161,Low,Policy Gap,Policy Gap: Incident Management obligation is fully covered with coverage score 94.,"Update policy clause, assign owner, and add evidence workflow for: submit a compliance confirmation report to management.",Audit,Open,2026-04-15,2025-10-12T13:47:00,Compliant
FND-000067,ORG-0019,OBL-000546,POL-000188,Medium,Control Design Gap,Control Design Gap: Cybersecurity obligation is fully covered with coverage score 86.,"Update policy clause, assign owner, and add evidence workflow for: retain supporting records for audit and supervisory review.",Compliance,Risk Accepted,2026-06-12,2025-10-18T17:09:00,Compliant
FND-000068,ORG-0007,OBL-000164,POL-000067,High,Control Design Gap,Control Design Gap: Cybersecurity obligation is partially covered with coverage score 52.,"Update policy clause, assign owner, and add evidence workflow for: notify stakeholders when material incidents occur.",Finance,Open,2026-03-15,2025-09-16T15:05:00,Partially Compliant
FND-000069,ORG-0008,OBL-000265,POL-000082,Low,Control Design Gap,Control Design Gap: Operational Resilience obligation is partially covered with coverage score 75.,"Update policy clause, assign owner, and add evidence workflow for: submit a compliance confirmation report to management.",Audit,In Progress,2026-01-23,2025-09-30T14:49:00,Partially Compliant
FND-000070,ORG-0001,OBL-000713,POL-000007,High,Control Design Gap,Control Design Gap: Disclosure obligation is fully covered with coverage score 96.,"Update policy clause, assign owner, and add evidence workflow for: validate system calculations against approved methodology.",Operations,Risk Accepted,2026-04-15,2026-03-02T19:01:00,Compliant
FND-000071,ORG-0007,OBL-000022,POL-000068,High,Review Delay,Review Delay: Audit & Reporting obligation is partially covered with coverage score 60.,"Update policy clause, assign owner, and add evidence workflow for: notify stakeholders when material incidents occur.",Risk,In Progress,2026-02-20,2026-05-31T08:23:00,Partially Compliant
FND-000072,ORG-0005,OBL-000574,POL-000048,Low,Review Delay,Review Delay: Capital Adequacy obligation is not covered with coverage score 42.,"Update policy clause, assign owner, and add evidence workflow for: notify stakeholders when material incidents occur.",Risk,Risk Accepted,2026-03-19,2025-11-03T17:43:00,Non-Compliant
FND-000073,ORG-0014,OBL-000100,POL-000144,Low,Evidence Gap,Evidence Gap: Data Privacy obligation is partially covered with coverage score 46.,"Update policy clause, assign owner, and add evidence workflow for: validate system calculations against approved methodology.",Finance,Open,2026-03-23,2025-09-10T16:27:00,Partially Compliant
FND-000074,ORG-0007,OBL-000168,POL-000071,Low,Unmapped Obligation,Unmapped Obligation: KYC/AML obligation is partially covered with coverage score 48.,"Update policy clause, assign owner, and add evidence workflow for: notify stakeholders when material incidents occur.",Audit,Open,2026-04-30,2026-04-23T19:06:00,Partially Compliant
FND-000075,ORG-0025,OBL-000507,POL-000255,Low,Expired Policy,Expired Policy: Operational Resilience obligation is partially covered with coverage score 71.,"Update policy clause, assign owner, and add evidence workflow for: submit a compliance confirmation report to management.",Operations,Open,2025-12-14,2026-02-07T10:55:00,Partially Compliant
FND-000076,ORG-0014,OBL-000185,POL-000144,High,Review Delay,Review Delay: Trading Risk obligation is fully covered with coverage score 91.,"Update policy clause, assign owner, and add evidence workflow for: update the internal policy and maintain approval evidence.",Legal,Open,2026-01-29,2026-02-01T15:36:00,Compliant
FND-000077,ORG-0020,OBL-000310,POL-000199,Medium,Policy Gap,Policy Gap: Capital Adequacy obligation is partially covered with coverage score 50.,"Update policy clause, assign owner, and add evidence workflow for: retain supporting records for audit and supervisory review.",Audit,In Progress,2026-08-09,2026-05-17T09:06:00,Partially Compliant
FND-000078,ORG-0005,OBL-000085,POL-000051,High,Expired Policy,Expired Policy: Trading Risk obligation is partially covered with coverage score 69.,"Update policy clause, assign owner, and add evidence workflow for: monitor threshold breaches and escalate unresolved cases.",Legal,Open,2026-05-17,2026-04-19T09:15:00,Partially Compliant
FND-000079,ORG-0010,OBL-000650,POL-000095,High,Control Design Gap,Control Design Gap: KYC/AML obligation is partially covered with coverage score 63.,"Update policy clause, assign owner, and add evidence workflow for: monitor threshold breaches and escalate unresolved cases.",Operations,Open,2026-06-10,2025-11-07T13:27:00,Partially Compliant
FND-000080,ORG-0028,OBL-000182,POL-000282,Medium,Expired Policy,Expired Policy: Customer Protection obligation is needs human review with coverage score 68.,"Update policy clause, assign owner, and add evidence workflow for: monitor threshold breaches and escalate unresolved cases.",IT,Resolved,2026-02-09,2026-07-06T12:22:00,Partially Compliant
FND-000081,ORG-0021,OBL-000680,POL-000205,High,Unmapped Obligation,Unmapped Obligation: Disclosure obligation is partially covered with coverage score 57.,"Update policy clause, assign owner, and add evidence workflow for: perform periodic control testing and document exceptions.",Compliance,Resolved,2025-12-15,2026-04-24T12:06:00,Partially Compliant
FND-000082,ORG-0028,OBL-000438,POL-000287,Medium,Control Operating Gap,Control Operating Gap: Disclosure obligation is partially covered with coverage score 71.,"Update policy clause, assign owner, and add evidence workflow for: notify stakeholders when material incidents occur.",Risk,Resolved,2026-07-08,2026-04-11T10:34:00,Partially Compliant
FND-000083,ORG-0020,OBL-000187,POL-000196,High,Review Delay,Review Delay: Trading Risk obligation is partially covered with coverage score 49.,"Update policy clause, assign owner, and add evidence workflow for: perform periodic control testing and document exceptions.",Legal,Open,2026-02-04,2025-11-29T12:24:00,Partially Compliant
FND-000084,ORG-0001,OBL-000104,POL-000010,Low,Evidence Gap,Evidence Gap: Disclosure obligation is fully covered with coverage score 89.,"Update policy clause, assign owner, and add evidence workflow for: submit a compliance confirmation report to management.",Finance,Open,2026-08-07,2025-07-06T11:33:00,Compliant
FND-000085,ORG-0009,OBL-000582,POL-000089,Medium,Unmapped Obligation,Unmapped Obligation: Capital Adequacy obligation is partially covered with coverage score 51.,"Update policy clause, assign owner, and add evidence workflow for: perform periodic control testing and document exceptions.",Security,In Progress,2026-07-13,2025-10-30T10:45:00,Partially Compliant
FND-000086,ORG-0007,OBL-000284,POL-000071,Low,Evidence Gap,Evidence Gap: Liquidity Risk obligation is needs human review with coverage score 60.,"Update policy clause, assign owner, and add evidence workflow for: monitor threshold breaches and escalate unresolved cases.",Legal,Open,2026-07-10,2025-10-14T15:55:00,Partially Compliant
FND-000087,ORG-0023,OBL-000622,POL-000227,Medium,Review Delay,Review Delay: Operational Resilience obligation is partially covered with coverage score 50.,"Update policy clause, assign owner, and add evidence workflow for: retain supporting records for audit and supervisory review.",Risk,Open,2026-04-08,2025-08-26T12:21:00,Partially Compliant
FND-000088,ORG-0026,OBL-000474,POL-000262,High,Expired Policy,Expired Policy: Capital Adequacy obligation is fully covered with coverage score 83.,"Update policy clause, assign owner, and add evidence workflow for: monitor threshold breaches and escalate unresolved cases.",Trading Desk,Risk Accepted,2026-09-04,2025-11-24T15:22:00,Compliant
FND-000089,ORG-0029,OBL-000490,POL-000297,High,Control Operating Gap,Control Operating Gap: Data Privacy obligation is partially covered with coverage score 75.,"Update policy clause, assign owner, and add evidence workflow for: perform periodic control testing and document exceptions.",Finance,Open,2026-04-19,2025-11-18T09:00:00,Partially Compliant
FND-000090,ORG-0018,OBL-000240,POL-000180,High,Policy Gap,Policy Gap: Trading Risk obligation is partially covered with coverage score 58.,"Update policy clause, assign owner, and add evidence workflow for: notify stakeholders when material incidents occur.",Finance,In Progress,2026-03-04,2025-12-30T11:11:00,Partially Compliant
FND-000091,ORG-0022,OBL-000443,POL-000223,Medium,Unmapped Obligation,Unmapped Obligation: Cybersecurity obligation is partially covered with coverage score 48.,"Update policy clause, assign owner, and add evidence workflow for: validate system calculations against approved methodology.",Legal,Open,2026-04-17,2026-06-08T16:48:00,Partially Compliant
FND-000092,ORG-0027,OBL-000237,POL-000273,High,Policy Gap,Policy Gap: Customer Protection obligation is not covered with coverage score 1.,"Update policy clause, assign owner, and add evidence workflow for: notify stakeholders when material incidents occur.",Audit,Risk Accepted,2026-06-07,2025-12-14T08:48:00,Non-Compliant
FND-000093,ORG-0012,OBL-000472,POL-000119,Medium,Unmapped Obligation,Unmapped Obligation: Capital Adequacy obligation is partially covered with coverage score 46.,"Update policy clause, assign owner, and add evidence workflow for: update the internal policy and maintain approval evidence.",Audit,In Progress,2026-05-12,2025-11-16T15:08:00,Partially Compliant
FND-000094,ORG-0017,OBL-000746,POL-000176,Medium,Unmapped Obligation,Unmapped Obligation: Operational Resilience obligation is fully covered with coverage score 83.,"Update policy clause, assign owner, and add evidence workflow for: monitor threshold breaches and escalate unresolved cases.",Trading Desk,Open,2026-07-08,2026-02-05T10:22:00,Compliant
FND-000095,ORG-0024,OBL-000673,POL-000246,High,Policy Gap,Policy Gap: Incident Management obligation is partially covered with coverage score 49.,"Update policy clause, assign owner, and add evidence workflow for: review customer or transaction risk indicators.",Risk,Resolved,2026-02-27,2025-10-07T08:19:00,Partially Compliant
FND-000096,ORG-0008,OBL-000643,POL-000081,High,Control Operating Gap,Control Operating Gap: Data Privacy obligation is needs human review with coverage score 70.,"Update policy clause, assign owner, and add evidence workflow for: validate system calculations against approved methodology.",Risk,Open,2026-04-26,2026-04-10T15:10:00,Partially Compliant
