evidence_id,org_id,obligation_id,control_id,evidence_type,evidence_title,evidence_date,submitted_by,status,reviewer_comments,storage_uri,evidence_score,hash
EVD-0000014,ORG-0014,OBL-000685,CTL-000048,Audit sample,Cybersecurity evidence package 14,2025-03-06,USR-00053,Accepted,Evidence is sufficient and traceable.,synthetic://niyamguard/evidence/ORG-0014/14,78,e99b2fb874d1fa92dff14a536859fa3c
EVD-0000015,ORG-0014,OBL-000685,CTL-000048,Audit sample,Cybersecurity evidence package 15,2026-06-20,USR-00053,Accepted,Evidence is sufficient and traceable.,synthetic://niyamguard/evidence/ORG-0014/15,86,f29ff9e869ebe803bf04465057c62dcf
EVD-0000016,ORG-0014,OBL-000685,CTL-000048,Audit sample,Cybersecurity evidence package 16,2025-06-19,USR-00073,Rejected,Evidence requires follow-up because status is rejected.,synthetic://niyamguard/evidence/ORG-0014/16,25,4cdd30db4759b6d82e3b0d77f391beef
EVD-0000017,ORG-0002,OBL-000410,CTL-001422,Access review,Capital Adequacy evidence package 17,2026-01-09,USR-00086,Accepted,Evidence is sufficient and traceable.,synthetic://niyamguard/evidence/ORG-0002/17,86,1da49aa0dbc100a6976bd96472406d7e
EVD-0000018,ORG-0002,OBL-000410,CTL-001422,Access review,Capital Adequacy evidence package 18,2024-12-13,USR-00118,Accepted,Evidence is sufficient and traceable.,synthetic://niyamguard/evidence/ORG-0002/18,83,7904dae26d9866326a21d0d2f4169e31
EVD-0000019,ORG-0014,OBL-000100,CTL-000637,Audit sample,Data Privacy evidence package 19,2025-03-22,USR-00009,Accepted,Evidence is sufficient and traceable.,synthetic://niyamguard/evidence/ORG-0014/19,93,851921d2dd0cd9d70b7d8d8ccf54500f
EVD-0000020,ORG-0002,OBL-000207,CTL-001131,Risk assessment,Customer Protection evidence package 20,2025-09-10,USR-00135,Needs Clarification,Evidence requires follow-up because status is needs clarification.,synthetic://niyamguard/evidence/ORG-0002/20,61,9d64b717b8f1eff7aa184bab76610c96
EVD-0000021,ORG-0010,OBL-000637,CTL-000876,Audit sample,Disclosure evidence package 21,2024-11-29,USR-00033,Needs Clarification,Evidence requires follow-up because status is needs clarification.,synthetic://niyamguard/evidence/ORG-0010/21,69,e180204a7564526f895d17cdbbdf0b9c
EVD-0000022,ORG-0017,OBL-000747,CTL-000838,Vendor attestation,Operational Resilience evidence package 22,2026-05-20,USR-00131,Expired,Evidence requires follow-up because status is expired.,synthetic://niyamguard/evidence/ORG-0017/22,28,0210180847ca5906a87eda00060ce4be
EVD-0000023,ORG-0017,OBL-000747,CTL-000838,Vendor attestation,Operational Resilience evidence package 23,2025-05-17,USR-00142,Accepted,Evidence is sufficient and traceable.,synthetic://niyamguard/evidence/ORG-0017/23,91,490cdbf1f688227145ba6a037d58defe
EVD-0000024,ORG-0017,OBL-000747,CTL-000838,Vendor attestation,Operational Resilience evidence package 24,2025-08-24,USR-00141,Accepted,Evidence is sufficient and traceable.,synthetic://niyamguard/evidence/ORG-0017/24,95,9cb5e408322da321e5f4d7f91d794a3e
EVD-0000025,ORG-0007,OBL-000748,CTL-000991,Vendor attestation,Customer Protection evidence package 25,2026-03-28,USR-00035,Accepted,Evidence is sufficient and traceable.,synthetic://niyamguard/evidence/ORG-0007/25,97,5819204d49386d222a2d8260c6578298
EVD-0000026,ORG-0007,OBL-000748,CTL-000991,Vendor attestation,Customer Protection evidence package 26,2025-09-08,USR-00035,Accepted,Evidence is sufficient and traceable.,synthetic://niyamguard/evidence/ORG-0007/26,90,dd10ee2f06dec07826e2bdbf807f7655
EVD-0000027,ORG-0024,OBL-000106,CTL-000168,Access review,Disclosure evidence package 27,2025-05-30,USR-00138,Expired,Evidence requires follow-up because status is expired.,synthetic://niyamguard/evidence/ORG-0024/27,39,4064068c20bb70c3195037bae804400d
EVD-0000028,ORG-0024,OBL-000106,CTL-000168,Access review,Disclosure evidence package 28,2025-09-26,USR-00123,Needs Clarification,Evidence requires follow-up because status is needs clarification.,synthetic://niyamguard/evidence/ORG-0024/28,73,0c50d9ae22e25436b3af953e86bebd8d
EVD-0000029,ORG-0003,OBL-000207,CTL-001069,Risk assessment,Customer Protection evidence package 29,2025-05-03,USR-00117,Accepted,Evidence is sufficient and traceable.,synthetic://niyamguard/evidence/ORG-0003/29,98,e88ff69425331dc66dccfdb189868e4b
EVD-0000030,ORG-0003,OBL-000207,CTL-001069,Risk assessment,Customer Protection evidence package 30,2025-09-27,USR-00117,Accepted,Evidence is sufficient and traceable.,synthetic://niyamguard/evidence/ORG-0003/30,82,2e0c43045dd8754824fcd6f44c7696fc
EVD-0000031,ORG-0003,OBL-000207,CTL-001069,Risk assessment,Customer Protection evidence package 31,2025-12-23,USR-00107,Missing,Evidence requires follow-up because status is missing.,synthetic://niyamguard/evidence/ORG-0003/31,0,994fba0f620676a8435689cd9cc6ea5f
EVD-0000032,ORG-0005,OBL-000324,CTL-000857,Vendor attestation,Operational Resilience evidence package 32,2025-06-30,USR-00101,Expired,Evidence requires follow-up because status is expired.,synthetic://niyamguard/evidence/ORG-0005/32,32,0e8985a74cd8547aebb9272195feb106
EVD-0000033,ORG-0005,OBL-000324,CTL-000857,Vendor attestation,Operational Resilience evidence package 33,2024-12-13,USR-00101,Needs Clarification,Evidence requires follow-up because status is needs clarification.,synthetic://niyamguard/evidence/ORG-0005/33,63,2771b0eb97ae3bd036deebbc2e6c66fe
EVD-0000034,ORG-0024,OBL-000218,CTL-000527,Risk assessment,Trading Risk evidence package 34,2025-01-24,USR-00031,Expired,Evidence requires follow-up because status is expired.,synthetic://niyamguard/evidence/ORG-0024/34,44,43c9928ce109966b9afdcfa90300cf75
EVD-0000035,ORG-0017,OBL-000305,CTL-000560,System report,Outsourcing evidence package 35,2025-11-26,USR-00142,Rejected,Evidence requires follow-up because status is rejected.,synthetic://niyamguard/evidence/ORG-0017/35,21,8437f03440daf0aecd6e4cf3c05b5cbe
EVD-0000036,ORG-0017,OBL-000305,CTL-000560,System report,Outsourcing evidence package 36,2025-08-01,USR-00131,Needs Clarification,Evidence requires follow-up because status is needs clarification.,synthetic://niyamguard/evidence/ORG-0017/36,69,12c6059715a95c8a0626479cb251fbe6
EVD-0000037,ORG-0028,OBL-000263,CTL-000306,Policy document,Data Privacy evidence package 37,2025-10-30,USR-00008,Rejected,Evidence requires follow-up because status is rejected.,synthetic://niyamguard/evidence/ORG-0028/37,29,83f8465fc1db00218d6c6474f449f111
EVD-0000038,ORG-0028,OBL-000263,CTL-000306,Policy document,Data Privacy evidence package 38,2025-12-28,USR-00008,Needs Clarification,Evidence requires follow-up because status is needs clarification.,synthetic://niyamguard/evidence/ORG-0028/38,69,2f5a71a5bd235d0f0a9e97ab186254cc
EVD-0000039,ORG-0028,OBL-000263,CTL-000306,Policy document,Data Privacy evidence package 39,2026-05-03,USR-00008,Accepted,Evidence is sufficient and traceable.,synthetic://niyamguard/evidence/ORG-0028/39,87,9c930856d04a8814bbcb6ec530457732
EVD-0000040,ORG-0027,OBL-000417,CTL-000888,Transaction report,Customer Protection evidence package 40,2024-11-24,USR-00041,Needs Clarification,Evidence requires follow-up because status is needs clarification.,synthetic://niyamguard/evidence/ORG-0027/40,67,3701b56c1e22b8589c8df6787b711037
EVD-0000041,ORG-0027,OBL-000417,CTL-000888,Transaction report,Customer Protection evidence package 41,2026-06-18,USR-00041,Accepted,Evidence is sufficient and traceable.,synthetic://niyamguard/evidence/ORG-0027/41,84,9af0fa1790f49e3227536ee674231059
EVD-0000042,ORG-0027,OBL-000417,CTL-000888,Transaction report,Customer Protection evidence package 42,2026-03-16,USR-00079,Rejected,Evidence requires follow-up because status is rejected.,synthetic://niyamguard/evidence/ORG-0027/42,30,61e24320d6275ba3e5cc2a05ee26329e
EVD-0000043,ORG-0001,OBL-000299,CTL-000259,System report,Operational Resilience evidence package 43,2024-10-29,USR-00054,Expired,Evidence requires follow-up because status is expired.,synthetic://niyamguard/evidence/ORG-0001/43,55,e407a616ae727efe8737d411b90f177d
EVD-0000044,ORG-0001,OBL-000299,CTL-000259,System report,Operational Resilience evidence package 44,2025-01-13,USR-00076,Missing,Evidence requires follow-up because status is missing.,synthetic://niyamguard/evidence/ORG-0001/44,0,e2629fd39c4b593b6dba18bd44d52527
EVD-0000045,ORG-0001,OBL-000299,CTL-000259,System report,Operational Resilience evidence package 45,2024-11-27,USR-00054,Accepted,Evidence is sufficient and traceable.,synthetic://niyamguard/evidence/ORG-0001/45,94,64de0733dcb642616980c49066432ae5
EVD-0000046,ORG-0029,OBL-000608,CTL-000599,Audit sample,Cybersecurity evidence package 46,2025-06-05,USR-00025,Accepted,Evidence is sufficient and traceable.,synthetic://niyamguard/evidence/ORG-0029/46,96,e6ed06018894d7cca1404011817dc223
EVD-0000047,ORG-0029,OBL-000608,CTL-000599,Audit sample,Cybersecurity evidence package 47,2025-06-06,USR-00025,Expired,Evidence requires follow-up because status is expired.,synthetic://niyamguard/evidence/ORG-0029/47,45,a4687bebc5c480d7aec019c1e0637445
EVD-0000048,ORG-0029,OBL-000608,CTL-000599,Audit sample,Cybersecurity evidence package 48,2025-01-16,USR-00025,Accepted,Evidence is sufficient and traceable.,synthetic://niyamguard/evidence/ORG-0029/48,78,921d745deb2cc30c39ee2f8bbe562265
EVD-0000049,ORG-0009,OBL-000747,CTL-000616,Vendor attestation,Operational Resilience evidence package 49,2026-03-06,USR-00040,Accepted,Evidence is sufficient and traceable.,synthetic://niyamguard/evidence/ORG-0009/49,85,780e8a2e4afdc8239872a758a44449be
EVD-0000050,ORG-0009,OBL-000747,CTL-000616,Vendor attestation,Operational Resilience evidence package 50,2026-07-07,USR-00018,Accepted,Evidence is sufficient and traceable.,synthetic://niyamguard/evidence/ORG-0009/50,81,77aa39f602577343d96317f804706804
EVD-0000051,ORG-0003,OBL-000441,CTL-001020,Incident record,Customer Protection evidence package 51,2025-12-09,USR-00047,Accepted,Evidence is sufficient and traceable.,synthetic://niyamguard/evidence/ORG-0003/51,92,f6c3278391c79c6515cba83635b77204
EVD-0000052,ORG-0017,OBL-000114,CTL-000122,Vendor attestation,Data Privacy evidence package 52,2026-02-13,USR-00141,Needs Clarification,Evidence requires follow-up because status is needs clarification.,synthetic://niyamguard/evidence/ORG-0017/52,70,17f31224a4acb70b072b572cf451a642
EVD-0000053,ORG-0024,OBL-000671,CTL-001425,Audit sample,Incident Management evidence package 53,2025-08-24,USR-00123,Rejected,Evidence requires follow-up because status is rejected.,synthetic://niyamguard/evidence/ORG-0024/53,29,8c7cc0e2bbb3497de3a44b0ab29fc014
EVD-0000054,ORG-0024,OBL-000671,CTL-001425,Audit sample,Incident Management evidence package 54,2026-03-03,USR-00031,Needs Clarification,Evidence requires follow-up because status is needs clarification.,synthetic://niyamguard/evidence/ORG-0024/54,56,30f18d1e733035ecb25526731cb07868
EVD-0000055,ORG-0001,OBL-000266,CTL-000530,Policy document,Operational Resilience evidence package 55,2025-09-03,USR-00076,Expired,Evidence requires follow-up because status is expired.,synthetic://niyamguard/evidence/ORG-0001/55,51,c7dd37df9263a15a1ea3097c265ded1a
EVD-0000056,ORG-0001,OBL-000266,CTL-000530,Policy document,Operational Resilience evidence package 56,2026-05-15,USR-00076,Needs Clarification,Evidence requires follow-up because status is needs clarification.,synthetic://niyamguard/evidence/ORG-0001/56,64,a21f2f910a7f693b4cfec960ee30c00e
EVD-0000057,ORG-0028,OBL-000264,CTL-001153,Training log,Data Privacy evidence package 57,2024-11-29,USR-00103,Accepted,Evidence is sufficient and traceable.,synthetic://niyamguard/evidence/ORG-0028/57,82,f5e7358cffe06c90d4943cd2ab1bf329
EVD-0000058,ORG-0026,OBL-000091,CTL-001124,Incident record,Data Privacy evidence package 58,2024-11-05,USR-00088,Accepted,Evidence is sufficient and traceable.,synthetic://niyamguard/evidence/ORG-0026/58,85,cf5ef958dd03618c1423ca056eb4ba49
EVD-0000059,ORG-0029,OBL-000041,CTL-000849,Board minutes,Liquidity Risk evidence package 59,2025-05-24,USR-00025,Needs Clarification,Evidence requires follow-up because status is needs clarification.,synthetic://niyamguard/evidence/ORG-0029/59,70,81919ae96ea8d1e58cc369ebfbecf377
EVD-0000060,ORG-0029,OBL-000041,CTL-000849,Board minutes,Liquidity Risk evidence package 60,2025-04-27,USR-00114,Accepted,Evidence is sufficient and traceable.,synthetic://niyamguard/evidence/ORG-0029/60,78,5b4de2b677ba2bd0915e1459f2a32f8c
EVD-0000061,ORG-0001,OBL-000595,CTL-000963,System report,Liquidity Risk evidence package 61,2025-05-06,USR-00076,Accepted,Evidence is sufficient and traceable.,synthetic://niyamguard/evidence/ORG-0001/61,85,c25d840d6cc35d514bc68575ba51fe31
EVD-0000062,ORG-0001,OBL-000595,CTL-000963,System report,Liquidity Risk evidence package 62,2025-04-12,USR-00054,Accepted,Evidence is sufficient and traceable.,synthetic://niyamguard/evidence/ORG-0001/62,89,43479e6a2ef4a9bdf1ce2db33ddbe405
EVD-0000063,ORG-0001,OBL-000595,CTL-000963,System report,Liquidity Risk evidence package 63,2025-08-20,USR-00054,Accepted,Evidence is sufficient and traceable.,synthetic://niyamguard/evidence/ORG-0001/63,81,07d52630016aebf252b49ebb2ee106ca
EVD-0000064,ORG-0028,OBL-000511,CTL-000169,Access review,Operational Resilience evidence package 64,2026-03-16,USR-00122,Expired,Evidence requires follow-up because status is expired.,synthetic://niyamguard/evidence/ORG-0028/64,44,44ab10156f8159b4ca65195139712d16
EVD-0000065,ORG-0028,OBL-000511,CTL-000169,Access review,Operational Resilience evidence package 65,2025-02-17,USR-00008,Accepted,Evidence is sufficient and traceable.,synthetic://niyamguard/evidence/ORG-0028/65,80,e2c5928baf44dbd4363ca8538d08514e
EVD-0000066,ORG-0028,OBL-000511,CTL-000169,Access review,Operational Resilience evidence package 66,2025-12-22,USR-00122,Rejected,Evidence requires follow-up because status is rejected.,synthetic://niyamguard/evidence/ORG-0028/66,31,d736f9aebcf312147f17e4915f673a6e
EVD-0000067,ORG-0003,OBL-000720,CTL-000236,Board minutes,Cybersecurity evidence package 67,2025-10-03,USR-00107,Expired,Evidence requires follow-up because status is expired.,synthetic://niyamguard/evidence/ORG-0003/67,26,2794259da2d879074162c283c42992d5
EVD-0000068,ORG-0008,OBL-000723,CTL-000033,Access review,Audit & Reporting evidence package 68,2026-01-23,USR-00050,Accepted,Evidence is sufficient and traceable.,synthetic://niyamguard/evidence/ORG-0008/68,86,22d601fd00eea661cfacd8952dd0fc90
EVD-0000069,ORG-0008,OBL-000723,CTL-000033,Access review,Audit & Reporting evidence package 69,2025-01-20,USR-00128,Missing,Evidence requires follow-up because status is missing.,synthetic://niyamguard/evidence/ORG-0008/69,0,0b63b08ef43ee718d4b9575bab1f62bf
EVD-0000070,ORG-0008,OBL-000723,CTL-000033,Access review,Audit & Reporting evidence package 70,2025-08-12,USR-00043,Needs Clarification,Evidence requires follow-up because status is needs clarification.,synthetic://niyamguard/evidence/ORG-0008/70,56,90fa585dafe0720d6a582bfb5355936d
EVD-0000071,ORG-0006,OBL-000222,CTL-000241,Audit sample,Cybersecurity evidence package 71,2025-01-11,USR-00005,Missing,Evidence requires follow-up because status is missing.,synthetic://niyamguard/evidence/ORG-0006/71,0,396e35640661472939da44427eb4e755
EVD-0000072,ORG-0006,OBL-000222,CTL-000241,Audit sample,Cybersecurity evidence package 72,2024-10-29,USR-00093,Needs Clarification,Evidence requires follow-up because status is needs clarification.,synthetic://niyamguard/evidence/ORG-0006/72,64,f97b0921115a9ff1cded0854cf456f20
EVD-0000073,ORG-0011,OBL-000276,CTL-001029,Board minutes,Incident Management evidence package 73,2026-01-27,USR-00051,Accepted,Evidence is sufficient and traceable.,synthetic://niyamguard/evidence/ORG-0011/73,95,99ff0b170f55c8c1667b716badce646d
EVD-0000074,ORG-0011,OBL-000276,CTL-001029,Board minutes,Incident Management evidence package 74,2026-02-01,USR-00116,Accepted,Evidence is sufficient and traceable.,synthetic://niyamguard/evidence/ORG-0011/74,93,517ea7a80b808751785df42dd3a3360c
EVD-0000075,ORG-0011,OBL-000276,CTL-001029,Board minutes,Incident Management evidence package 75,2024-11-20,USR-00116,Accepted,Evidence is sufficient and traceable.,synthetic://niyamguard/evidence/ORG-0011/75,78,dc57cc198c9f6c1f36737020fc19a2ab
EVD-0000076,ORG-0009,OBL-000584,CTL-000949,Transaction report,Liquidity Risk evidence package 76,2026-04-02,USR-00040,Accepted,Evidence is sufficient and traceable.,synthetic://niyamguard/evidence/ORG-0009/76,87,2b54a20faed8dec6e7e3eef83be098b9
EVD-0000077,ORG-0009,OBL-000584,CTL-000949,Transaction report,Liquidity Risk evidence package 77,2026-01-22,USR-00040,Accepted,Evidence is sufficient and traceable.,synthetic://niyamguard/evidence/ORG-0009/77,78,7f7295ec7af9a2ecb140aeeb2330abf6
EVD-0000078,ORG-0018,OBL-000735,CTL-000955,Policy document,Trading Risk evidence package 78,2026-05-11,USR-00057,Needs Clarification,Evidence requires follow-up because status is needs clarification.,synthetic://niyamguard/evidence/ORG-0018/78,57,f536a58082ca04c72755cf37512dd421
EVD-0000079,ORG-0018,OBL-000735,CTL-000955,Policy document,Trading Risk evidence package 79,2025-03-09,USR-00007,Needs Clarification,Evidence requires follow-up because status is needs clarification.,synthetic://niyamguard/evidence/ORG-0018/79,72,7f363162331f570131ba267cdf334071
EVD-0000080,ORG-0004,OBL-000663,CTL-000029,System report,Data Privacy evidence package 80,2025-07-15,USR-00068,Accepted,Evidence is sufficient and traceable.,synthetic://niyamguard/evidence/ORG-0004/80,83,4c33217162f716c46aca9edd526d18ea
EVD-0000081,ORG-0004,OBL-000663,CTL-000029,System report,Data Privacy evidence package 81,2025-01-09,USR-00068,Accepted,Evidence is sufficient and traceable.,synthetic://niyamguard/evidence/ORG-0004/81,84,ac2a8dac55a01c1ca25519181930f49b
EVD-0000082,ORG-0018,OBL-000242,CTL-000473,Vendor attestation,Trading Risk evidence package 82,2024-12-31,USR-00022,Accepted,Evidence is sufficient and traceable.,synthetic://niyamguard/evidence/ORG-0018/82,87,a9295a4da01c402d30123be64c8f8fd0
EVD-0000083,ORG-0018,OBL-000242,CTL-000473,Vendor attestation,Trading Risk evidence package 83,2026-02-25,USR-00022,Needs Clarification,Evidence requires follow-up because status is needs clarification.,synthetic://niyamguard/evidence/ORG-0018/83,72,3e2078ad686f6fe1d11fec6c3007feda
EVD-0000084,ORG-0003,OBL-000228,CTL-000497,Training log,Data Privacy evidence package 84,2026-05-03,USR-00113,Accepted,Evidence is sufficient and traceable.,synthetic://niyamguard/evidence/ORG-0003/84,79,28709d546846602bcf8bedf2c5169a7b
EVD-0000085,ORG-0003,OBL-000228,CTL-000497,Training log,Data Privacy evidence package 85,2026-05-19,USR-00117,Expired,Evidence requires follow-up because status is expired.,synthetic://niyamguard/evidence/ORG-0003/85,52,8be347498c369cfad6bb66abef7d513e
EVD-0000086,ORG-0003,OBL-000228,CTL-000497,Training log,Data Privacy evidence package 86,2025-07-14,USR-00047,Expired,Evidence requires follow-up because status is expired.,synthetic://niyamguard/evidence/ORG-0003/86,30,268add14678b6797fd88c794a48ba51d
EVD-0000087,ORG-0016,OBL-000002,CTL-000322,Access review,Capital Adequacy evidence package 87,2026-05-06,USR-00124,Missing,Evidence requires follow-up because status is missing.,synthetic://niyamguard/evidence/ORG-0016/87,0,a7566706284595b0a5b611bda548715b
EVD-0000088,ORG-0016,OBL-000002,CTL-000322,Access review,Capital Adequacy evidence package 88,2025-02-27,USR-00083,Accepted,Evidence is sufficient and traceable.,synthetic://niyamguard/evidence/ORG-0016/88,85,b07351d65d1db9df51790209a3839faa
EVD-0000089,ORG-0010,OBL-000642,CTL-000669,Data retention proof,KYC/AML evidence package 89,2025-10-05,USR-00064,Expired,Evidence requires follow-up because status is expired.,synthetic://niyamguard/evidence/ORG-0010/89,37,f12a2d027bb5307a66a6fa2d05884310
EVD-0000090,ORG-0003,OBL-000738,CTL-001417,Vendor attestation,Trading Risk evidence package 90,2025-01-07,USR-00113,Accepted,Evidence is sufficient and traceable.,synthetic://niyamguard/evidence/ORG-0003/90,90,7c560cd1b372e7d02577020aa5c34d72
EVD-0000091,ORG-0003,OBL-000738,CTL-001417,Vendor attestation,Trading Risk evidence package 91,2025-02-02,USR-00117,Accepted,Evidence is sufficient and traceable.,synthetic://niyamguard/evidence/ORG-0003/91,96,afb8cc4503cc1244c405c1a3a20d0f93
EVD-0000092,ORG-0028,OBL-000157,CTL-000097,Board minutes,Trading Risk evidence package 92,2025-10-01,USR-00008,Needs Clarification,Evidence requires follow-up because status is needs clarification.,synthetic://niyamguard/evidence/ORG-0028/92,64,831ac785d522509ffda27643cdcfb8bc
EVD-0000093,ORG-0015,OBL-000692,CTL-000585,Audit sample,KYC/AML evidence package 93,2025-03-08,USR-00056,Rejected,Evidence requires follow-up because status is rejected.,synthetic://niyamguard/evidence/ORG-0015/93,30,4987a8de35869f91dd2b22754525834b
EVD-0000094,ORG-0015,OBL-000692,CTL-000585,Audit sample,KYC/AML evidence package 94,2025-06-19,USR-00067,Needs Clarification,Evidence requires follow-up because status is needs clarification.,synthetic://niyamguard/evidence/ORG-0015/94,50,b266a24f607c4a336e46de164243a226
EVD-0000095,ORG-0014,OBL-000683,CTL-001351,Access review,KYC/AML evidence package 95,2025-09-22,USR-00029,Needs Clarification,Evidence requires follow-up because status is needs clarification.,synthetic://niyamguard/evidence/ORG-0014/95,64,3f59f87992c11cc3d9fc2e31beef0217
EVD-0000096,ORG-0014,OBL-000683,CTL-001351,Access review,KYC/AML evidence package 96,2026-06-21,USR-00029,Missing,Evidence requires follow-up because status is missing.,synthetic://niyamguard/evidence/ORG-0014/96,0,cf37041d2e4bbe43f9afd4dc7662dafd
EVD-0000097,ORG-0004,OBL-000154,CTL-000602,Transaction report,Liquidity Risk evidence package 97,2025-10-31,USR-00108,Accepted,Evidence is sufficient and traceable.,synthetic://niyamguard/evidence/ORG-0004/97,96,b22e5a6f807f2bf48b114fc634ee8863
EVD-0000098,ORG-0004,OBL-000154,CTL-000602,Transaction report,Liquidity Risk evidence package 98,2025-06-04,USR-00091,Accepted,Evidence is sufficient and traceable.,synthetic://niyamguard/evidence/ORG-0004/98,92,bdce10bdd257f35dc111e1d1170bd76a
EVD-0000099,ORG-0004,OBL-000154,CTL-000602,Transaction report,Liquidity Risk evidence package 99,2024-11-26,USR-00078,Missing,Evidence requires follow-up because status is missing.,synthetic://niyamguard/evidence/ORG-0004/99,0,dd4ffbf2a6ef18050d96233314217a1a
EVD-0000100,ORG-0013,OBL-000131,CTL-000460,Audit sample,Capital Adequacy evidence package 100,2025-09-07,USR-00039,Needs Clarification,Evidence requires follow-up because status is needs clarification.,synthetic://niyamguard/evidence/ORG-0013/100,56,f5b211daa2531d84da041934a0ea28fd
EVD-0000101,ORG-0013,OBL-000131,CTL-000460,Audit sample,Capital Adequacy evidence package 101,2025-07-08,USR-00097,Accepted,Evidence is sufficient and traceable.,synthetic://niyamguard/evidence/ORG-0013/101,87,e391ad7b03ae6c49620d39d2bd0ab49e
EVD-0000102,ORG-0013,OBL-000131,CTL-000460,Audit sample,Capital Adequacy evidence package 102,2025-10-17,USR-00034,Needs Clarification,Evidence requires follow-up because status is needs clarification.,synthetic://niyamguard/evidence/ORG-0013/102,73,780f7502c11bc5213e801fd0ea96605c
EVD-0000103,ORG-0016,OBL-000043,CTL-000060,Training log,Customer Protection evidence package 103,2025-12-27,USR-00124,Accepted,Evidence is sufficient and traceable.,synthetic://niyamguard/evidence/ORG-0016/103,80,5bf196ea3dbb66794fb580073e3d410b
EVD-0000104,ORG-0016,OBL-000043,CTL-000060,Training log,Customer Protection evidence package 104,2025-07-08,USR-00036,Accepted,Evidence is sufficient and traceable.,synthetic://niyamguard/evidence/ORG-0016/104,83,4bd07a5490f3f2575df763db48e5ddeb
EVD-0000105,ORG-0016,OBL-000043,CTL-000060,Training log,Customer Protection evidence package 105,2024-10-30,USR-00055,Expired,Evidence requires follow-up because status is expired.,synthetic://niyamguard/evidence/ORG-0016/105,39,02b0165dd2bf21d33c6a404190e810c7
