control_id,org_id,control_name,control_description,control_owner_team,control_owner_role,control_frequency,automation_level,linked_policy_id,linked_obligation_id,control_effectiveness_score,last_tested_at,test_result
CTL-000014,ORG-0025,Disclosure Reconciliation Control,Control validates that retain supporting records for audit and supervisory review is performed and evidence is retained for Data retention proof.,Security,Auditor,One-time,Automated,POL-000254,OBL-000388,100,2025-01-13,Pass
CTL-000015,ORG-0020,Audit & Reporting Monitoring Control,Control validates that update the internal policy and maintain approval evidence is performed and evidence is retained for Board minutes.,Operations,Legal Reviewer,One-time,Semi-automated,POL-000196,OBL-000483,67,2025-12-19,Pass with Exceptions
CTL-000016,ORG-0010,Cybersecurity Attestation Control,Control validates that submit a compliance confirmation report to management is performed and evidence is retained for Audit sample.,Compliance,Risk Manager,Monthly,Semi-automated,POL-000096,OBL-000222,86,2026-06-10,Pass
CTL-000017,ORG-0002,Outsourcing Approval Control,Control validates that submit a compliance confirmation report to management is performed and evidence is retained for Training log.,Operations,Legal Reviewer,Daily,Manual,POL-000015,OBL-000457,47,2024-11-04,Fail
CTL-000018,ORG-0026,Capital Adequacy Monitoring Control,Control validates that retain supporting records for audit and supervisory review is performed and evidence is retained for Policy document.,Security,Policy Owner,One-time,Semi-automated,POL-000268,OBL-000589,36,2026-03-29,Fail
CTL-000019,ORG-0005,Outsourcing Reconciliation Control,Control validates that retain supporting records for audit and supervisory review is performed and evidence is retained for Access review.,Audit,Compliance Officer,Quarterly,Manual,POL-000045,OBL-000173,81,2025-01-15,Pass
CTL-000020,ORG-0007,Trading Risk Monitoring Control,Control validates that perform periodic control testing and document exceptions is performed and evidence is retained for Data retention proof.,Trading Desk,ML Reviewer,One-time,Semi-automated,POL-000069,OBL-000403,70,2025-10-08,Pass with Exceptions
CTL-000021,ORG-0003,Capital Adequacy Monitoring Control,Control validates that monitor threshold breaches and escalate unresolved cases is performed and evidence is retained for Training log.,Operations,Compliance Officer,Quarterly,Manual,POL-000031,OBL-000097,16,2025-04-08,Fail
CTL-000022,ORG-0023,Customer Protection Review Control,Control validates that validate system calculations against approved methodology is performed and evidence is retained for Incident record.,Risk,Data Protection Officer,Weekly,Semi-automated,POL-000232,OBL-000441,46,2025-11-06,Fail
CTL-000023,ORG-0014,Customer Protection Review Control,Control validates that update the internal policy and maintain approval evidence is performed and evidence is retained for Data retention proof.,Operations,Security Officer,Weekly,Manual,POL-000137,OBL-000558,86,2026-03-21,Pass
CTL-000024,ORG-0007,Cybersecurity Escalation Control,Control validates that notify stakeholders when material incidents occur is performed and evidence is retained for Policy document.,IT,Risk Manager,Event-based,Manual,POL-000067,OBL-000164,45,2025-07-29,Fail
CTL-000025,ORG-0021,Audit & Reporting Reconciliation Control,Control validates that notify stakeholders when material incidents occur is performed and evidence is retained for Access review.,Security,Policy Owner,Quarterly,Automated,POL-000214,OBL-000121,90,2025-09-19,Pass
CTL-000026,ORG-0008,Liquidity Risk Review Control,Control validates that perform periodic control testing and document exceptions is performed and evidence is retained for Risk assessment.,Data Governance,Operations Lead,Annual,Manual,POL-000073,OBL-000380,80,2026-06-03,Pass
CTL-000027,ORG-0013,Liquidity Risk Approval Control,Control validates that perform periodic control testing and document exceptions is performed and evidence is retained for Transaction report.,Audit,Legal Reviewer,Monthly,Manual,POL-000125,OBL-000224,90,2024-12-18,Pass
CTL-000028,ORG-0004,Customer Protection Escalation Control,Control validates that update the internal policy and maintain approval evidence is performed and evidence is retained for Risk assessment.,IT,Security Officer,Daily,Manual,POL-000043,OBL-000557,62,2026-04-27,Pass with Exceptions
CTL-000029,ORG-0004,Data Privacy Approval Control,Control validates that update the internal policy and maintain approval evidence is performed and evidence is retained for System report.,IT,ML Reviewer,One-time,Automated,POL-000043,OBL-000663,88,2025-05-08,Pass
CTL-000030,ORG-0013,Cybersecurity Review Control,Control validates that review customer or transaction risk indicators is performed and evidence is retained for Policy document.,Operations,Admin,Half-yearly,Automated,POL-000130,OBL-000394,79,2026-03-30,Pass
CTL-000031,ORG-0017,Audit & Reporting Monitoring Control,Control validates that monitor threshold breaches and escalate unresolved cases is performed and evidence is retained for Policy document.,Operations,Auditor,Quarterly,Semi-automated,POL-000169,OBL-000193,100,2025-06-05,Pass
CTL-000032,ORG-0004,Trading Risk Attestation Control,Control validates that submit a compliance confirmation report to management is performed and evidence is retained for Risk assessment.,Risk,Compliance Officer,Half-yearly,Semi-automated,POL-000042,OBL-000186,95,2025-01-25,Pass
CTL-000033,ORG-0008,Audit & Reporting Approval Control,Control validates that validate system calculations against approved methodology is performed and evidence is retained for Access review.,IT,Data Protection Officer,Monthly,Automated,POL-000079,OBL-000723,79,2025-04-02,Pass
CTL-000034,ORG-0011,KYC/AML Monitoring Control,Control validates that validate system calculations against approved methodology is performed and evidence is retained for Access review.,Trading Desk,Security Officer,Quarterly,Semi-automated,POL-000104,OBL-000331,96,2025-07-28,Pass
CTL-000035,ORG-0004,Customer Protection Approval Control,Control validates that submit a compliance confirmation report to management is performed and evidence is retained for Data retention proof.,Compliance,ML Reviewer,Event-based,Semi-automated,POL-000035,OBL-000497,59,2026-02-10,Pass with Exceptions
CTL-000036,ORG-0014,Data Privacy Review Control,Control validates that monitor threshold breaches and escalate unresolved cases is performed and evidence is retained for Access review.,Data Governance,Operations Lead,Annual,Manual,POL-000145,OBL-000489,62,2025-02-13,Pass with Exceptions
CTL-000037,ORG-0028,Incident Management Reconciliation Control,Control validates that monitor threshold breaches and escalate unresolved cases is performed and evidence is retained for Incident record.,Security,Admin,Event-based,Automated,POL-000290,OBL-000166,65,2026-03-05,Pass with Exceptions
CTL-000038,ORG-0016,Disclosure Review Control,Control validates that submit a compliance confirmation report to management is performed and evidence is retained for System report.,Audit,Admin,Daily,Manual,POL-000168,OBL-000054,74,2025-01-10,Pass with Exceptions
CTL-000039,ORG-0016,Outsourcing Review Control,Control validates that retain supporting records for audit and supervisory review is performed and evidence is retained for Training log.,IT,Risk Manager,Quarterly,Automated,POL-000165,OBL-000376,91,2025-04-03,Pass
CTL-000040,ORG-0008,KYC/AML Escalation Control,Control validates that perform periodic control testing and document exceptions is performed and evidence is retained for Audit sample.,Legal,Operations Lead,Half-yearly,Manual,POL-000081,OBL-000692,92,2025-06-16,Pass
CTL-000041,ORG-0003,Cybersecurity Attestation Control,Control validates that validate system calculations against approved methodology is performed and evidence is retained for Data retention proof.,Compliance,Data Protection Officer,Annual,Automated,POL-000024,OBL-000717,63,2025-07-29,Pass with Exceptions
CTL-000042,ORG-0003,Trading Risk Reconciliation Control,Control validates that review customer or transaction risk indicators is performed and evidence is retained for Incident record.,Finance,Admin,Weekly,Semi-automated,POL-000022,OBL-000542,7,2025-04-10,Fail
CTL-000043,ORG-0014,Trading Risk Approval Control,Control validates that update the internal policy and maintain approval evidence is performed and evidence is retained for Transaction report.,Compliance,ML Reviewer,Quarterly,Automated,POL-000144,OBL-000185,82,2025-11-11,Pass
CTL-000044,ORG-0009,Audit & Reporting Review Control,Control validates that monitor threshold breaches and escalate unresolved cases is performed and evidence is retained for Policy document.,Trading Desk,Risk Manager,Quarterly,Semi-automated,POL-000085,OBL-000193,94,2025-05-31,Pass
CTL-000045,ORG-0002,Cybersecurity Review Control,Control validates that notify stakeholders when material incidents occur is performed and evidence is retained for Policy document.,Operations,Legal Reviewer,Event-based,Semi-automated,POL-000018,OBL-000164,100,2024-11-15,Pass
CTL-000046,ORG-0008,Capital Adequacy Approval Control,Control validates that perform periodic control testing and document exceptions is performed and evidence is retained for Board minutes.,Legal,Data Protection Officer,One-time,Semi-automated,POL-000081,OBL-000112,44,2025-02-17,Fail
CTL-000047,ORG-0003,Cybersecurity Monitoring Control,Control validates that review customer or transaction risk indicators is performed and evidence is retained for Policy document.,Trading Desk,Legal Reviewer,Daily,Semi-automated,POL-000021,OBL-000718,99,2026-02-17,Pass
CTL-000048,ORG-0014,Cybersecurity Attestation Control,Control validates that submit a compliance confirmation report to management is performed and evidence is retained for Audit sample.,Legal,Security Officer,Daily,Manual,POL-000141,OBL-000685,79,2025-03-09,Pass
CTL-000049,ORG-0013,Trading Risk Attestation Control,Control validates that notify stakeholders when material incidents occur is performed and evidence is retained for Risk assessment.,Legal,Risk Manager,Monthly,Semi-automated,POL-000134,OBL-000084,94,2026-05-08,Pass
CTL-000050,ORG-0001,Disclosure Escalation Control,Control validates that perform periodic control testing and document exceptions is performed and evidence is retained for Board minutes.,Audit,Risk Manager,Event-based,Manual,POL-000009,OBL-000714,5,2026-06-07,Fail
CTL-000051,ORG-0020,Liquidity Risk Escalation Control,Control validates that submit a compliance confirmation report to management is performed and evidence is retained for Board minutes.,Risk,Data Protection Officer,Daily,Manual,POL-000195,OBL-000152,98,2026-01-14,Pass
CTL-000052,ORG-0019,Operational Resilience Reconciliation Control,Control validates that validate system calculations against approved methodology is performed and evidence is retained for Training log.,Operations,Policy Owner,Daily,Automated,POL-000186,OBL-000758,99,2025-07-18,Pass
CTL-000053,ORG-0024,Operational Resilience Monitoring Control,Control validates that update the internal policy and maintain approval evidence is performed and evidence is retained for System report.,Compliance,Legal Reviewer,One-time,Manual,POL-000238,OBL-000299,99,2025-10-12,Pass
CTL-000054,ORG-0030,Incident Management Attestation Control,Control validates that submit a compliance confirmation report to management is performed and evidence is retained for Vendor attestation.,Operations,Data Protection Officer,Daily,Semi-automated,POL-000312,OBL-000530,87,2025-04-13,Pass
CTL-000055,ORG-0029,KYC/AML Approval Control,Control validates that monitor threshold breaches and escalate unresolved cases is performed and evidence is retained for Data retention proof.,Legal,Data Protection Officer,Half-yearly,Manual,POL-000300,OBL-000684,99,2025-12-16,Pass
CTL-000056,ORG-0004,Customer Protection Monitoring Control,Control validates that submit a compliance confirmation report to management is performed and evidence is retained for Policy document.,IT,ML Reviewer,Monthly,Automated,POL-000040,OBL-000397,82,2024-12-10,Pass
CTL-000057,ORG-0002,KYC/AML Attestation Control,Control validates that validate system calculations against approved methodology is performed and evidence is retained for Audit sample.,Data Governance,Admin,Daily,Manual,POL-000016,OBL-000351,45,2025-06-15,Fail
CTL-000058,ORG-0027,Cybersecurity Attestation Control,Control validates that perform periodic control testing and document exceptions is performed and evidence is retained for Training log.,Operations,Compliance Officer,One-time,Semi-automated,POL-000279,OBL-000135,50,2025-03-04,Pass with Exceptions
CTL-000059,ORG-0018,Disclosure Reconciliation Control,Control validates that notify stakeholders when material incidents occur is performed and evidence is retained for Transaction report.,Audit,Admin,Annual,Automated,POL-000178,OBL-000437,54,2024-12-17,Pass with Exceptions
CTL-000060,ORG-0016,Customer Protection Escalation Control,Control validates that retain supporting records for audit and supervisory review is performed and evidence is retained for Training log.,IT,Compliance Officer,Annual,Semi-automated,POL-000165,OBL-000043,78,2024-11-05,Pass
CTL-000061,ORG-0027,Operational Resilience Reconciliation Control,Control validates that update the internal policy and maintain approval evidence is performed and evidence is retained for System report.,Finance,Operations Lead,Daily,Semi-automated,POL-000272,OBL-000603,74,2026-02-28,Pass with Exceptions
CTL-000062,ORG-0024,Capital Adequacy Monitoring Control,Control validates that review customer or transaction risk indicators is performed and evidence is retained for Training log.,Data Governance,Legal Reviewer,Daily,Automated,POL-000248,OBL-000126,96,2025-12-16,Pass
CTL-000063,ORG-0013,Incident Management Escalation Control,Control validates that review customer or transaction risk indicators is performed and evidence is retained for Transaction report.,Finance,Policy Owner,Quarterly,Manual,POL-000127,OBL-000213,73,2025-07-21,Pass with Exceptions
CTL-000064,ORG-0028,KYC/AML Review Control,Control validates that retain supporting records for audit and supervisory review is performed and evidence is retained for Data retention proof.,Risk,Auditor,Event-based,Semi-automated,POL-000288,OBL-000353,90,2026-07-02,Pass
CTL-000065,ORG-0014,Customer Protection Review Control,Control validates that perform periodic control testing and document exceptions is performed and evidence is retained for Access review.,Trading Desk,Admin,One-time,Semi-automated,POL-000146,OBL-000396,88,2025-07-28,Pass
CTL-000066,ORG-0014,Cybersecurity Review Control,Control validates that retain supporting records for audit and supervisory review is performed and evidence is retained for Risk assessment.,Security,Operations Lead,Half-yearly,Manual,POL-000138,OBL-000221,48,2025-07-01,Fail
CTL-000067,ORG-0020,Cybersecurity Escalation Control,Control validates that submit a compliance confirmation report to management is performed and evidence is retained for Audit sample.,Trading Desk,Risk Manager,Daily,Semi-automated,POL-000197,OBL-000685,78,2025-05-03,Pass
CTL-000068,ORG-0018,Data Privacy Reconciliation Control,Control validates that update the internal policy and maintain approval evidence is performed and evidence is retained for Training log.,Compliance,Legal Reviewer,Quarterly,Automated,POL-000180,OBL-000264,37,2025-07-18,Fail
CTL-000069,ORG-0019,Incident Management Approval Control,Control validates that notify stakeholders when material incidents occur is performed and evidence is retained for Access review.,Operations,Security Officer,Weekly,Semi-automated,POL-000186,OBL-000225,100,2024-11-09,Pass
CTL-000070,ORG-0010,Audit & Reporting Escalation Control,Control validates that monitor threshold breaches and escalate unresolved cases is performed and evidence is retained for Policy document.,Audit,Risk Manager,Weekly,Semi-automated,POL-000098,OBL-000750,53,2025-03-04,Pass with Exceptions
CTL-000071,ORG-0013,Cybersecurity Monitoring Control,Control validates that perform periodic control testing and document exceptions is performed and evidence is retained for Transaction report.,Audit,Operations Lead,One-time,Semi-automated,POL-000125,OBL-000017,80,2025-08-02,Pass
CTL-000072,ORG-0014,Customer Protection Approval Control,Control validates that notify stakeholders when material incidents occur is performed and evidence is retained for Vendor attestation.,Legal,Policy Owner,Annual,Manual,POL-000139,OBL-000521,81,2026-05-01,Pass
CTL-000073,ORG-0013,Operational Resilience Escalation Control,Control validates that notify stakeholders when material incidents occur is performed and evidence is retained for Training log.,Operations,Operations Lead,Quarterly,Semi-automated,POL-000130,OBL-000323,94,2025-12-26,Pass
CTL-000074,ORG-0005,Data Privacy Reconciliation Control,Control validates that validate system calculations against approved methodology is performed and evidence is retained for Audit sample.,Data Governance,Risk Manager,One-time,Automated,POL-000049,OBL-000030,100,2025-07-09,Pass
CTL-000075,ORG-0024,Data Privacy Monitoring Control,Control validates that validate system calculations against approved methodology is performed and evidence is retained for Access review.,Risk,Policy Owner,Daily,Semi-automated,POL-000242,OBL-000643,38,2025-04-12,Fail
CTL-000076,ORG-0008,Cybersecurity Reconciliation Control,Control validates that submit a compliance confirmation report to management is performed and evidence is retained for Audit sample.,Legal,Auditor,Half-yearly,Semi-automated,POL-000076,OBL-000048,93,2024-11-06,Pass
CTL-000077,ORG-0026,Capital Adequacy Escalation Control,Control validates that notify stakeholders when material incidents occur is performed and evidence is retained for Incident record.,Compliance,Auditor,Daily,Manual,POL-000262,OBL-000591,70,2026-05-26,Pass with Exceptions
CTL-000078,ORG-0026,Trading Risk Attestation Control,Control validates that validate system calculations against approved methodology is performed and evidence is retained for Training log.,Security,Compliance Officer,Monthly,Semi-automated,POL-000268,OBL-000253,5,2024-12-22,Fail
CTL-000079,ORG-0004,Capital Adequacy Approval Control,Control validates that retain supporting records for audit and supervisory review is performed and evidence is retained for Transaction report.,Finance,Data Protection Officer,Daily,Semi-automated,POL-000037,OBL-000310,100,2025-09-11,Pass
CTL-000080,ORG-0006,Liquidity Risk Monitoring Control,Control validates that validate system calculations against approved methodology is performed and evidence is retained for System report.,Finance,Data Protection Officer,Daily,Semi-automated,POL-000057,OBL-000150,40,2025-07-09,Fail
CTL-000081,ORG-0018,Incident Management Approval Control,Control validates that monitor threshold breaches and escalate unresolved cases is performed and evidence is retained for Incident record.,IT,Legal Reviewer,Event-based,Semi-automated,POL-000179,OBL-000166,87,2024-12-19,Pass
CTL-000082,ORG-0029,Data Privacy Monitoring Control,Control validates that update the internal policy and maintain approval evidence is performed and evidence is retained for Policy document.,Legal,Auditor,Monthly,Manual,POL-000300,OBL-000289,93,2026-03-15,Pass
CTL-000083,ORG-0026,Cybersecurity Escalation Control,Control validates that perform periodic control testing and document exceptions is performed and evidence is retained for Audit sample.,Compliance,Compliance Officer,Daily,Semi-automated,POL-000262,OBL-000560,60,2026-01-23,Pass with Exceptions
CTL-000084,ORG-0012,Capital Adequacy Approval Control,Control validates that retain supporting records for audit and supervisory review is performed and evidence is retained for Risk assessment.,IT,Admin,Half-yearly,Manual,POL-000120,OBL-000473,78,2025-05-16,Pass
CTL-000085,ORG-0015,Operational Resilience Monitoring Control,Control validates that perform periodic control testing and document exceptions is performed and evidence is retained for Board minutes.,Security,Admin,One-time,Semi-automated,POL-000150,OBL-000301,75,2024-11-15,Pass
CTL-000086,ORG-0007,Liquidity Risk Approval Control,Control validates that monitor threshold breaches and escalate unresolved cases is performed and evidence is retained for Policy document.,Compliance,Auditor,Half-yearly,Semi-automated,POL-000071,OBL-000284,62,2026-06-23,Pass with Exceptions
CTL-000087,ORG-0003,Cybersecurity Escalation Control,Control validates that retain supporting records for audit and supervisory review is performed and evidence is retained for Risk assessment.,Trading Desk,Operations Lead,Half-yearly,Manual,POL-000021,OBL-000162,81,2026-02-19,Pass
CTL-000088,ORG-0018,Trading Risk Escalation Control,Control validates that update the internal policy and maintain approval evidence is performed and evidence is retained for Board minutes.,Trading Desk,Auditor,Quarterly,Semi-automated,POL-000183,OBL-000155,100,2025-05-17,Pass
CTL-000089,ORG-0013,Data Privacy Attestation Control,Control validates that monitor threshold breaches and escalate unresolved cases is performed and evidence is retained for Transaction report.,Finance,Risk Manager,Daily,Automated,POL-000127,OBL-000405,96,2025-07-06,Pass
CTL-000090,ORG-0004,Operational Resilience Reconciliation Control,Control validates that perform periodic control testing and document exceptions is performed and evidence is retained for System report.,Compliance,Auditor,Event-based,Manual,POL-000035,OBL-000413,64,2025-07-08,Pass with Exceptions
CTL-000091,ORG-0027,Capital Adequacy Review Control,Control validates that perform periodic control testing and document exceptions is performed and evidence is retained for Vendor attestation.,Legal,Policy Owner,Weekly,Automated,POL-000274,OBL-000243,59,2026-01-03,Pass with Exceptions
CTL-000092,ORG-0030,Disclosure Review Control,Control validates that retain supporting records for audit and supervisory review is performed and evidence is retained for Board minutes.,IT,Policy Owner,Half-yearly,Manual,POL-000305,OBL-000681,100,2026-02-26,Pass
CTL-000093,ORG-0001,Disclosure Review Control,Control validates that review customer or transaction risk indicators is performed and evidence is retained for Data retention proof.,Compliance,Admin,Weekly,Semi-automated,POL-000004,OBL-000105,89,2025-05-10,Pass
CTL-000094,ORG-0018,Disclosure Monitoring Control,Control validates that retain supporting records for audit and supervisory review is performed and evidence is retained for Incident record.,Compliance,Compliance Officer,Weekly,Manual,POL-000184,OBL-000707,79,2025-10-17,Pass
CTL-000095,ORG-0005,Customer Protection Approval Control,Control validates that update the internal policy and maintain approval evidence is performed and evidence is retained for Vendor attestation.,Audit,Risk Manager,Event-based,Semi-automated,POL-000050,OBL-000141,79,2025-03-04,Pass
CTL-000096,ORG-0017,Incident Management Monitoring Control,Control validates that submit a compliance confirmation report to management is performed and evidence is retained for Incident record.,Legal,Operations Lead,Quarterly,Manual,POL-000172,OBL-000197,98,2024-11-25,Pass
CTL-000097,ORG-0028,Trading Risk Escalation Control,Control validates that retain supporting records for audit and supervisory review is performed and evidence is retained for Board minutes.,Trading Desk,Risk Manager,One-time,Semi-automated,POL-000282,OBL-000157,100,2025-10-27,Pass
CTL-000098,ORG-0017,Audit & Reporting Attestation Control,Control validates that retain supporting records for audit and supervisory review is performed and evidence is retained for Transaction report.,Operations,Data Protection Officer,Event-based,Manual,POL-000169,OBL-000195,74,2026-06-20,Pass with Exceptions
CTL-000099,ORG-0027,Outsourcing Escalation Control,Control validates that update the internal policy and maintain approval evidence is performed and evidence is retained for Audit sample.,Finance,Compliance Officer,Annual,Manual,POL-000272,OBL-000709,61,2025-03-31,Pass with Exceptions
CTL-000100,ORG-0004,Customer Protection Approval Control,Control validates that notify stakeholders when material incidents occur is performed and evidence is retained for Vendor attestation.,IT,Security Officer,Annual,Semi-automated,POL-000043,OBL-000521,84,2025-01-15,Pass
CTL-000101,ORG-0001,Disclosure Approval Control,Control validates that perform periodic control testing and document exceptions is performed and evidence is retained for Risk assessment.,Operations,Operations Lead,Event-based,Automated,POL-000011,OBL-000680,68,2025-03-10,Pass with Exceptions
CTL-000102,ORG-0029,Customer Protection Monitoring Control,Control validates that review customer or transaction risk indicators is performed and evidence is retained for Training log.,Risk,ML Reviewer,Event-based,Automated,POL-000293,OBL-000554,93,2024-12-02,Pass
CTL-000103,ORG-0023,Capital Adequacy Attestation Control,Control validates that update the internal policy and maintain approval evidence is performed and evidence is retained for Transaction report.,Risk,Risk Manager,Event-based,Semi-automated,POL-000232,OBL-000098,71,2025-07-09,Pass with Exceptions
CTL-000104,ORG-0027,KYC/AML Review Control,Control validates that retain supporting records for audit and supervisory review is performed and evidence is retained for Training log.,Operations,Operations Lead,Annual,Semi-automated,POL-000270,OBL-000740,93,2025-06-12,Pass
CTL-000105,ORG-0006,Data Privacy Attestation Control,Control validates that update the internal policy and maintain approval evidence is performed and evidence is retained for Policy document.,Legal,Legal Reviewer,Monthly,Automated,POL-000061,OBL-000289,88,2025-01-05,Pass
CTL-000106,ORG-0007,Cybersecurity Review Control,Control validates that validate system calculations against approved methodology is performed and evidence is retained for Incident record.,Trading Desk,Operations Lead,Annual,Semi-automated,POL-000070,OBL-000080,77,2025-09-13,Pass
CTL-000107,ORG-0011,Incident Management Reconciliation Control,Control validates that notify stakeholders when material incidents occur is performed and evidence is retained for Policy document.,Trading Desk,Risk Manager,Daily,Automated,POL-000104,OBL-000209,81,2025-12-02,Pass
CTL-000108,ORG-0006,Audit & Reporting Monitoring Control,Control validates that monitor threshold breaches and escalate unresolved cases is performed and evidence is retained for System report.,Security,Policy Owner,Weekly,Automated,POL-000052,OBL-000159,28,2025-03-10,Fail
CTL-000109,ORG-0005,Capital Adequacy Reconciliation Control,Control validates that validate system calculations against approved methodology is performed and evidence is retained for System report.,Data Governance,Auditor,Quarterly,Manual,POL-000049,OBL-000575,64,2026-01-10,Pass with Exceptions
CTL-000110,ORG-0017,Data Privacy Escalation Control,Control validates that submit a compliance confirmation report to management is performed and evidence is retained for Access review.,IT,Security Officer,Monthly,Manual,POL-000173,OBL-000113,39,2025-01-11,Fail
CTL-000111,ORG-0024,Capital Adequacy Escalation Control,Control validates that monitor threshold breaches and escalate unresolved cases is performed and evidence is retained for Incident record.,Audit,Operations Lead,Daily,Automated,POL-000244,OBL-000188,100,2026-01-12,Pass
CTL-000112,ORG-0029,Data Privacy Approval Control,Control validates that submit a compliance confirmation report to management is performed and evidence is retained for Risk assessment.,Risk,Policy Owner,Daily,Manual,POL-000296,OBL-000491,88,2024-10-27,Pass
CTL-000113,ORG-0018,Incident Management Reconciliation Control,Control validates that update the internal policy and maintain approval evidence is performed and evidence is retained for Audit sample.,Security,Risk Manager,One-time,Semi-automated,POL-000177,OBL-000696,57,2025-08-19,Pass with Exceptions
CTL-000114,ORG-0022,Data Privacy Review Control,Control validates that review customer or transaction risk indicators is performed and evidence is retained for Access review.,IT,Operations Lead,Half-yearly,Semi-automated,POL-000221,OBL-000250,72,2025-11-25,Pass with Exceptions
CTL-000115,ORG-0005,Operational Resilience Approval Control,Control validates that update the internal policy and maintain approval evidence is performed and evidence is retained for Data retention proof.,Compliance,Security Officer,One-time,Semi-automated,POL-000047,OBL-000321,89,2026-02-10,Pass
CTL-000116,ORG-0007,Audit & Reporting Approval Control,Control validates that monitor threshold breaches and escalate unresolved cases is performed and evidence is retained for Risk assessment.,Trading Desk,Auditor,One-time,Semi-automated,POL-000063,OBL-000420,87,2026-01-02,Pass
CTL-000117,ORG-0030,Audit & Reporting Attestation Control,Control validates that retain supporting records for audit and supervisory review is performed and evidence is retained for Incident record.,IT,Compliance Officer,Quarterly,Semi-automated,POL-000305,OBL-000564,40,2026-06-26,Fail
CTL-000118,ORG-0027,Incident Management Review Control,Control validates that perform periodic control testing and document exceptions is performed and evidence is retained for Access review.,Legal,Compliance Officer,Monthly,Manual,POL-000273,OBL-000065,83,2025-08-14,Pass
CTL-000119,ORG-0022,Trading Risk Escalation Control,Control validates that validate system calculations against approved methodology is performed and evidence is retained for Access review.,IT,Risk Manager,Event-based,Automated,POL-000221,OBL-000005,86,2025-06-05,Pass
CTL-000120,ORG-0016,Capital Adequacy Reconciliation Control,Control validates that monitor threshold breaches and escalate unresolved cases is performed and evidence is retained for Board minutes.,Data Governance,ML Reviewer,Monthly,Semi-automated,POL-000163,OBL-000013,64,2026-05-20,Pass with Exceptions
CTL-000121,ORG-0028,Cybersecurity Attestation Control,Control validates that notify stakeholders when material incidents occur is performed and evidence is retained for Transaction report.,Finance,Admin,Annual,Manual,POL-000286,OBL-000271,80,2025-08-10,Pass
