obligation_id,circular_id,regulator_code,sector,category,obligation_type,obligation_text,accountable_actor,action_required,frequency,evidence_required,due_days_from_effective_date,penalty_risk,risk_weight,expected_control,created_by_extractor,extractor_confidence
OBL-000020,CIR-00006,SEBI,Brokerage,Audit & Reporting,Approve,Security Officer must retain supporting records for audit and supervisory review for Audit & Reporting under SEBI circular CIR-00006 on a monthly basis.,Security Officer,retain supporting records for audit and supervisory review,Monthly,Incident record,60,Low,22,Risk committee sign-off,llm_extractor_v1,0.819
OBL-000021,CIR-00006,SEBI,Brokerage,Audit & Reporting,Implement,Risk Manager must perform periodic control testing and document exceptions for Audit & Reporting under SEBI circular CIR-00006 on a one-time basis.,Risk Manager,perform periodic control testing and document exceptions,One-time,Board minutes,90,High,72,Monthly review checklist,llm_extractor_v1,0.906
OBL-000022,CIR-00006,SEBI,Brokerage,Audit & Reporting,Maintain,Auditor must notify stakeholders when material incidents occur for Audit & Reporting under SEBI circular CIR-00006 on a daily basis.,Auditor,notify stakeholders when material incidents occur,Daily,Access review,30,Critical,89,Data quality validation,rule_engine_v1,0.916
OBL-000023,CIR-00007,SEBI,Insurance,Customer Protection,Approve,Operations Lead must validate system calculations against approved methodology for Customer Protection under SEBI circular CIR-00007 on a half-yearly basis.,Operations Lead,validate system calculations against approved methodology,Half-yearly,Data retention proof,7,High,65,Maker-checker approval,llm_extractor_v1,0.872
OBL-000024,CIR-00007,SEBI,Insurance,Customer Protection,Review,Data Protection Officer must retain supporting records for audit and supervisory review for Customer Protection under SEBI circular CIR-00007 on a half-yearly basis.,Data Protection Officer,retain supporting records for audit and supervisory review,Half-yearly,Incident record,7,High,70,Dashboard alert,rule_engine_v1,0.796
OBL-000025,CIR-00008,SEBI,FinTech,Capital Adequacy,Approve,Security Officer must submit a compliance confirmation report to management for Capital Adequacy under SEBI circular CIR-00008 on a annual basis.,Security Officer,submit a compliance confirmation report to management,Annual,Vendor attestation,90,Low,15,Monthly review checklist,rule_engine_v1,0.944
OBL-000026,CIR-00008,SEBI,FinTech,Capital Adequacy,Retain,Admin must validate system calculations against approved methodology for Capital Adequacy under SEBI circular CIR-00008 on a event-based basis.,Admin,validate system calculations against approved methodology,Event-based,Policy document,60,High,65,Monthly review checklist,llm_extractor_v1,0.822
OBL-000027,CIR-00008,SEBI,FinTech,Capital Adequacy,Disclose,Risk Manager must retain supporting records for audit and supervisory review for Capital Adequacy under SEBI circular CIR-00008 on a event-based basis.,Risk Manager,retain supporting records for audit and supervisory review,Event-based,Board minutes,7,High,75,Risk committee sign-off,llm_extractor_v1,0.874
OBL-000028,CIR-00008,SEBI,FinTech,Capital Adequacy,Monitor,Auditor must notify stakeholders when material incidents occur for Capital Adequacy under SEBI circular CIR-00008 on a daily basis.,Auditor,notify stakeholders when material incidents occur,Daily,Risk assessment,90,Medium,50,Independent audit sample,rule_engine_v1,0.92
OBL-000029,CIR-00008,SEBI,FinTech,Capital Adequacy,Notify,Policy Owner must notify stakeholders when material incidents occur for Capital Adequacy under SEBI circular CIR-00008 on a one-time basis.,Policy Owner,notify stakeholders when material incidents occur,One-time,Board minutes,120,High,67,Automated reconciliation,llm_extractor_v1,0.773
OBL-000030,CIR-00009,FIU-IND,Insurance,Data Privacy,Approve,Auditor must validate system calculations against approved methodology for Data Privacy under FIU-IND circular CIR-00009 on a one-time basis.,Auditor,validate system calculations against approved methodology,One-time,Audit sample,15,Medium,41,Data quality validation,llm_extractor_v1,0.846
OBL-000031,CIR-00009,FIU-IND,Insurance,Data Privacy,Maintain,Operations Lead must perform periodic control testing and document exceptions for Data Privacy under FIU-IND circular CIR-00009 on a event-based basis.,Operations Lead,perform periodic control testing and document exceptions,Event-based,Vendor attestation,90,Critical,95,Maker-checker approval,rule_engine_v1,0.8
OBL-000032,CIR-00009,FIU-IND,Insurance,Data Privacy,Validate,Admin must retain supporting records for audit and supervisory review for Data Privacy under FIU-IND circular CIR-00009 on a one-time basis.,Admin,retain supporting records for audit and supervisory review,One-time,System report,60,High,68,Data quality validation,llm_extractor_v1,0.785
OBL-000033,CIR-00009,FIU-IND,Insurance,Data Privacy,Report,Operations Lead must notify stakeholders when material incidents occur for Data Privacy under FIU-IND circular CIR-00009 on a monthly basis.,Operations Lead,notify stakeholders when material incidents occur,Monthly,Vendor attestation,30,High,72,Automated reconciliation,rule_engine_v1,0.871
OBL-000034,CIR-00010,IRDAI,Capital Markets,Cybersecurity,Monitor,Legal Reviewer must review customer or transaction risk indicators for Cybersecurity under IRDAI circular CIR-00010 on a half-yearly basis.,Legal Reviewer,review customer or transaction risk indicators,Half-yearly,Data retention proof,7,High,67,Data quality validation,rule_engine_v1,0.888
OBL-000035,CIR-00010,IRDAI,Capital Markets,Cybersecurity,Disclose,Admin must monitor threshold breaches and escalate unresolved cases for Cybersecurity under IRDAI circular CIR-00010 on a daily basis.,Admin,monitor threshold breaches and escalate unresolved cases,Daily,Access review,120,Medium,46,Risk committee sign-off,llm_extractor_v1,0.907
OBL-000036,CIR-00011,RBI,Banking,Disclosure,Maintain,Admin must perform periodic control testing and document exceptions for Disclosure under RBI circular CIR-00011 on a annual basis.,Admin,perform periodic control testing and document exceptions,Annual,Board minutes,45,High,72,Monthly review checklist,llm_extractor_v1,0.681
OBL-000037,CIR-00011,RBI,Banking,Disclosure,Report,Data Protection Officer must submit a compliance confirmation report to management for Disclosure under RBI circular CIR-00011 on a annual basis.,Data Protection Officer,submit a compliance confirmation report to management,Annual,Transaction report,15,High,67,Automated reconciliation,llm_extractor_v1,0.854
OBL-000038,CIR-00011,RBI,Banking,Disclosure,Monitor,Admin must monitor threshold breaches and escalate unresolved cases for Disclosure under RBI circular CIR-00011 on a annual basis.,Admin,monitor threshold breaches and escalate unresolved cases,Annual,Risk assessment,30,Medium,44,Data quality validation,llm_extractor_v1,0.72
OBL-000039,CIR-00011,RBI,Banking,Disclosure,Notify,Operations Lead must monitor threshold breaches and escalate unresolved cases for Disclosure under RBI circular CIR-00011 on a quarterly basis.,Operations Lead,monitor threshold breaches and escalate unresolved cases,Quarterly,Audit sample,60,Medium,44,Dashboard alert,llm_extractor_v1,0.718
OBL-000040,CIR-00012,RBI,Mutual Funds,Liquidity Risk,Validate,Operations Lead must notify stakeholders when material incidents occur for Liquidity Risk under RBI circular CIR-00012 on a half-yearly basis.,Operations Lead,notify stakeholders when material incidents occur,Half-yearly,System report,90,Medium,46,Exception workflow,llm_extractor_v1,0.802
OBL-000041,CIR-00012,RBI,Mutual Funds,Liquidity Risk,Report,Security Officer must submit a compliance confirmation report to management for Liquidity Risk under RBI circular CIR-00012 on a daily basis.,Security Officer,submit a compliance confirmation report to management,Daily,Board minutes,7,Low,18,Exception workflow,llm_extractor_v1,0.727
OBL-000042,CIR-00012,RBI,Mutual Funds,Liquidity Risk,Approve,Compliance Officer must retain supporting records for audit and supervisory review for Liquidity Risk under RBI circular CIR-00012 on a quarterly basis.,Compliance Officer,retain supporting records for audit and supervisory review,Quarterly,Policy document,60,Medium,40,Dashboard alert,llm_extractor_v1,0.71
OBL-000043,CIR-00013,NPCI,Banking,Customer Protection,Validate,ML Reviewer must retain supporting records for audit and supervisory review for Customer Protection under NPCI circular CIR-00013 on a annual basis.,ML Reviewer,retain supporting records for audit and supervisory review,Annual,Training log,7,High,71,Independent audit sample,llm_extractor_v1,0.909
OBL-000044,CIR-00013,NPCI,Banking,Customer Protection,Monitor,Legal Reviewer must monitor threshold breaches and escalate unresolved cases for Customer Protection under NPCI circular CIR-00013 on a one-time basis.,Legal Reviewer,monitor threshold breaches and escalate unresolved cases,One-time,Board minutes,120,High,72,Risk committee sign-off,llm_extractor_v1,0.884
OBL-000045,CIR-00013,NPCI,Banking,Customer Protection,Monitor,Legal Reviewer must notify stakeholders when material incidents occur for Customer Protection under NPCI circular CIR-00013 on a monthly basis.,Legal Reviewer,notify stakeholders when material incidents occur,Monthly,Training log,90,Medium,41,Monthly review checklist,llm_extractor_v1,0.893
OBL-000046,CIR-00014,FIU-IND,NBFC,Disclosure,Disclose,Legal Reviewer must retain supporting records for audit and supervisory review for Disclosure under FIU-IND circular CIR-00014 on a one-time basis.,Legal Reviewer,retain supporting records for audit and supervisory review,One-time,Risk assessment,60,Low,19,Maker-checker approval,llm_extractor_v1,0.886
OBL-000047,CIR-00014,FIU-IND,NBFC,Disclosure,Review,Operations Lead must update the internal policy and maintain approval evidence for Disclosure under FIU-IND circular CIR-00014 on a one-time basis.,Operations Lead,update the internal policy and maintain approval evidence,One-time,Policy document,90,High,74,Exception workflow,llm_extractor_v1,0.846
OBL-000048,CIR-00015,NPCI,NBFC,Cybersecurity,Maintain,Auditor must submit a compliance confirmation report to management for Cybersecurity under NPCI circular CIR-00015 on a half-yearly basis.,Auditor,submit a compliance confirmation report to management,Half-yearly,Audit sample,120,Medium,48,Monthly review checklist,llm_extractor_v1,0.836
OBL-000049,CIR-00015,NPCI,NBFC,Cybersecurity,Maintain,Auditor must review customer or transaction risk indicators for Cybersecurity under NPCI circular CIR-00015 on a half-yearly basis.,Auditor,review customer or transaction risk indicators,Half-yearly,Training log,30,Medium,43,Data quality validation,llm_extractor_v1,0.919
OBL-000050,CIR-00015,NPCI,NBFC,Cybersecurity,Report,Operations Lead must notify stakeholders when material incidents occur for Cybersecurity under NPCI circular CIR-00015 on a daily basis.,Operations Lead,notify stakeholders when material incidents occur,Daily,Data retention proof,90,Medium,49,Risk committee sign-off,llm_extractor_v1,0.878
OBL-000051,CIR-00015,NPCI,NBFC,Cybersecurity,Monitor,Security Officer must retain supporting records for audit and supervisory review for Cybersecurity under NPCI circular CIR-00015 on a annual basis.,Security Officer,retain supporting records for audit and supervisory review,Annual,System report,30,Medium,40,Dashboard alert,llm_extractor_v1,0.828
OBL-000052,CIR-00016,IRDAI,Banking,Disclosure,Report,Auditor must review customer or transaction risk indicators for Disclosure under IRDAI circular CIR-00016 on a quarterly basis.,Auditor,review customer or transaction risk indicators,Quarterly,Data retention proof,7,Medium,42,Maker-checker approval,llm_extractor_v1,0.741
OBL-000053,CIR-00016,IRDAI,Banking,Disclosure,Implement,Auditor must validate system calculations against approved methodology for Disclosure under IRDAI circular CIR-00016 on a annual basis.,Auditor,validate system calculations against approved methodology,Annual,System report,7,High,75,Monthly review checklist,rule_engine_v1,0.888
OBL-000054,CIR-00016,IRDAI,Banking,Disclosure,Report,Compliance Officer must submit a compliance confirmation report to management for Disclosure under IRDAI circular CIR-00016 on a daily basis.,Compliance Officer,submit a compliance confirmation report to management,Daily,System report,60,High,66,Risk committee sign-off,llm_extractor_v1,0.798
OBL-000055,CIR-00016,IRDAI,Banking,Disclosure,Retain,Operations Lead must update the internal policy and maintain approval evidence for Disclosure under IRDAI circular CIR-00016 on a annual basis.,Operations Lead,update the internal policy and maintain approval evidence,Annual,Risk assessment,7,Medium,48,Maker-checker approval,llm_extractor_v1,0.859
OBL-000056,CIR-00016,IRDAI,Banking,Disclosure,Notify,Operations Lead must perform periodic control testing and document exceptions for Disclosure under IRDAI circular CIR-00016 on a one-time basis.,Operations Lead,perform periodic control testing and document exceptions,One-time,System report,90,Medium,44,Automated reconciliation,rule_engine_v1,0.949
OBL-000057,CIR-00017,IRDAI,Banking,Cybersecurity,Disclose,Policy Owner must monitor threshold breaches and escalate unresolved cases for Cybersecurity under IRDAI circular CIR-00017 on a one-time basis.,Policy Owner,monitor threshold breaches and escalate unresolved cases,One-time,Vendor attestation,45,Low,23,Exception workflow,llm_extractor_v1,0.722
OBL-000058,CIR-00017,IRDAI,Banking,Cybersecurity,Monitor,ML Reviewer must submit a compliance confirmation report to management for Cybersecurity under IRDAI circular CIR-00017 on a one-time basis.,ML Reviewer,submit a compliance confirmation report to management,One-time,Audit sample,7,Low,24,Independent audit sample,llm_extractor_v1,0.955
OBL-000059,CIR-00017,IRDAI,Banking,Cybersecurity,Approve,Auditor must validate system calculations against approved methodology for Cybersecurity under IRDAI circular CIR-00017 on a monthly basis.,Auditor,validate system calculations against approved methodology,Monthly,Incident record,120,High,73,Monthly review checklist,rule_engine_v1,0.744
OBL-000060,CIR-00017,IRDAI,Banking,Cybersecurity,Approve,Policy Owner must update the internal policy and maintain approval evidence for Cybersecurity under IRDAI circular CIR-00017 on a monthly basis.,Policy Owner,update the internal policy and maintain approval evidence,Monthly,System report,60,High,72,Automated reconciliation,rule_engine_v1,0.7
OBL-000061,CIR-00017,IRDAI,Banking,Cybersecurity,Maintain,Data Protection Officer must review customer or transaction risk indicators for Cybersecurity under IRDAI circular CIR-00017 on a monthly basis.,Data Protection Officer,review customer or transaction risk indicators,Monthly,Transaction report,90,Medium,50,Risk committee sign-off,rule_engine_v1,0.86
OBL-000062,CIR-00018,RBI,Payments,Capital Adequacy,Monitor,Operations Lead must retain supporting records for audit and supervisory review for Capital Adequacy under RBI circular CIR-00018 on a event-based basis.,Operations Lead,retain supporting records for audit and supervisory review,Event-based,Vendor attestation,15,High,74,Dashboard alert,llm_extractor_v1,0.958
OBL-000063,CIR-00018,RBI,Payments,Capital Adequacy,Review,Auditor must monitor threshold breaches and escalate unresolved cases for Capital Adequacy under RBI circular CIR-00018 on a one-time basis.,Auditor,monitor threshold breaches and escalate unresolved cases,One-time,Incident record,90,High,71,Exception workflow,llm_extractor_v1,0.719
OBL-000064,CIR-00018,RBI,Payments,Capital Adequacy,Monitor,Data Protection Officer must review customer or transaction risk indicators for Capital Adequacy under RBI circular CIR-00018 on a event-based basis.,Data Protection Officer,review customer or transaction risk indicators,Event-based,Vendor attestation,45,High,73,Automated reconciliation,rule_engine_v1,0.856
OBL-000065,CIR-00019,IRDAI,Capital Markets,Incident Management,Review,Risk Manager must perform periodic control testing and document exceptions for Incident Management under IRDAI circular CIR-00019 on a monthly basis.,Risk Manager,perform periodic control testing and document exceptions,Monthly,Access review,120,High,73,Maker-checker approval,llm_extractor_v1,0.848
OBL-000066,CIR-00019,IRDAI,Capital Markets,Incident Management,Notify,ML Reviewer must retain supporting records for audit and supervisory review for Incident Management under IRDAI circular CIR-00019 on a monthly basis.,ML Reviewer,retain supporting records for audit and supervisory review,Monthly,Board minutes,60,Medium,47,Monthly review checklist,llm_extractor_v1,0.745
OBL-000067,CIR-00019,IRDAI,Capital Markets,Incident Management,Notify,Data Protection Officer must perform periodic control testing and document exceptions for Incident Management under IRDAI circular CIR-00019 on a quarterly basis.,Data Protection Officer,perform periodic control testing and document exceptions,Quarterly,Policy document,60,Medium,40,Risk committee sign-off,llm_extractor_v1,0.914
OBL-000068,CIR-00019,IRDAI,Capital Markets,Incident Management,Notify,Policy Owner must notify stakeholders when material incidents occur for Incident Management under IRDAI circular CIR-00019 on a weekly basis.,Policy Owner,notify stakeholders when material incidents occur,Weekly,Audit sample,60,Low,24,Monthly review checklist,llm_extractor_v1,0.82
OBL-000069,CIR-00020,RBI,Payments,Trading Risk,Report,Auditor must perform periodic control testing and document exceptions for Trading Risk under RBI circular CIR-00020 on a monthly basis.,Auditor,perform periodic control testing and document exceptions,Monthly,Vendor attestation,15,Medium,40,Risk committee sign-off,llm_extractor_v1,0.91
OBL-000070,CIR-00020,RBI,Payments,Trading Risk,Disclose,Compliance Officer must update the internal policy and maintain approval evidence for Trading Risk under RBI circular CIR-00020 on a event-based basis.,Compliance Officer,update the internal policy and maintain approval evidence,Event-based,Vendor attestation,30,Critical,86,Exception workflow,llm_extractor_v1,0.756
OBL-000071,CIR-00020,RBI,Payments,Trading Risk,Validate,Security Officer must review customer or transaction risk indicators for Trading Risk under RBI circular CIR-00020 on a weekly basis.,Security Officer,review customer or transaction risk indicators,Weekly,Risk assessment,120,High,66,Exception workflow,llm_extractor_v1,0.943
OBL-000072,CIR-00020,RBI,Payments,Trading Risk,Validate,Operations Lead must notify stakeholders when material incidents occur for Trading Risk under RBI circular CIR-00020 on a annual basis.,Operations Lead,notify stakeholders when material incidents occur,Annual,Incident record,60,High,65,Monthly review checklist,llm_extractor_v1,0.747
OBL-000073,CIR-00021,NPCI,Banking,Trading Risk,Implement,Policy Owner must review customer or transaction risk indicators for Trading Risk under NPCI circular CIR-00021 on a weekly basis.,Policy Owner,review customer or transaction risk indicators,Weekly,Policy document,120,High,66,Risk committee sign-off,llm_extractor_v1,0.776
OBL-000074,CIR-00021,NPCI,Banking,Trading Risk,Maintain,Data Protection Officer must notify stakeholders when material incidents occur for Trading Risk under NPCI circular CIR-00021 on a event-based basis.,Data Protection Officer,notify stakeholders when material incidents occur,Event-based,Data retention proof,15,Medium,50,Independent audit sample,rule_engine_v1,0.693
OBL-000075,CIR-00021,NPCI,Banking,Trading Risk,Notify,ML Reviewer must update the internal policy and maintain approval evidence for Trading Risk under NPCI circular CIR-00021 on a weekly basis.,ML Reviewer,update the internal policy and maintain approval evidence,Weekly,Policy document,15,High,65,Monthly review checklist,rule_engine_v1,0.732
OBL-000076,CIR-00021,NPCI,Banking,Trading Risk,Disclose,Legal Reviewer must perform periodic control testing and document exceptions for Trading Risk under NPCI circular CIR-00021 on a one-time basis.,Legal Reviewer,perform periodic control testing and document exceptions,One-time,Data retention proof,60,Medium,47,Data quality validation,rule_engine_v1,0.921
OBL-000077,CIR-00022,IRDAI,Brokerage,Disclosure,Notify,ML Reviewer must retain supporting records for audit and supervisory review for Disclosure under IRDAI circular CIR-00022 on a weekly basis.,ML Reviewer,retain supporting records for audit and supervisory review,Weekly,Transaction report,90,Medium,45,Data quality validation,llm_extractor_v1,0.7
OBL-000078,CIR-00022,IRDAI,Brokerage,Disclosure,Disclose,Risk Manager must update the internal policy and maintain approval evidence for Disclosure under IRDAI circular CIR-00022 on a annual basis.,Risk Manager,update the internal policy and maintain approval evidence,Annual,Policy document,120,Medium,48,Independent audit sample,llm_extractor_v1,0.856
OBL-000079,CIR-00022,IRDAI,Brokerage,Disclosure,Review,Admin must update the internal policy and maintain approval evidence for Disclosure under IRDAI circular CIR-00022 on a event-based basis.,Admin,update the internal policy and maintain approval evidence,Event-based,Transaction report,60,High,73,Automated reconciliation,rule_engine_v1,0.871
OBL-000080,CIR-00023,IRDAI,Brokerage,Cybersecurity,Disclose,Compliance Officer must validate system calculations against approved methodology for Cybersecurity under IRDAI circular CIR-00023 on a annual basis.,Compliance Officer,validate system calculations against approved methodology,Annual,Incident record,120,Medium,47,Independent audit sample,llm_extractor_v1,0.913
OBL-000081,CIR-00023,IRDAI,Brokerage,Cybersecurity,Notify,Policy Owner must retain supporting records for audit and supervisory review for Cybersecurity under IRDAI circular CIR-00023 on a daily basis.,Policy Owner,retain supporting records for audit and supervisory review,Daily,Risk assessment,15,Medium,41,Exception workflow,llm_extractor_v1,0.838
OBL-000082,CIR-00024,MOF,Insurance,Trading Risk,Implement,Admin must perform periodic control testing and document exceptions for Trading Risk under MOF circular CIR-00024 on a one-time basis.,Admin,perform periodic control testing and document exceptions,One-time,Board minutes,45,Medium,50,Risk committee sign-off,llm_extractor_v1,0.772
OBL-000083,CIR-00024,MOF,Insurance,Trading Risk,Monitor,Security Officer must retain supporting records for audit and supervisory review for Trading Risk under MOF circular CIR-00024 on a daily basis.,Security Officer,retain supporting records for audit and supervisory review,Daily,Policy document,60,Medium,46,Dashboard alert,llm_extractor_v1,0.968
OBL-000084,CIR-00024,MOF,Insurance,Trading Risk,Disclose,ML Reviewer must notify stakeholders when material incidents occur for Trading Risk under MOF circular CIR-00024 on a monthly basis.,ML Reviewer,notify stakeholders when material incidents occur,Monthly,Risk assessment,60,Medium,48,Data quality validation,rule_engine_v1,0.769
OBL-000085,CIR-00024,MOF,Insurance,Trading Risk,Monitor,Risk Manager must monitor threshold breaches and escalate unresolved cases for Trading Risk under MOF circular CIR-00024 on a annual basis.,Risk Manager,monitor threshold breaches and escalate unresolved cases,Annual,Policy document,90,Medium,42,Automated reconciliation,rule_engine_v1,0.796
OBL-000086,CIR-00025,IRDAI,Brokerage,Audit & Reporting,Validate,Security Officer must update the internal policy and maintain approval evidence for Audit & Reporting under IRDAI circular CIR-00025 on a one-time basis.,Security Officer,update the internal policy and maintain approval evidence,One-time,Policy document,120,High,67,Data quality validation,llm_extractor_v1,0.806
OBL-000087,CIR-00025,IRDAI,Brokerage,Audit & Reporting,Maintain,Operations Lead must perform periodic control testing and document exceptions for Audit & Reporting under IRDAI circular CIR-00025 on a quarterly basis.,Operations Lead,perform periodic control testing and document exceptions,Quarterly,Training log,90,High,71,Independent audit sample,llm_extractor_v1,0.831
OBL-000088,CIR-00025,IRDAI,Brokerage,Audit & Reporting,Notify,Data Protection Officer must notify stakeholders when material incidents occur for Audit & Reporting under IRDAI circular CIR-00025 on a one-time basis.,Data Protection Officer,notify stakeholders when material incidents occur,One-time,Policy document,120,Low,25,Exception workflow,rule_engine_v1,0.907
OBL-000089,CIR-00025,IRDAI,Brokerage,Audit & Reporting,Validate,Policy Owner must update the internal policy and maintain approval evidence for Audit & Reporting under IRDAI circular CIR-00025 on a monthly basis.,Policy Owner,update the internal policy and maintain approval evidence,Monthly,Transaction report,90,Medium,40,Monthly review checklist,rule_engine_v1,0.76
OBL-000090,CIR-00026,MOF,Banking,Data Privacy,Monitor,Admin must monitor threshold breaches and escalate unresolved cases for Data Privacy under MOF circular CIR-00026 on a annual basis.,Admin,monitor threshold breaches and escalate unresolved cases,Annual,Risk assessment,90,Medium,41,Automated reconciliation,llm_extractor_v1,0.891
OBL-000091,CIR-00026,MOF,Banking,Data Privacy,Validate,Legal Reviewer must monitor threshold breaches and escalate unresolved cases for Data Privacy under MOF circular CIR-00026 on a half-yearly basis.,Legal Reviewer,monitor threshold breaches and escalate unresolved cases,Half-yearly,Incident record,15,High,72,Independent audit sample,llm_extractor_v1,0.756
