drift_id,org_id,previous_policy_id,new_circular_id,drift_type,old_requirement,new_requirement,drift_score,impacted_departments,recommended_action,ground_truth_label,created_at
DRF-000013,ORG-0030,POL-000314,CIR-00199,Approval Level Increased,manual evidence upload,system-generated evidence hash,38,"Compliance,Finance","Revise policy from manual evidence upload to system-generated evidence hash, update controls, and collect new evidence.",No Action Required,2025-06-10T09:46:00
DRF-000014,ORG-0010,POL-000099,CIR-00025,Approval Level Increased,sample testing,complete population testing for high-risk items,64,"Trading Desk,Operations","Revise policy from sample testing to complete population testing for high-risk items, update controls, and collect new evidence.",Minor Drift,2026-05-07T19:15:00
DRF-000015,ORG-0016,POL-000159,CIR-00044,New Control Required,basic due diligence,enhanced due diligence for high-risk customers,64,"Finance,Operations,Security","Revise policy from basic due diligence to enhanced due diligence for high-risk customers, update controls, and collect new evidence.",Minor Drift,2026-02-11T16:07:00
DRF-000016,ORG-0029,POL-000296,CIR-00030,Retention Period Changed,basic due diligence,enhanced due diligence for high-risk customers,78,"Risk,IT,Compliance","Revise policy from basic due diligence to enhanced due diligence for high-risk customers, update controls, and collect new evidence.",Material Drift,2026-04-12T15:58:00
DRF-000017,ORG-0009,POL-000087,CIR-00037,Threshold Changed,sample testing,complete population testing for high-risk items,73,"Legal,IT","Revise policy from sample testing to complete population testing for high-risk items, update controls, and collect new evidence.",Material Drift,2026-02-13T13:44:00
DRF-000018,ORG-0004,POL-000038,CIR-00028,Scope Expanded,annual review,quarterly review,77,"Data Governance,Trading Desk","Revise policy from annual review to quarterly review, update controls, and collect new evidence.",Material Drift,2025-08-13T13:26:00
DRF-000019,ORG-0012,POL-000118,CIR-00096,Retention Period Changed,annual review,quarterly review,74,Operations,"Revise policy from annual review to quarterly review, update controls, and collect new evidence.",Material Drift,2025-11-24T19:51:00
DRF-000020,ORG-0008,POL-000079,CIR-00074,New Control Required,sample testing,complete population testing for high-risk items,49,"Risk,Legal","Revise policy from sample testing to complete population testing for high-risk items, update controls, and collect new evidence.",Minor Drift,2025-05-15T12:25:00
DRF-000021,ORG-0008,POL-000073,CIR-00128,Timeline Tightened,annual review,quarterly review,97,"IT,Operations","Revise policy from annual review to quarterly review, update controls, and collect new evidence.",Material Drift,2026-05-12T08:16:00
DRF-000022,ORG-0006,POL-000060,CIR-00101,Scope Expanded,sample testing,complete population testing for high-risk items,50,Compliance,"Revise policy from sample testing to complete population testing for high-risk items, update controls, and collect new evidence.",Minor Drift,2025-06-24T14:22:00
DRF-000023,ORG-0023,POL-000230,CIR-00128,Retention Period Changed,board noting,board approval with action tracker,53,"Security,Operations,Finance","Revise policy from board noting to board approval with action tracker, update controls, and collect new evidence.",Minor Drift,2025-10-13T15:14:00
DRF-000024,ORG-0011,POL-000106,CIR-00026,Timeline Tightened,static limits,dynamic risk-based limits,86,Security,"Revise policy from static limits to dynamic risk-based limits, update controls, and collect new evidence.",Material Drift,2025-04-18T10:58:00
DRF-000025,ORG-0027,POL-000278,CIR-00152,Reporting Frequency Changed,periodic audit,continuous monitoring dashboard,20,"Operations,Audit,Security","Revise policy from periodic audit to continuous monitoring dashboard, update controls, and collect new evidence.",No Action Required,2026-07-04T17:44:00
DRF-000026,ORG-0029,POL-000303,CIR-00101,Retention Period Changed,board noting,board approval with action tracker,96,Data Governance,"Revise policy from board noting to board approval with action tracker, update controls, and collect new evidence.",Material Drift,2025-07-16T17:45:00
DRF-000027,ORG-0026,POL-000266,CIR-00100,Evidence Standard Changed,informal escalation,formal incident notification within 24 hours,61,"Legal,Finance","Revise policy from informal escalation to formal incident notification within 24 hours, update controls, and collect new evidence.",Minor Drift,2025-06-02T14:29:00
DRF-000028,ORG-0028,POL-000282,CIR-00135,Threshold Changed,informal escalation,formal incident notification within 24 hours,81,Risk,"Revise policy from informal escalation to formal incident notification within 24 hours, update controls, and collect new evidence.",Material Drift,2025-07-10T14:04:00
DRF-000029,ORG-0019,POL-000187,CIR-00106,Retention Period Changed,static limits,dynamic risk-based limits,48,Legal,"Revise policy from static limits to dynamic risk-based limits, update controls, and collect new evidence.",Minor Drift,2025-05-26T19:47:00
DRF-000030,ORG-0021,POL-000211,CIR-00167,New Control Required,periodic audit,continuous monitoring dashboard,95,"Risk,Security","Revise policy from periodic audit to continuous monitoring dashboard, update controls, and collect new evidence.",Material Drift,2025-08-08T15:30:00
DRF-000031,ORG-0024,POL-000240,CIR-00007,New Control Required,board noting,board approval with action tracker,48,Trading Desk,"Revise policy from board noting to board approval with action tracker, update controls, and collect new evidence.",Minor Drift,2026-04-04T20:24:00
DRF-000032,ORG-0019,POL-000193,CIR-00154,Threshold Changed,manual evidence upload,system-generated evidence hash,37,"Finance,Legal","Revise policy from manual evidence upload to system-generated evidence hash, update controls, and collect new evidence.",No Action Required,2026-05-05T12:15:00
DRF-000033,ORG-0019,POL-000192,CIR-00169,Threshold Changed,annual review,quarterly review,48,Compliance,"Revise policy from annual review to quarterly review, update controls, and collect new evidence.",Minor Drift,2025-11-19T17:33:00
DRF-000034,ORG-0006,POL-000055,CIR-00182,Evidence Standard Changed,sample testing,complete population testing for high-risk items,80,"Trading Desk,Operations,Data Governance","Revise policy from sample testing to complete population testing for high-risk items, update controls, and collect new evidence.",Material Drift,2026-06-11T14:14:00
DRF-000035,ORG-0020,POL-000196,CIR-00020,Retention Period Changed,manual evidence upload,system-generated evidence hash,90,Finance,"Revise policy from manual evidence upload to system-generated evidence hash, update controls, and collect new evidence.",Material Drift,2025-06-06T14:41:00
DRF-000036,ORG-0028,POL-000290,CIR-00135,Retention Period Changed,periodic audit,continuous monitoring dashboard,48,"Risk,Compliance","Revise policy from periodic audit to continuous monitoring dashboard, update controls, and collect new evidence.",Minor Drift,2025-09-22T18:50:00
DRF-000037,ORG-0026,POL-000268,CIR-00055,Reporting Frequency Changed,board noting,board approval with action tracker,72,"Data Governance,Compliance,IT","Revise policy from board noting to board approval with action tracker, update controls, and collect new evidence.",Material Drift,2026-02-06T12:28:00
DRF-000038,ORG-0020,POL-000198,CIR-00117,Approval Level Increased,informal escalation,formal incident notification within 24 hours,71,"Risk,Finance,IT","Revise policy from informal escalation to formal incident notification within 24 hours, update controls, and collect new evidence.",Material Drift,2026-06-11T10:58:00
DRF-000039,ORG-0024,POL-000247,CIR-00011,Scope Expanded,periodic audit,continuous monitoring dashboard,92,"IT,Finance","Revise policy from periodic audit to continuous monitoring dashboard, update controls, and collect new evidence.",Material Drift,2025-07-22T18:51:00
DRF-000040,ORG-0029,POL-000298,CIR-00188,Retention Period Changed,periodic audit,continuous monitoring dashboard,74,Audit,"Revise policy from periodic audit to continuous monitoring dashboard, update controls, and collect new evidence.",Material Drift,2025-10-04T14:14:00
DRF-000041,ORG-0028,POL-000286,CIR-00033,Approval Level Increased,periodic audit,continuous monitoring dashboard,71,Compliance,"Revise policy from periodic audit to continuous monitoring dashboard, update controls, and collect new evidence.",Material Drift,2026-05-04T20:28:00
DRF-000042,ORG-0012,POL-000121,CIR-00003,Timeline Tightened,board noting,board approval with action tracker,91,"Risk,Operations","Revise policy from board noting to board approval with action tracker, update controls, and collect new evidence.",Material Drift,2025-12-12T11:49:00
DRF-000043,ORG-0017,POL-000169,CIR-00026,Retention Period Changed,manual evidence upload,system-generated evidence hash,60,IT,"Revise policy from manual evidence upload to system-generated evidence hash, update controls, and collect new evidence.",Minor Drift,2026-02-19T10:00:00
DRF-000044,ORG-0026,POL-000268,CIR-00153,Retention Period Changed,annual review,quarterly review,81,"Audit,IT,Finance","Revise policy from annual review to quarterly review, update controls, and collect new evidence.",Material Drift,2025-05-28T16:11:00
DRF-000045,ORG-0012,POL-000122,CIR-00181,Threshold Changed,manual evidence upload,system-generated evidence hash,74,"Compliance,Legal","Revise policy from manual evidence upload to system-generated evidence hash, update controls, and collect new evidence.",Material Drift,2026-01-02T18:00:00
DRF-000046,ORG-0005,POL-000044,CIR-00038,Scope Expanded,informal escalation,formal incident notification within 24 hours,58,"Finance,Audit","Revise policy from informal escalation to formal incident notification within 24 hours, update controls, and collect new evidence.",Minor Drift,2025-05-07T19:26:00
DRF-000047,ORG-0011,POL-000105,CIR-00122,Threshold Changed,basic due diligence,enhanced due diligence for high-risk customers,70,"Legal,Finance","Revise policy from basic due diligence to enhanced due diligence for high-risk customers, update controls, and collect new evidence.",Material Drift,2025-09-23T15:52:00
DRF-000048,ORG-0002,POL-000017,CIR-00056,Approval Level Increased,sample testing,complete population testing for high-risk items,93,Operations,"Revise policy from sample testing to complete population testing for high-risk items, update controls, and collect new evidence.",Material Drift,2026-03-05T19:33:00
DRF-000049,ORG-0009,POL-000085,CIR-00160,Scope Expanded,manual evidence upload,system-generated evidence hash,70,"Risk,Trading Desk,Finance","Revise policy from manual evidence upload to system-generated evidence hash, update controls, and collect new evidence.",Material Drift,2026-04-22T12:36:00
DRF-000050,ORG-0018,POL-000182,CIR-00115,Reporting Frequency Changed,periodic audit,continuous monitoring dashboard,41,"Operations,Data Governance","Revise policy from periodic audit to continuous monitoring dashboard, update controls, and collect new evidence.",Minor Drift,2026-01-10T16:16:00
DRF-000051,ORG-0002,POL-000020,CIR-00007,Reporting Frequency Changed,basic due diligence,enhanced due diligence for high-risk customers,79,Compliance,"Revise policy from basic due diligence to enhanced due diligence for high-risk customers, update controls, and collect new evidence.",Material Drift,2026-04-15T17:08:00
DRF-000052,ORG-0014,POL-000141,CIR-00218,New Control Required,static limits,dynamic risk-based limits,38,"Finance,Trading Desk,Security","Revise policy from static limits to dynamic risk-based limits, update controls, and collect new evidence.",No Action Required,2026-06-30T15:07:00
DRF-000053,ORG-0017,POL-000170,CIR-00180,Threshold Changed,static limits,dynamic risk-based limits,89,Trading Desk,"Revise policy from static limits to dynamic risk-based limits, update controls, and collect new evidence.",Material Drift,2025-07-22T19:07:00
DRF-000054,ORG-0024,POL-000238,CIR-00008,Retention Period Changed,manual evidence upload,system-generated evidence hash,92,"Trading Desk,Finance","Revise policy from manual evidence upload to system-generated evidence hash, update controls, and collect new evidence.",Material Drift,2025-10-08T18:02:00
DRF-000055,ORG-0002,POL-000015,CIR-00041,Timeline Tightened,annual review,quarterly review,51,"Finance,Security,Legal","Revise policy from annual review to quarterly review, update controls, and collect new evidence.",Minor Drift,2025-07-15T16:10:00
DRF-000056,ORG-0005,POL-000047,CIR-00088,Scope Expanded,basic due diligence,enhanced due diligence for high-risk customers,38,Audit,"Revise policy from basic due diligence to enhanced due diligence for high-risk customers, update controls, and collect new evidence.",No Action Required,2025-09-01T09:10:00
DRF-000057,ORG-0009,POL-000090,CIR-00168,Scope Expanded,static limits,dynamic risk-based limits,33,Compliance,"Revise policy from static limits to dynamic risk-based limits, update controls, and collect new evidence.",No Action Required,2025-06-20T13:16:00
DRF-000058,ORG-0027,POL-000280,CIR-00211,Reporting Frequency Changed,annual review,quarterly review,33,Operations,"Revise policy from annual review to quarterly review, update controls, and collect new evidence.",No Action Required,2026-01-11T20:25:00
DRF-000059,ORG-0011,POL-000108,CIR-00090,New Control Required,informal escalation,formal incident notification within 24 hours,60,Trading Desk,"Revise policy from informal escalation to formal incident notification within 24 hours, update controls, and collect new evidence.",Minor Drift,2026-04-27T14:20:00
DRF-000060,ORG-0014,POL-000146,CIR-00144,Threshold Changed,sample testing,complete population testing for high-risk items,58,"Data Governance,Compliance,Legal","Revise policy from sample testing to complete population testing for high-risk items, update controls, and collect new evidence.",Minor Drift,2025-10-20T10:32:00
DRF-000061,ORG-0030,POL-000313,CIR-00208,New Control Required,periodic audit,continuous monitoring dashboard,82,Compliance,"Revise policy from periodic audit to continuous monitoring dashboard, update controls, and collect new evidence.",Material Drift,2026-04-03T18:46:00
DRF-000062,ORG-0007,POL-000064,CIR-00074,Timeline Tightened,sample testing,complete population testing for high-risk items,71,Security,"Revise policy from sample testing to complete population testing for high-risk items, update controls, and collect new evidence.",Material Drift,2025-07-25T20:11:00
DRF-000063,ORG-0017,POL-000174,CIR-00136,Retention Period Changed,board noting,board approval with action tracker,25,"Audit,Compliance,Finance","Revise policy from board noting to board approval with action tracker, update controls, and collect new evidence.",No Action Required,2026-01-26T17:46:00
DRF-000064,ORG-0024,POL-000246,CIR-00030,Approval Level Increased,informal escalation,formal incident notification within 24 hours,80,Compliance,"Revise policy from informal escalation to formal incident notification within 24 hours, update controls, and collect new evidence.",Material Drift,2025-08-05T12:37:00
DRF-000065,ORG-0002,POL-000020,CIR-00025,Approval Level Increased,manual evidence upload,system-generated evidence hash,74,"Finance,IT","Revise policy from manual evidence upload to system-generated evidence hash, update controls, and collect new evidence.",Material Drift,2026-02-03T08:56:00
DRF-000066,ORG-0013,POL-000135,CIR-00137,New Control Required,periodic audit,continuous monitoring dashboard,88,Operations,"Revise policy from periodic audit to continuous monitoring dashboard, update controls, and collect new evidence.",Material Drift,2026-01-26T09:09:00
DRF-000067,ORG-0021,POL-000211,CIR-00204,Timeline Tightened,periodic audit,continuous monitoring dashboard,63,IT,"Revise policy from periodic audit to continuous monitoring dashboard, update controls, and collect new evidence.",Minor Drift,2026-04-10T15:21:00
DRF-000068,ORG-0003,POL-000032,CIR-00178,Approval Level Increased,basic due diligence,enhanced due diligence for high-risk customers,52,Audit,"Revise policy from basic due diligence to enhanced due diligence for high-risk customers, update controls, and collect new evidence.",Minor Drift,2025-11-12T18:03:00
DRF-000069,ORG-0008,POL-000082,CIR-00191,Retention Period Changed,periodic audit,continuous monitoring dashboard,45,IT,"Revise policy from periodic audit to continuous monitoring dashboard, update controls, and collect new evidence.",Minor Drift,2025-03-27T08:16:00
DRF-000070,ORG-0029,POL-000293,CIR-00066,Scope Expanded,sample testing,complete population testing for high-risk items,73,"Audit,Security,IT","Revise policy from sample testing to complete population testing for high-risk items, update controls, and collect new evidence.",Material Drift,2025-05-28T20:00:00
DRF-000071,ORG-0027,POL-000274,CIR-00197,Approval Level Increased,informal escalation,formal incident notification within 24 hours,38,Compliance,"Revise policy from informal escalation to formal incident notification within 24 hours, update controls, and collect new evidence.",No Action Required,2026-06-26T19:55:00
DRF-000072,ORG-0022,POL-000223,CIR-00100,Threshold Changed,basic due diligence,enhanced due diligence for high-risk customers,42,"Operations,Audit,Security","Revise policy from basic due diligence to enhanced due diligence for high-risk customers, update controls, and collect new evidence.",Minor Drift,2026-01-07T15:33:00
DRF-000073,ORG-0003,POL-000030,CIR-00059,Scope Expanded,board noting,board approval with action tracker,31,Security,"Revise policy from board noting to board approval with action tracker, update controls, and collect new evidence.",No Action Required,2025-11-05T18:18:00
DRF-000074,ORG-0013,POL-000131,CIR-00081,Approval Level Increased,periodic audit,continuous monitoring dashboard,41,"Data Governance,Risk,Security","Revise policy from periodic audit to continuous monitoring dashboard, update controls, and collect new evidence.",Minor Drift,2025-05-20T13:56:00
DRF-000075,ORG-0014,POL-000138,CIR-00117,Evidence Standard Changed,sample testing,complete population testing for high-risk items,42,"Operations,Legal","Revise policy from sample testing to complete population testing for high-risk items, update controls, and collect new evidence.",Minor Drift,2025-05-24T19:37:00
DRF-000076,ORG-0015,POL-000156,CIR-00040,Retention Period Changed,board noting,board approval with action tracker,71,Trading Desk,"Revise policy from board noting to board approval with action tracker, update controls, and collect new evidence.",Material Drift,2025-08-13T08:14:00
DRF-000077,ORG-0011,POL-000114,CIR-00183,Timeline Tightened,sample testing,complete population testing for high-risk items,25,"Finance,IT","Revise policy from sample testing to complete population testing for high-risk items, update controls, and collect new evidence.",No Action Required,2025-08-11T09:54:00
DRF-000078,ORG-0015,POL-000149,CIR-00126,Reporting Frequency Changed,sample testing,complete population testing for high-risk items,27,"Audit,Trading Desk","Revise policy from sample testing to complete population testing for high-risk items, update controls, and collect new evidence.",No Action Required,2026-05-14T13:16:00
DRF-000079,ORG-0004,POL-000037,CIR-00199,Threshold Changed,informal escalation,formal incident notification within 24 hours,44,"Compliance,Risk,Data Governance","Revise policy from informal escalation to formal incident notification within 24 hours, update controls, and collect new evidence.",Minor Drift,2026-07-14T08:58:00
DRF-000080,ORG-0018,POL-000179,CIR-00034,Timeline Tightened,sample testing,complete population testing for high-risk items,95,Legal,"Revise policy from sample testing to complete population testing for high-risk items, update controls, and collect new evidence.",Material Drift,2025-05-03T20:14:00
DRF-000081,ORG-0007,POL-000070,CIR-00008,New Control Required,board noting,board approval with action tracker,25,IT,"Revise policy from board noting to board approval with action tracker, update controls, and collect new evidence.",No Action Required,2025-10-21T08:31:00
DRF-000082,ORG-0006,POL-000061,CIR-00077,Timeline Tightened,sample testing,complete population testing for high-risk items,72,IT,"Revise policy from sample testing to complete population testing for high-risk items, update controls, and collect new evidence.",Material Drift,2025-11-15T11:49:00
DRF-000083,ORG-0009,POL-000090,CIR-00032,New Control Required,informal escalation,formal incident notification within 24 hours,34,"Trading Desk,Legal,Data Governance","Revise policy from informal escalation to formal incident notification within 24 hours, update controls, and collect new evidence.",No Action Required,2025-09-12T16:24:00
DRF-000084,ORG-0016,POL-000168,CIR-00185,Evidence Standard Changed,sample testing,complete population testing for high-risk items,68,Legal,"Revise policy from sample testing to complete population testing for high-risk items, update controls, and collect new evidence.",Minor Drift,2025-11-23T16:27:00
DRF-000085,ORG-0007,POL-000067,CIR-00137,Threshold Changed,periodic audit,continuous monitoring dashboard,66,"Finance,Risk,Legal","Revise policy from periodic audit to continuous monitoring dashboard, update controls, and collect new evidence.",Minor Drift,2025-12-22T08:59:00
DRF-000086,ORG-0014,POL-000146,CIR-00215,New Control Required,basic due diligence,enhanced due diligence for high-risk customers,40,Risk,"Revise policy from basic due diligence to enhanced due diligence for high-risk customers, update controls, and collect new evidence.",Minor Drift,2025-04-13T19:52:00
DRF-000087,ORG-0020,POL-000199,CIR-00055,Threshold Changed,manual evidence upload,system-generated evidence hash,34,"Finance,Audit","Revise policy from manual evidence upload to system-generated evidence hash, update controls, and collect new evidence.",No Action Required,2025-11-22T19:35:00
DRF-000088,ORG-0022,POL-000220,CIR-00158,Evidence Standard Changed,periodic audit,continuous monitoring dashboard,47,"Risk,Audit","Revise policy from periodic audit to continuous monitoring dashboard, update controls, and collect new evidence.",Minor Drift,2026-05-24T10:38:00
DRF-000089,ORG-0005,POL-000045,CIR-00003,Scope Expanded,board noting,board approval with action tracker,47,"Data Governance,Legal,Security","Revise policy from board noting to board approval with action tracker, update controls, and collect new evidence.",Minor Drift,2025-11-11T17:25:00
DRF-000090,ORG-0011,POL-000115,CIR-00214,Reporting Frequency Changed,basic due diligence,enhanced due diligence for high-risk customers,65,IT,"Revise policy from basic due diligence to enhanced due diligence for high-risk customers, update controls, and collect new evidence.",Minor Drift,2025-09-07T13:16:00
DRF-000091,ORG-0018,POL-000185,CIR-00086,Threshold Changed,annual review,quarterly review,93,Security,"Revise policy from annual review to quarterly review, update controls, and collect new evidence.",Material Drift,2025-07-27T17:50:00
DRF-000092,ORG-0018,POL-000184,CIR-00132,Reporting Frequency Changed,board noting,board approval with action tracker,55,Finance,"Revise policy from board noting to board approval with action tracker, update controls, and collect new evidence.",Minor Drift,2025-04-14T10:50:00
DRF-000093,ORG-0013,POL-000133,CIR-00194,New Control Required,annual review,quarterly review,96,"Compliance,Data Governance","Revise policy from annual review to quarterly review, update controls, and collect new evidence.",Material Drift,2026-03-08T18:08:00
DRF-000094,ORG-0004,POL-000043,CIR-00135,Scope Expanded,annual review,quarterly review,20,"Trading Desk,Audit","Revise policy from annual review to quarterly review, update controls, and collect new evidence.",No Action Required,2025-07-03T08:34:00
DRF-000095,ORG-0029,POL-000300,CIR-00024,Approval Level Increased,basic due diligence,enhanced due diligence for high-risk customers,22,Audit,"Revise policy from basic due diligence to enhanced due diligence for high-risk customers, update controls, and collect new evidence.",No Action Required,2025-07-16T11:12:00
DRF-000096,ORG-0013,POL-000136,CIR-00120,Timeline Tightened,periodic audit,continuous monitoring dashboard,64,Audit,"Revise policy from periodic audit to continuous monitoring dashboard, update controls, and collect new evidence.",Minor Drift,2025-12-03T17:08:00
DRF-000097,ORG-0012,POL-000119,CIR-00139,Evidence Standard Changed,board noting,board approval with action tracker,38,"Trading Desk,Risk,Operations","Revise policy from board noting to board approval with action tracker, update controls, and collect new evidence.",No Action Required,2025-06-07T13:14:00
DRF-000098,ORG-0030,POL-000307,CIR-00036,Reporting Frequency Changed,basic due diligence,enhanced due diligence for high-risk customers,22,"Risk,Finance","Revise policy from basic due diligence to enhanced due diligence for high-risk customers, update controls, and collect new evidence.",No Action Required,2025-06-22T15:17:00
DRF-000099,ORG-0006,POL-000054,CIR-00025,Evidence Standard Changed,informal escalation,formal incident notification within 24 hours,31,"Data Governance,Security,IT","Revise policy from informal escalation to formal incident notification within 24 hours, update controls, and collect new evidence.",No Action Required,2025-08-31T18:58:00
DRF-000100,ORG-0017,POL-000174,CIR-00004,Reporting Frequency Changed,informal escalation,formal incident notification within 24 hours,72,"Risk,Compliance,Audit","Revise policy from informal escalation to formal incident notification within 24 hours, update controls, and collect new evidence.",Material Drift,2025-10-11T16:05:00
DRF-000101,ORG-0029,POL-000292,CIR-00127,Approval Level Increased,manual evidence upload,system-generated evidence hash,81,"Audit,Trading Desk","Revise policy from manual evidence upload to system-generated evidence hash, update controls, and collect new evidence.",Material Drift,2025-07-22T08:39:00
DRF-000102,ORG-0021,POL-000214,CIR-00086,Reporting Frequency Changed,manual evidence upload,system-generated evidence hash,70,Trading Desk,"Revise policy from manual evidence upload to system-generated evidence hash, update controls, and collect new evidence.",Material Drift,2025-07-01T15:11:00
DRF-000103,ORG-0002,POL-000017,CIR-00011,Scope Expanded,sample testing,complete population testing for high-risk items,58,Security,"Revise policy from sample testing to complete population testing for high-risk items, update controls, and collect new evidence.",Minor Drift,2025-08-28T08:06:00
DRF-000104,ORG-0006,POL-000053,CIR-00114,Threshold Changed,basic due diligence,enhanced due diligence for high-risk customers,46,"Security,Operations,Finance","Revise policy from basic due diligence to enhanced due diligence for high-risk customers, update controls, and collect new evidence.",Minor Drift,2025-04-30T12:21:00
DRF-000105,ORG-0012,POL-000116,CIR-00022,Timeline Tightened,informal escalation,formal incident notification within 24 hours,52,Risk,"Revise policy from informal escalation to formal incident notification within 24 hours, update controls, and collect new evidence.",Minor Drift,2026-07-06T10:33:00
DRF-000106,ORG-0014,POL-000145,CIR-00109,Retention Period Changed,static limits,dynamic risk-based limits,76,"Finance,Security","Revise policy from static limits to dynamic risk-based limits, update controls, and collect new evidence.",Material Drift,2025-10-16T17:51:00
DRF-000107,ORG-0027,POL-000278,CIR-00198,Threshold Changed,sample testing,complete population testing for high-risk items,50,Legal,"Revise policy from sample testing to complete population testing for high-risk items, update controls, and collect new evidence.",Minor Drift,2025-04-12T17:18:00
DRF-000108,ORG-0017,POL-000170,CIR-00105,Approval Level Increased,basic due diligence,enhanced due diligence for high-risk customers,30,"Audit,Compliance,Trading Desk","Revise policy from basic due diligence to enhanced due diligence for high-risk customers, update controls, and collect new evidence.",No Action Required,2026-05-16T08:04:00
DRF-000109,ORG-0025,POL-000253,CIR-00098,Retention Period Changed,manual evidence upload,system-generated evidence hash,27,"Legal,Trading Desk,Operations","Revise policy from manual evidence upload to system-generated evidence hash, update controls, and collect new evidence.",No Action Required,2026-06-24T17:08:00
DRF-000110,ORG-0009,POL-000091,CIR-00119,Evidence Standard Changed,sample testing,complete population testing for high-risk items,59,"Finance,Security,Legal","Revise policy from sample testing to complete population testing for high-risk items, update controls, and collect new evidence.",Minor Drift,2025-09-12T20:01:00
DRF-000111,ORG-0017,POL-000171,CIR-00061,Reporting Frequency Changed,informal escalation,formal incident notification within 24 hours,45,"Finance,Audit,Security","Revise policy from informal escalation to formal incident notification within 24 hours, update controls, and collect new evidence.",Minor Drift,2026-03-28T18:28:00
DRF-000112,ORG-0022,POL-000222,CIR-00055,Approval Level Increased,informal escalation,formal incident notification within 24 hours,82,Security,"Revise policy from informal escalation to formal incident notification within 24 hours, update controls, and collect new evidence.",Material Drift,2026-06-11T17:45:00
DRF-000113,ORG-0023,POL-000227,CIR-00155,Evidence Standard Changed,informal escalation,formal incident notification within 24 hours,51,Legal,"Revise policy from informal escalation to formal incident notification within 24 hours, update controls, and collect new evidence.",Minor Drift,2025-08-29T08:59:00
DRF-000114,ORG-0013,POL-000125,CIR-00133,Reporting Frequency Changed,static limits,dynamic risk-based limits,71,Data Governance,"Revise policy from static limits to dynamic risk-based limits, update controls, and collect new evidence.",Material Drift,2025-10-14T17:52:00
DRF-000115,ORG-0030,POL-000306,CIR-00115,New Control Required,board noting,board approval with action tracker,23,"Finance,Data Governance","Revise policy from board noting to board approval with action tracker, update controls, and collect new evidence.",No Action Required,2026-03-02T16:10:00
DRF-000116,ORG-0013,POL-000125,CIR-00220,Evidence Standard Changed,static limits,dynamic risk-based limits,45,"Operations,IT","Revise policy from static limits to dynamic risk-based limits, update controls, and collect new evidence.",Minor Drift,2026-03-06T20:04:00
