mapping_id,org_id,policy_id,obligation_id,coverage_status,coverage_score,matched_policy_clause,gap_summary,ai_confidence,review_status,reviewed_by,reviewed_at
MAP-0000065,ORG-0002,POL-000020,OBL-000288,Fully Covered,85,"Policy clause mentions liquidity risk control ownership, review cadence, and evidence retention.",No major gap identified.,0.936,Pending Review,USR-00142,2026-03-12T12:59:00
MAP-0000066,ORG-0002,POL-000016,OBL-000230,Not Covered,41,"Policy clause mentions data privacy control ownership, review cadence, and evidence retention.",Policy needs clearer wording for notify stakeholders when material incidents occur and evidence requirements.,0.632,Accepted,USR-00050,2025-07-07T09:03:00
MAP-0000067,ORG-0002,POL-000013,OBL-000620,Not Covered,16,"Policy clause mentions operational resilience control ownership, review cadence, and evidence retention.",Policy needs clearer wording for notify stakeholders when material incidents occur and evidence requirements.,0.752,Pending Review,USR-00119,2026-05-24T14:50:00
MAP-0000068,ORG-0002,POL-000018,OBL-000169,Fully Covered,92,"Policy clause mentions kyc/aml control ownership, review cadence, and evidence retention.",No major gap identified.,0.873,Pending Review,USR-00081,2026-02-19T19:11:00
MAP-0000069,ORG-0002,POL-000013,OBL-000344,Not Covered,10,"Policy clause mentions audit & reporting control ownership, review cadence, and evidence retention.",Policy needs clearer wording for notify stakeholders when material incidents occur and evidence requirements.,0.944,Accepted,USR-00125,2025-06-26T10:02:00
MAP-0000070,ORG-0002,POL-000015,OBL-000168,Fully Covered,97,"Policy clause mentions kyc/aml control ownership, review cadence, and evidence retention.",No major gap identified.,0.945,Rejected,USR-00047,2025-09-19T08:49:00
MAP-0000071,ORG-0002,POL-000013,OBL-000542,Partially Covered,66,"Policy clause mentions trading risk control ownership, review cadence, and evidence retention.",Policy needs clearer wording for review customer or transaction risk indicators and evidence requirements.,0.892,Accepted,USR-00001,2024-11-03T15:49:00
MAP-0000072,ORG-0002,POL-000016,OBL-000342,Fully Covered,92,"Policy clause mentions audit & reporting control ownership, review cadence, and evidence retention.",No major gap identified.,0.851,Pending Review,USR-00130,2025-04-25T16:25:00
MAP-0000073,ORG-0002,POL-000016,OBL-000739,Fully Covered,83,"Policy clause mentions trading risk control ownership, review cadence, and evidence retention.",No major gap identified.,0.775,Pending Review,USR-00141,2025-05-12T16:48:00
MAP-0000074,ORG-0002,POL-000020,OBL-000384,Fully Covered,92,"Policy clause mentions audit & reporting control ownership, review cadence, and evidence retention.",No major gap identified.,0.626,Accepted,USR-00017,2025-11-16T14:59:00
MAP-0000075,ORG-0002,POL-000020,OBL-000087,Needs Human Review,58,"Policy clause mentions audit & reporting control ownership, review cadence, and evidence retention.",Policy needs clearer wording for perform periodic control testing and document exceptions and evidence requirements.,0.814,Rejected,USR-00058,2025-10-22T12:19:00
MAP-0000076,ORG-0002,POL-000013,OBL-000089,Not Covered,42,"Policy clause mentions audit & reporting control ownership, review cadence, and evidence retention.",Policy needs clearer wording for update the internal policy and maintain approval evidence and evidence requirements.,0.927,Accepted,USR-00068,2024-07-23T16:14:00
MAP-0000077,ORG-0002,POL-000013,OBL-000621,Fully Covered,96,"Policy clause mentions operational resilience control ownership, review cadence, and evidence retention.",No major gap identified.,0.701,Accepted,USR-00013,2024-10-04T20:51:00
MAP-0000078,ORG-0002,POL-000017,OBL-000543,Partially Covered,79,"Policy clause mentions trading risk control ownership, review cadence, and evidence retention.",Policy needs clearer wording for submit a compliance confirmation report to management and evidence requirements.,0.94,Accepted,USR-00079,2026-03-25T18:03:00
MAP-0000079,ORG-0002,POL-000020,OBL-000020,Needs Human Review,33,"Policy clause mentions audit & reporting control ownership, review cadence, and evidence retention.",Policy needs clearer wording for retain supporting records for audit and supervisory review and evidence requirements.,0.802,Accepted,USR-00030,2025-03-16T14:35:00
MAP-0000080,ORG-0002,POL-000018,OBL-000164,Fully Covered,88,"Policy clause mentions cybersecurity control ownership, review cadence, and evidence retention.",No major gap identified.,0.625,Accepted,USR-00085,2026-05-12T11:30:00
MAP-0000081,ORG-0002,POL-000013,OBL-000531,Fully Covered,90,"Policy clause mentions liquidity risk control ownership, review cadence, and evidence retention.",No major gap identified.,0.677,Accepted,USR-00066,2025-09-17T10:57:00
MAP-0000082,ORG-0002,POL-000019,OBL-000410,Fully Covered,87,"Policy clause mentions capital adequacy control ownership, review cadence, and evidence retention.",No major gap identified.,0.743,Pending Review,USR-00074,2025-05-31T16:44:00
MAP-0000083,ORG-0002,POL-000014,OBL-000449,Fully Covered,86,"Policy clause mentions capital adequacy control ownership, review cadence, and evidence retention.",No major gap identified.,0.917,Pending Review,USR-00001,2025-03-21T09:49:00
MAP-0000084,ORG-0002,POL-000017,OBL-000088,Needs Human Review,27,"Policy clause mentions audit & reporting control ownership, review cadence, and evidence retention.",Policy needs clearer wording for notify stakeholders when material incidents occur and evidence requirements.,0.88,Accepted,USR-00129,2026-01-17T15:32:00
MAP-0000085,ORG-0002,POL-000014,OBL-000540,Fully Covered,90,"Policy clause mentions trading risk control ownership, review cadence, and evidence retention.",No major gap identified.,0.887,Accepted,USR-00024,2025-07-15T10:24:00
MAP-0000086,ORG-0002,POL-000016,OBL-000079,Partially Covered,61,"Policy clause mentions disclosure control ownership, review cadence, and evidence retention.",Policy needs clearer wording for update the internal policy and maintain approval evidence and evidence requirements.,0.867,Rejected,USR-00023,2024-09-21T10:09:00
MAP-0000087,ORG-0002,POL-000018,OBL-000019,Fully Covered,88,"Policy clause mentions audit & reporting control ownership, review cadence, and evidence retention.",No major gap identified.,0.783,Rejected,USR-00090,2024-08-18T13:54:00
MAP-0000088,ORG-0002,POL-000019,OBL-000441,Partially Covered,72,"Policy clause mentions customer protection control ownership, review cadence, and evidence retention.",Policy needs clearer wording for validate system calculations against approved methodology and evidence requirements.,0.655,Accepted,USR-00104,2025-02-21T10:12:00
MAP-0000089,ORG-0002,POL-000020,OBL-000170,Partially Covered,49,"Policy clause mentions kyc/aml control ownership, review cadence, and evidence retention.",Policy needs clearer wording for monitor threshold breaches and escalate unresolved cases and evidence requirements.,0.952,Pending Review,USR-00127,2026-02-09T20:29:00
MAP-0000090,ORG-0002,POL-000019,OBL-000077,Fully Covered,93,"Policy clause mentions disclosure control ownership, review cadence, and evidence retention.",No major gap identified.,0.688,Accepted,USR-00116,2025-01-27T08:36:00
MAP-0000091,ORG-0002,POL-000018,OBL-000162,Fully Covered,93,"Policy clause mentions cybersecurity control ownership, review cadence, and evidence retention.",No major gap identified.,0.841,Accepted,USR-00002,2025-06-06T15:05:00
MAP-0000092,ORG-0002,POL-000015,OBL-000163,Not Covered,38,"Policy clause mentions cybersecurity control ownership, review cadence, and evidence retention.",Policy needs clearer wording for retain supporting records for audit and supervisory review and evidence requirements.,0.797,Pending Review,USR-00035,2025-11-15T15:35:00
MAP-0000093,ORG-0002,POL-000018,OBL-000409,Fully Covered,83,"Policy clause mentions capital adequacy control ownership, review cadence, and evidence retention.",No major gap identified.,0.887,Pending Review,USR-00063,2025-06-03T16:52:00
MAP-0000094,ORG-0002,POL-000019,OBL-000171,Fully Covered,85,"Policy clause mentions kyc/aml control ownership, review cadence, and evidence retention.",No major gap identified.,0.639,Accepted,USR-00036,2025-04-09T14:09:00
MAP-0000095,ORG-0002,POL-000017,OBL-000629,Fully Covered,95,"Policy clause mentions data privacy control ownership, review cadence, and evidence retention.",No major gap identified.,0.954,Rejected,USR-00094,2024-10-03T15:19:00
MAP-0000096,ORG-0002,POL-000017,OBL-000425,Fully Covered,82,"Policy clause mentions incident management control ownership, review cadence, and evidence retention.",No major gap identified.,0.954,Accepted,USR-00024,2024-12-06T16:38:00
MAP-0000097,ORG-0002,POL-000014,OBL-000403,Fully Covered,85,"Policy clause mentions trading risk control ownership, review cadence, and evidence retention.",No major gap identified.,0.951,Pending Review,USR-00082,2024-11-22T10:36:00
MAP-0000098,ORG-0002,POL-000016,OBL-000351,Partially Covered,50,"Policy clause mentions kyc/aml control ownership, review cadence, and evidence retention.",Policy needs clearer wording for validate system calculations against approved methodology and evidence requirements.,0.699,Accepted,USR-00141,2026-01-24T09:51:00
MAP-0000099,ORG-0002,POL-000017,OBL-000451,Needs Human Review,62,"Policy clause mentions capital adequacy control ownership, review cadence, and evidence retention.",Policy needs clearer wording for perform periodic control testing and document exceptions and evidence requirements.,0.721,Pending Review,USR-00011,2025-06-03T14:05:00
MAP-0000100,ORG-0002,POL-000018,OBL-000343,Fully Covered,83,"Policy clause mentions audit & reporting control ownership, review cadence, and evidence retention.",No major gap identified.,0.667,Accepted,USR-00002,2024-11-05T15:02:00
MAP-0000101,ORG-0002,POL-000020,OBL-000719,Not Covered,25,"Policy clause mentions cybersecurity control ownership, review cadence, and evidence retention.",Policy needs clearer wording for retain supporting records for audit and supervisory review and evidence requirements.,0.804,Accepted,USR-00144,2025-03-29T09:21:00
MAP-0000102,ORG-0002,POL-000015,OBL-000078,Fully Covered,85,"Policy clause mentions disclosure control ownership, review cadence, and evidence retention.",No major gap identified.,0.834,Accepted,USR-00056,2024-11-25T10:47:00
MAP-0000103,ORG-0002,POL-000016,OBL-000021,Needs Human Review,20,"Policy clause mentions audit & reporting control ownership, review cadence, and evidence retention.",Policy needs clearer wording for perform periodic control testing and document exceptions and evidence requirements.,0.852,Pending Review,USR-00148,2025-01-27T15:35:00
MAP-0000104,ORG-0002,POL-000016,OBL-000627,Fully Covered,88,"Policy clause mentions data privacy control ownership, review cadence, and evidence retention.",No major gap identified.,0.829,Accepted,USR-00136,2025-05-14T13:08:00
MAP-0000105,ORG-0002,POL-000019,OBL-000535,Needs Human Review,46,"Policy clause mentions liquidity risk control ownership, review cadence, and evidence retention.",Policy needs clearer wording for validate system calculations against approved methodology and evidence requirements.,0.93,Accepted,USR-00064,2026-04-11T09:45:00
MAP-0000106,ORG-0002,POL-000019,OBL-000630,Fully Covered,97,"Policy clause mentions data privacy control ownership, review cadence, and evidence retention.",No major gap identified.,0.62,Accepted,USR-00049,2025-04-04T19:08:00
MAP-0000107,ORG-0002,POL-000015,OBL-000457,Not Covered,37,"Policy clause mentions outsourcing control ownership, review cadence, and evidence retention.",Policy needs clearer wording for submit a compliance confirmation report to management and evidence requirements.,0.661,Pending Review,USR-00034,2024-08-29T11:15:00
MAP-0000108,ORG-0003,POL-000022,OBL-000078,Not Covered,9,"Policy clause mentions disclosure control ownership, review cadence, and evidence retention.",Policy needs clearer wording for update the internal policy and maintain approval evidence and evidence requirements.,0.716,Accepted,USR-00004,2025-11-15T20:48:00
MAP-0000109,ORG-0003,POL-000029,OBL-000738,Fully Covered,96,"Policy clause mentions trading risk control ownership, review cadence, and evidence retention.",No major gap identified.,0.738,Pending Review,USR-00116,2025-02-09T19:55:00
MAP-0000110,ORG-0003,POL-000025,OBL-000086,Not Covered,24,"Policy clause mentions audit & reporting control ownership, review cadence, and evidence retention.",Policy needs clearer wording for update the internal policy and maintain approval evidence and evidence requirements.,0.712,Accepted,USR-00113,2024-12-02T08:49:00
MAP-0000111,ORG-0003,POL-000024,OBL-000717,Partially Covered,69,"Policy clause mentions cybersecurity control ownership, review cadence, and evidence retention.",Policy needs clearer wording for validate system calculations against approved methodology and evidence requirements.,0.694,Rejected,USR-00131,2026-05-07T10:07:00
MAP-0000112,ORG-0003,POL-000025,OBL-000386,Partially Covered,78,"Policy clause mentions audit & reporting control ownership, review cadence, and evidence retention.",Policy needs clearer wording for retain supporting records for audit and supervisory review and evidence requirements.,0.707,Accepted,USR-00133,2025-06-01T19:25:00
MAP-0000113,ORG-0003,POL-000021,OBL-000162,Fully Covered,85,"Policy clause mentions cybersecurity control ownership, review cadence, and evidence retention.",No major gap identified.,0.702,Accepted,USR-00063,2026-06-03T16:54:00
MAP-0000114,ORG-0003,POL-000030,OBL-000207,Partially Covered,78,"Policy clause mentions customer protection control ownership, review cadence, and evidence retention.",Policy needs clearer wording for validate system calculations against approved methodology and evidence requirements.,0.933,Pending Review,USR-00136,2024-07-22T10:01:00
MAP-0000115,ORG-0003,POL-000026,OBL-000287,Partially Covered,80,"Policy clause mentions liquidity risk control ownership, review cadence, and evidence retention.",Policy needs clearer wording for update the internal policy and maintain approval evidence and evidence requirements.,0.763,Accepted,USR-00124,2025-02-02T10:06:00
MAP-0000116,ORG-0003,POL-000032,OBL-000096,Fully Covered,95,"Policy clause mentions capital adequacy control ownership, review cadence, and evidence retention.",No major gap identified.,0.705,Pending Review,USR-00052,2026-04-23T14:42:00
MAP-0000117,ORG-0003,POL-000030,OBL-000535,Partially Covered,67,"Policy clause mentions liquidity risk control ownership, review cadence, and evidence retention.",Policy needs clearer wording for validate system calculations against approved methodology and evidence requirements.,0.653,Accepted,USR-00051,2025-03-26T13:02:00
