example_id,utterance,intent_label,entities_json,split
INT-000013,What factors increased our compliance risk?,explain_risk_score,"{""category"": ""Outsourcing"", ""regulator"": ""MOF"", ""org_id"": ""ORG-0006"", ""obligation_id"": ""OBL-000634""}",train
INT-000014,Show circulars related to Customer Protection for FinTech,search_circular,"{""category"": ""KYC/AML"", ""regulator"": ""NPCI"", ""org_id"": ""ORG-0020"", ""obligation_id"": ""OBL-000546""}",train
INT-000015,Extract action items from CIR-00157,extract_obligations,"{""category"": ""Trading Risk"", ""regulator"": ""FIU-IND"", ""org_id"": ""ORG-0012"", ""obligation_id"": ""OBL-000405""}",train
INT-000016,Export risk report for this month,generate_report,"{""category"": ""Disclosure"", ""regulator"": ""FIU-IND"", ""org_id"": ""ORG-0014"", ""obligation_id"": ""OBL-000480""}",validation
INT-000017,Show audit trail for MAP-0000790,show_audit_trail,"{""category"": ""Liquidity Risk"", ""regulator"": ""MOF"", ""org_id"": ""ORG-0004"", ""obligation_id"": ""OBL-000573""}",train
INT-000018,Show obligations due in 30 days,deadline_query,"{""category"": ""Cybersecurity"", ""regulator"": ""SEBI"", ""org_id"": ""ORG-0020"", ""obligation_id"": ""OBL-000398""}",train
INT-000019,Prepare board summary for open findings,generate_report,"{""category"": ""Incident Management"", ""regulator"": ""IRDAI"", ""org_id"": ""ORG-0014"", ""obligation_id"": ""OBL-000254""}",train
INT-000020,Which evidence is rejected for ORG-0015?,show_evidence_status,"{""category"": ""Capital Adequacy"", ""regulator"": ""IRDAI"", ""org_id"": ""ORG-0015"", ""obligation_id"": ""OBL-000717""}",train
INT-000021,What is the main point of CIR-00036?,summarize_circular,"{""category"": ""Capital Adequacy"", ""regulator"": ""SEBI"", ""org_id"": ""ORG-0005"", ""obligation_id"": ""OBL-000401""}",train
INT-000022,Tell me what we must do for Liquidity Risk,extract_obligations,"{""category"": ""Disclosure"", ""regulator"": ""FIU-IND"", ""org_id"": ""ORG-0010"", ""obligation_id"": ""OBL-000276""}",train
INT-000023,Show missing evidence for Disclosure,show_evidence_status,"{""category"": ""Operational Resilience"", ""regulator"": ""SEBI"", ""org_id"": ""ORG-0011"", ""obligation_id"": ""OBL-000145""}",train
INT-000024,Which circular talks about KYC/AML risk?,search_circular,"{""category"": ""Audit & Reporting"", ""regulator"": ""NPCI"", ""org_id"": ""ORG-0012"", ""obligation_id"": ""OBL-000139""}",validation
INT-000025,Who approved this mapping?,show_audit_trail,"{""category"": ""KYC/AML"", ""regulator"": ""SEBI"", ""org_id"": ""ORG-0005"", ""obligation_id"": ""OBL-000002""}",train
INT-000026,Who should own Outsourcing remediation?,assign_owner,"{""category"": ""Data Privacy"", ""regulator"": ""MOF"", ""org_id"": ""ORG-0009"", ""obligation_id"": ""OBL-000151""}",train
INT-000027,Give me action plan for non-compliant obligations,create_remediation_plan,"{""category"": ""Audit & Reporting"", ""regulator"": ""RBI"", ""org_id"": ""ORG-0027"", ""obligation_id"": ""OBL-000756""}",train
INT-000028,Which evidence is rejected for ORG-0005?,show_evidence_status,"{""category"": ""Capital Adequacy"", ""regulator"": ""RBI"", ""org_id"": ""ORG-0005"", ""obligation_id"": ""OBL-000310""}",train
INT-000029,Which circular talks about Outsourcing risk?,search_circular,"{""category"": ""Customer Protection"", ""regulator"": ""NPCI"", ""org_id"": ""ORG-0026"", ""obligation_id"": ""OBL-000255""}",validation
INT-000030,Why is OBL-000654 marked partial?,check_policy_gap,"{""category"": ""Trading Risk"", ""regulator"": ""IRDAI"", ""org_id"": ""ORG-0014"", ""obligation_id"": ""OBL-000654""}",validation
INT-000031,Show audit trail for MAP-0000713,show_audit_trail,"{""category"": ""Cybersecurity"", ""regulator"": ""FIU-IND"", ""org_id"": ""ORG-0021"", ""obligation_id"": ""OBL-000642""}",train
INT-000032,Summarize CIR-00219 in simple words,summarize_circular,"{""category"": ""Audit & Reporting"", ""regulator"": ""NPCI"", ""org_id"": ""ORG-0016"", ""obligation_id"": ""OBL-000403""}",test
INT-000033,What factors increased our compliance risk?,explain_risk_score,"{""category"": ""Trading Risk"", ""regulator"": ""MOF"", ""org_id"": ""ORG-0025"", ""obligation_id"": ""OBL-000184""}",train
INT-000034,Extract action items from CIR-00126,extract_obligations,"{""category"": ""Disclosure"", ""regulator"": ""FIU-IND"", ""org_id"": ""ORG-0017"", ""obligation_id"": ""OBL-000569""}",validation
INT-000035,Who approved this mapping?,show_audit_trail,"{""category"": ""Liquidity Risk"", ""regulator"": ""FIU-IND"", ""org_id"": ""ORG-0018"", ""obligation_id"": ""OBL-000142""}",train
INT-000036,Create remediation steps for finding FND-000555,create_remediation_plan,"{""category"": ""Operational Resilience"", ""regulator"": ""SEBI"", ""org_id"": ""ORG-0005"", ""obligation_id"": ""OBL-000293""}",validation
INT-000037,Assign this finding to Trading Desk,assign_owner,"{""category"": ""Cybersecurity"", ""regulator"": ""MOF"", ""org_id"": ""ORG-0001"", ""obligation_id"": ""OBL-000704""}",train
INT-000038,Is our policy covering obligation OBL-000519?,check_policy_gap,"{""category"": ""KYC/AML"", ""regulator"": ""RBI"", ""org_id"": ""ORG-0019"", ""obligation_id"": ""OBL-000519""}",train
INT-000039,What obligations are in circular CIR-00177?,extract_obligations,"{""category"": ""Disclosure"", ""regulator"": ""IRDAI"", ""org_id"": ""ORG-0022"", ""obligation_id"": ""OBL-000087""}",train
INT-000040,What factors increased our compliance risk?,explain_risk_score,"{""category"": ""KYC/AML"", ""regulator"": ""NPCI"", ""org_id"": ""ORG-0016"", ""obligation_id"": ""OBL-000619""}",train
INT-000041,What factors increased our compliance risk?,explain_risk_score,"{""category"": ""Capital Adequacy"", ""regulator"": ""SEBI"", ""org_id"": ""ORG-0018"", ""obligation_id"": ""OBL-000249""}",validation
INT-000042,Find latest SEBI requirements for Incident Management,search_circular,"{""category"": ""Audit & Reporting"", ""regulator"": ""SEBI"", ""org_id"": ""ORG-0016"", ""obligation_id"": ""OBL-000657""}",validation
INT-000043,Create remediation steps for finding FND-000368,create_remediation_plan,"{""category"": ""Data Privacy"", ""regulator"": ""MOF"", ""org_id"": ""ORG-0018"", ""obligation_id"": ""OBL-000371""}",train
INT-000044,Tell me what we must do for Disclosure,extract_obligations,"{""category"": ""Operational Resilience"", ""regulator"": ""SEBI"", ""org_id"": ""ORG-0006"", ""obligation_id"": ""OBL-000258""}",train
INT-000045,Prepare board summary for open findings,generate_report,"{""category"": ""Outsourcing"", ""regulator"": ""IRDAI"", ""org_id"": ""ORG-0026"", ""obligation_id"": ""OBL-000279""}",train
INT-000046,Tell me what we must do for Cybersecurity,extract_obligations,"{""category"": ""Incident Management"", ""regulator"": ""IRDAI"", ""org_id"": ""ORG-0004"", ""obligation_id"": ""OBL-000066""}",train
INT-000047,What obligations are in circular CIR-00019?,extract_obligations,"{""category"": ""Incident Management"", ""regulator"": ""IRDAI"", ""org_id"": ""ORG-0015"", ""obligation_id"": ""OBL-000091""}",train
INT-000048,Show circulars related to Outsourcing for FinTech,search_circular,"{""category"": ""Data Privacy"", ""regulator"": ""SEBI"", ""org_id"": ""ORG-0028"", ""obligation_id"": ""OBL-000241""}",train
INT-000049,Which evidence is rejected for ORG-0008?,show_evidence_status,"{""category"": ""Outsourcing"", ""regulator"": ""RBI"", ""org_id"": ""ORG-0008"", ""obligation_id"": ""OBL-000077""}",validation
INT-000050,Show obligations due in 30 days,deadline_query,"{""category"": ""KYC/AML"", ""regulator"": ""FIU-IND"", ""org_id"": ""ORG-0022"", ""obligation_id"": ""OBL-000530""}",train
INT-000051,What obligations are in circular CIR-00071?,extract_obligations,"{""category"": ""Data Privacy"", ""regulator"": ""NPCI"", ""org_id"": ""ORG-0028"", ""obligation_id"": ""OBL-000546""}",validation
INT-000052,Give executive summary for RBI circular,summarize_circular,"{""category"": ""Operational Resilience"", ""regulator"": ""RBI"", ""org_id"": ""ORG-0025"", ""obligation_id"": ""OBL-000235""}",validation
INT-000053,Extract action items from CIR-00042,extract_obligations,"{""category"": ""Trading Risk"", ""regulator"": ""RBI"", ""org_id"": ""ORG-0027"", ""obligation_id"": ""OBL-000526""}",train
INT-000054,Which circular deadlines are overdue?,deadline_query,"{""category"": ""Audit & Reporting"", ""regulator"": ""FIU-IND"", ""org_id"": ""ORG-0026"", ""obligation_id"": ""OBL-000341""}",train
INT-000055,List recent LLM review events,show_audit_trail,"{""category"": ""Cybersecurity"", ""regulator"": ""RBI"", ""org_id"": ""ORG-0029"", ""obligation_id"": ""OBL-000010""}",test
INT-000056,Show obligations due in 30 days,deadline_query,"{""category"": ""Data Privacy"", ""regulator"": ""NPCI"", ""org_id"": ""ORG-0027"", ""obligation_id"": ""OBL-000057""}",train
INT-000057,What obligations are in circular CIR-00175?,extract_obligations,"{""category"": ""Cybersecurity"", ""regulator"": ""NPCI"", ""org_id"": ""ORG-0020"", ""obligation_id"": ""OBL-000053""}",train
INT-000058,Which evidence is rejected for ORG-0016?,show_evidence_status,"{""category"": ""Outsourcing"", ""regulator"": ""MOF"", ""org_id"": ""ORG-0016"", ""obligation_id"": ""OBL-000631""}",train
INT-000059,Why is OBL-000752 marked partial?,check_policy_gap,"{""category"": ""Trading Risk"", ""regulator"": ""MOF"", ""org_id"": ""ORG-0028"", ""obligation_id"": ""OBL-000752""}",validation
INT-000060,Which circular deadlines are overdue?,deadline_query,"{""category"": ""Customer Protection"", ""regulator"": ""IRDAI"", ""org_id"": ""ORG-0022"", ""obligation_id"": ""OBL-000176""}",validation
INT-000061,Find latest NPCI requirements for Disclosure,search_circular,"{""category"": ""Outsourcing"", ""regulator"": ""NPCI"", ""org_id"": ""ORG-0016"", ""obligation_id"": ""OBL-000517""}",train
INT-000062,Which circular talks about Capital Adequacy risk?,search_circular,"{""category"": ""Incident Management"", ""regulator"": ""MOF"", ""org_id"": ""ORG-0004"", ""obligation_id"": ""OBL-000130""}",validation
INT-000063,Give me action plan for non-compliant obligations,create_remediation_plan,"{""category"": ""Incident Management"", ""regulator"": ""IRDAI"", ""org_id"": ""ORG-0014"", ""obligation_id"": ""OBL-000599""}",train
INT-000064,Show audit trail for MAP-0000809,show_audit_trail,"{""category"": ""Outsourcing"", ""regulator"": ""SEBI"", ""org_id"": ""ORG-0006"", ""obligation_id"": ""OBL-000663""}",train
INT-000065,Which circular talks about Cybersecurity risk?,search_circular,"{""category"": ""Operational Resilience"", ""regulator"": ""SEBI"", ""org_id"": ""ORG-0001"", ""obligation_id"": ""OBL-000691""}",train
INT-000066,Is our policy covering obligation OBL-000118?,check_policy_gap,"{""category"": ""Data Privacy"", ""regulator"": ""SEBI"", ""org_id"": ""ORG-0011"", ""obligation_id"": ""OBL-000118""}",test
INT-000067,Which circular deadlines are overdue?,deadline_query,"{""category"": ""Incident Management"", ""regulator"": ""MOF"", ""org_id"": ""ORG-0019"", ""obligation_id"": ""OBL-000277""}",train
INT-000068,Which circular talks about Disclosure risk?,search_circular,"{""category"": ""Liquidity Risk"", ""regulator"": ""SEBI"", ""org_id"": ""ORG-0020"", ""obligation_id"": ""OBL-000477""}",train
INT-000069,Show circulars related to Customer Protection for Payments,search_circular,"{""category"": ""Disclosure"", ""regulator"": ""RBI"", ""org_id"": ""ORG-0001"", ""obligation_id"": ""OBL-000300""}",train
INT-000070,Show circulars related to Outsourcing for Mutual Funds,search_circular,"{""category"": ""Outsourcing"", ""regulator"": ""SEBI"", ""org_id"": ""ORG-0018"", ""obligation_id"": ""OBL-000181""}",train
INT-000071,What changed from old requirement to new requirement?,compare_policy_versions,"{""category"": ""Cybersecurity"", ""regulator"": ""RBI"", ""org_id"": ""ORG-0010"", ""obligation_id"": ""OBL-000377""}",train
INT-000072,Do we have proof for obligation OBL-000389?,show_evidence_status,"{""category"": ""KYC/AML"", ""regulator"": ""SEBI"", ""org_id"": ""ORG-0025"", ""obligation_id"": ""OBL-000389""}",validation
INT-000073,Export risk report for this month,generate_report,"{""category"": ""Disclosure"", ""regulator"": ""RBI"", ""org_id"": ""ORG-0014"", ""obligation_id"": ""OBL-000094""}",train
INT-000074,Assign this finding to Operations,assign_owner,"{""category"": ""Cybersecurity"", ""regulator"": ""SEBI"", ""org_id"": ""ORG-0014"", ""obligation_id"": ""OBL-000085""}",validation
INT-000075,Set owner for obligation OBL-000679,assign_owner,"{""category"": ""KYC/AML"", ""regulator"": ""NPCI"", ""org_id"": ""ORG-0017"", ""obligation_id"": ""OBL-000679""}",train
INT-000076,Why is OBL-000732 marked partial?,check_policy_gap,"{""category"": ""Customer Protection"", ""regulator"": ""MOF"", ""org_id"": ""ORG-0029"", ""obligation_id"": ""OBL-000732""}",train
INT-000077,Export risk report for this month,generate_report,"{""category"": ""Incident Management"", ""regulator"": ""FIU-IND"", ""org_id"": ""ORG-0020"", ""obligation_id"": ""OBL-000432""}",train
INT-000078,What is the main point of CIR-00056?,summarize_circular,"{""category"": ""Incident Management"", ""regulator"": ""MOF"", ""org_id"": ""ORG-0012"", ""obligation_id"": ""OBL-000405""}",train
INT-000079,Is our policy covering obligation OBL-000109?,check_policy_gap,"{""category"": ""KYC/AML"", ""regulator"": ""NPCI"", ""org_id"": ""ORG-0008"", ""obligation_id"": ""OBL-000109""}",train
INT-000080,Do we have proof for obligation OBL-000526?,show_evidence_status,"{""category"": ""Outsourcing"", ""regulator"": ""NPCI"", ""org_id"": ""ORG-0002"", ""obligation_id"": ""OBL-000526""}",train
INT-000081,Extract action items from CIR-00114,extract_obligations,"{""category"": ""Capital Adequacy"", ""regulator"": ""NPCI"", ""org_id"": ""ORG-0025"", ""obligation_id"": ""OBL-000241""}",train
INT-000082,What changed from old requirement to new requirement?,compare_policy_versions,"{""category"": ""Outsourcing"", ""regulator"": ""SEBI"", ""org_id"": ""ORG-0028"", ""obligation_id"": ""OBL-000182""}",validation
INT-000083,Give executive summary for FIU-IND circular,summarize_circular,"{""category"": ""Liquidity Risk"", ""regulator"": ""FIU-IND"", ""org_id"": ""ORG-0013"", ""obligation_id"": ""OBL-000607""}",validation
INT-000084,Do we have proof for obligation OBL-000592?,show_evidence_status,"{""category"": ""Incident Management"", ""regulator"": ""SEBI"", ""org_id"": ""ORG-0018"", ""obligation_id"": ""OBL-000592""}",train
INT-000085,Do we have proof for obligation OBL-000375?,show_evidence_status,"{""category"": ""Audit & Reporting"", ""regulator"": ""IRDAI"", ""org_id"": ""ORG-0024"", ""obligation_id"": ""OBL-000375""}",train
INT-000086,Tell me what we must do for Outsourcing,extract_obligations,"{""category"": ""Outsourcing"", ""regulator"": ""NPCI"", ""org_id"": ""ORG-0008"", ""obligation_id"": ""OBL-000618""}",train
INT-000087,Show obligations due in 30 days,deadline_query,"{""category"": ""Customer Protection"", ""regulator"": ""SEBI"", ""org_id"": ""ORG-0024"", ""obligation_id"": ""OBL-000421""}",validation
INT-000088,Show missing evidence for Cybersecurity,show_evidence_status,"{""category"": ""KYC/AML"", ""regulator"": ""SEBI"", ""org_id"": ""ORG-0024"", ""obligation_id"": ""OBL-000745""}",train
INT-000089,What is due this month?,deadline_query,"{""category"": ""Capital Adequacy"", ""regulator"": ""MOF"", ""org_id"": ""ORG-0008"", ""obligation_id"": ""OBL-000516""}",validation
INT-000090,List recent LLM review events,show_audit_trail,"{""category"": ""Data Privacy"", ""regulator"": ""SEBI"", ""org_id"": ""ORG-0018"", ""obligation_id"": ""OBL-000462""}",validation
INT-000091,Assign this finding to IT,assign_owner,"{""category"": ""Outsourcing"", ""regulator"": ""IRDAI"", ""org_id"": ""ORG-0019"", ""obligation_id"": ""OBL-000464""}",train
INT-000092,How do I fix Capital Adequacy gaps?,create_remediation_plan,"{""category"": ""Incident Management"", ""regulator"": ""MOF"", ""org_id"": ""ORG-0006"", ""obligation_id"": ""OBL-000200""}",train
INT-000093,Who approved this mapping?,show_audit_trail,"{""category"": ""KYC/AML"", ""regulator"": ""RBI"", ""org_id"": ""ORG-0020"", ""obligation_id"": ""OBL-000402""}",train
INT-000094,Set owner for obligation OBL-000628,assign_owner,"{""category"": ""Disclosure"", ""regulator"": ""NPCI"", ""org_id"": ""ORG-0002"", ""obligation_id"": ""OBL-000628""}",test
INT-000095,What factors increased our compliance risk?,explain_risk_score,"{""category"": ""Capital Adequacy"", ""regulator"": ""MOF"", ""org_id"": ""ORG-0028"", ""obligation_id"": ""OBL-000116""}",train
INT-000096,List recent LLM review events,show_audit_trail,"{""category"": ""Operational Resilience"", ""regulator"": ""SEBI"", ""org_id"": ""ORG-0030"", ""obligation_id"": ""OBL-000747""}",test
INT-000097,What changed from old requirement to new requirement?,compare_policy_versions,"{""category"": ""Disclosure"", ""regulator"": ""SEBI"", ""org_id"": ""ORG-0018"", ""obligation_id"": ""OBL-000404""}",test
INT-000098,List recent LLM review events,show_audit_trail,"{""category"": ""Liquidity Risk"", ""regulator"": ""SEBI"", ""org_id"": ""ORG-0022"", ""obligation_id"": ""OBL-000278""}",train
INT-000099,Export risk report for this month,generate_report,"{""category"": ""Operational Resilience"", ""regulator"": ""SEBI"", ""org_id"": ""ORG-0019"", ""obligation_id"": ""OBL-000531""}",train
INT-000100,Explain the risk score for ORG-0027,explain_risk_score,"{""category"": ""KYC/AML"", ""regulator"": ""NPCI"", ""org_id"": ""ORG-0027"", ""obligation_id"": ""OBL-000155""}",train
INT-000101,Compare policy POL-000013 with new circular CIR-00080,compare_policy_versions,"{""category"": ""Trading Risk"", ""regulator"": ""SEBI"", ""org_id"": ""ORG-0002"", ""obligation_id"": ""OBL-000706""}",validation
INT-000102,List recent LLM review events,show_audit_trail,"{""category"": ""Audit & Reporting"", ""regulator"": ""NPCI"", ""org_id"": ""ORG-0012"", ""obligation_id"": ""OBL-000728""}",train
INT-000103,Find gaps for Trading Limit and Surveillance Policy,check_policy_gap,"{""category"": ""Cybersecurity"", ""regulator"": ""SEBI"", ""org_id"": ""ORG-0016"", ""obligation_id"": ""OBL-000346""}",train
INT-000104,Export risk report for this month,generate_report,"{""category"": ""Outsourcing"", ""regulator"": ""IRDAI"", ""org_id"": ""ORG-0027"", ""obligation_id"": ""OBL-000466""}",train
INT-000105,Tell me what we must do for Customer Protection,extract_obligations,"{""category"": ""Incident Management"", ""regulator"": ""SEBI"", ""org_id"": ""ORG-0030"", ""obligation_id"": ""OBL-000484""}",train
INT-000106,Do we have proof for obligation OBL-000693?,show_evidence_status,"{""category"": ""Data Privacy"", ""regulator"": ""FIU-IND"", ""org_id"": ""ORG-0001"", ""obligation_id"": ""OBL-000693""}",train
INT-000107,Why is ORG-0022 high risk?,explain_risk_score,"{""category"": ""Data Privacy"", ""regulator"": ""SEBI"", ""org_id"": ""ORG-0022"", ""obligation_id"": ""OBL-000090""}",validation
INT-000108,Do we have proof for obligation OBL-000611?,show_evidence_status,"{""category"": ""Cybersecurity"", ""regulator"": ""RBI"", ""org_id"": ""ORG-0003"", ""obligation_id"": ""OBL-000611""}",train
INT-000109,Why is ORG-0029 high risk?,explain_risk_score,"{""category"": ""Disclosure"", ""regulator"": ""NPCI"", ""org_id"": ""ORG-0029"", ""obligation_id"": ""OBL-000489""}",train
INT-000110,Why is OBL-000721 marked partial?,check_policy_gap,"{""category"": ""Data Privacy"", ""regulator"": ""FIU-IND"", ""org_id"": ""ORG-0004"", ""obligation_id"": ""OBL-000721""}",train
INT-000111,List recent LLM review events,show_audit_trail,"{""category"": ""Disclosure"", ""regulator"": ""NPCI"", ""org_id"": ""ORG-0015"", ""obligation_id"": ""OBL-000011""}",train
INT-000112,Show missing evidence for Outsourcing,show_evidence_status,"{""category"": ""Operational Resilience"", ""regulator"": ""FIU-IND"", ""org_id"": ""ORG-0021"", ""obligation_id"": ""OBL-000725""}",train
INT-000113,Explain the risk score for ORG-0024,explain_risk_score,"{""category"": ""Capital Adequacy"", ""regulator"": ""SEBI"", ""org_id"": ""ORG-0024"", ""obligation_id"": ""OBL-000278""}",validation
INT-000114,Generate compliance report for ORG-0019,generate_report,"{""category"": ""Cybersecurity"", ""regulator"": ""NPCI"", ""org_id"": ""ORG-0019"", ""obligation_id"": ""OBL-000643""}",train
INT-000115,Who approved this mapping?,show_audit_trail,"{""category"": ""Disclosure"", ""regulator"": ""RBI"", ""org_id"": ""ORG-0014"", ""obligation_id"": ""OBL-000560""}",train
INT-000116,What changed from old requirement to new requirement?,compare_policy_versions,"{""category"": ""Disclosure"", ""regulator"": ""FIU-IND"", ""org_id"": ""ORG-0001"", ""obligation_id"": ""OBL-000259""}",validation
INT-000117,Which circular talks about Audit & Reporting risk?,search_circular,"{""category"": ""Audit & Reporting"", ""regulator"": ""SEBI"", ""org_id"": ""ORG-0007"", ""obligation_id"": ""OBL-000345""}",validation
INT-000118,What is the main point of CIR-00018?,summarize_circular,"{""category"": ""Capital Adequacy"", ""regulator"": ""RBI"", ""org_id"": ""ORG-0003"", ""obligation_id"": ""OBL-000166""}",train
INT-000119,Summarize CIR-00143 in simple words,summarize_circular,"{""category"": ""Customer Protection"", ""regulator"": ""NPCI"", ""org_id"": ""ORG-0021"", ""obligation_id"": ""OBL-000216""}",train
INT-000120,Summarize CIR-00218 in simple words,summarize_circular,"{""category"": ""Customer Protection"", ""regulator"": ""IRDAI"", ""org_id"": ""ORG-0001"", ""obligation_id"": ""OBL-000218""}",train
INT-000121,Export risk report for this month,generate_report,"{""category"": ""Operational Resilience"", ""regulator"": ""MOF"", ""org_id"": ""ORG-0015"", ""obligation_id"": ""OBL-000352""}",train
INT-000122,What is due this month?,deadline_query,"{""category"": ""KYC/AML"", ""regulator"": ""IRDAI"", ""org_id"": ""ORG-0005"", ""obligation_id"": ""OBL-000701""}",train
INT-000123,What is due this month?,deadline_query,"{""category"": ""KYC/AML"", ""regulator"": ""IRDAI"", ""org_id"": ""ORG-0025"", ""obligation_id"": ""OBL-000148""}",train
INT-000124,Is our policy covering obligation OBL-000353?,check_policy_gap,"{""category"": ""KYC/AML"", ""regulator"": ""FIU-IND"", ""org_id"": ""ORG-0008"", ""obligation_id"": ""OBL-000353""}",train
INT-000125,Give me action plan for non-compliant obligations,create_remediation_plan,"{""category"": ""Outsourcing"", ""regulator"": ""NPCI"", ""org_id"": ""ORG-0008"", ""obligation_id"": ""OBL-000248""}",train
INT-000126,Find latest MOF requirements for Operational Resilience,search_circular,"{""category"": ""Capital Adequacy"", ""regulator"": ""MOF"", ""org_id"": ""ORG-0008"", ""obligation_id"": ""OBL-000622""}",train
INT-000127,Give me action plan for non-compliant obligations,create_remediation_plan,"{""category"": ""Liquidity Risk"", ""regulator"": ""IRDAI"", ""org_id"": ""ORG-0016"", ""obligation_id"": ""OBL-000161""}",train
INT-000128,Why is ORG-0030 high risk?,explain_risk_score,"{""category"": ""Outsourcing"", ""regulator"": ""SEBI"", ""org_id"": ""ORG-0030"", ""obligation_id"": ""OBL-000138""}",train
INT-000129,Which evidence is rejected for ORG-0008?,show_evidence_status,"{""category"": ""Capital Adequacy"", ""regulator"": ""FIU-IND"", ""org_id"": ""ORG-0008"", ""obligation_id"": ""OBL-000263""}",train
INT-000130,Who should own Incident Management remediation?,assign_owner,"{""category"": ""Outsourcing"", ""regulator"": ""IRDAI"", ""org_id"": ""ORG-0009"", ""obligation_id"": ""OBL-000565""}",train
INT-000131,Create remediation steps for finding FND-000008,create_remediation_plan,"{""category"": ""Liquidity Risk"", ""regulator"": ""NPCI"", ""org_id"": ""ORG-0020"", ""obligation_id"": ""OBL-000631""}",train
INT-000132,Which circular talks about Operational Resilience risk?,search_circular,"{""category"": ""Audit & Reporting"", ""regulator"": ""FIU-IND"", ""org_id"": ""ORG-0018"", ""obligation_id"": ""OBL-000176""}",train
INT-000133,Tell me what we must do for Outsourcing,extract_obligations,"{""category"": ""Incident Management"", ""regulator"": ""SEBI"", ""org_id"": ""ORG-0017"", ""obligation_id"": ""OBL-000042""}",train
INT-000134,Why is ORG-0021 high risk?,explain_risk_score,"{""category"": ""Incident Management"", ""regulator"": ""MOF"", ""org_id"": ""ORG-0021"", ""obligation_id"": ""OBL-000647""}",train
INT-000135,What changed from old requirement to new requirement?,compare_policy_versions,"{""category"": ""Incident Management"", ""regulator"": ""MOF"", ""org_id"": ""ORG-0018"", ""obligation_id"": ""OBL-000236""}",train
INT-000136,Why is OBL-000091 marked partial?,check_policy_gap,"{""category"": ""Cybersecurity"", ""regulator"": ""RBI"", ""org_id"": ""ORG-0016"", ""obligation_id"": ""OBL-000091""}",train
INT-000137,Show circulars related to Data Privacy for Mutual Funds,search_circular,"{""category"": ""Trading Risk"", ""regulator"": ""IRDAI"", ""org_id"": ""ORG-0003"", ""obligation_id"": ""OBL-000674""}",train
INT-000138,Set owner for obligation OBL-000221,assign_owner,"{""category"": ""Outsourcing"", ""regulator"": ""IRDAI"", ""org_id"": ""ORG-0002"", ""obligation_id"": ""OBL-000221""}",train
INT-000139,Explain the risk score for ORG-0001,explain_risk_score,"{""category"": ""Cybersecurity"", ""regulator"": ""FIU-IND"", ""org_id"": ""ORG-0001"", ""obligation_id"": ""OBL-000260""}",train
INT-000140,Give executive summary for FIU-IND circular,summarize_circular,"{""category"": ""Data Privacy"", ""regulator"": ""FIU-IND"", ""org_id"": ""ORG-0007"", ""obligation_id"": ""OBL-000563""}",train
INT-000141,Who approved this mapping?,show_audit_trail,"{""category"": ""Cybersecurity"", ""regulator"": ""SEBI"", ""org_id"": ""ORG-0028"", ""obligation_id"": ""OBL-000699""}",validation
