qa_id,user_question,expected_answer,intent,linked_circular_id,linked_obligation_id,linked_org_id,difficulty,split
QA-000022,Tell me what we must do for Liquidity Risk,"Intent: extract_obligations. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",extract_obligations,CIR-00206,OBL-000276,ORG-0010,medium,train
QA-000023,Show missing evidence for Disclosure,"Intent: show_evidence_status. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",show_evidence_status,CIR-00217,OBL-000145,ORG-0011,medium,train
QA-000024,Which circular talks about KYC/AML risk?,"Intent: search_circular. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",search_circular,CIR-00160,OBL-000139,ORG-0012,medium,validation
QA-000025,Who approved this mapping?,"Intent: show_audit_trail. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",show_audit_trail,CIR-00200,OBL-000002,ORG-0005,easy,train
QA-000026,Who should own Outsourcing remediation?,"Intent: assign_owner. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",assign_owner,CIR-00026,OBL-000151,ORG-0009,easy,train
QA-000027,Give me action plan for non-compliant obligations,"Intent: create_remediation_plan. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",create_remediation_plan,CIR-00211,OBL-000756,ORG-0027,medium,train
QA-000028,Which evidence is rejected for ORG-0005?,"Intent: show_evidence_status. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",show_evidence_status,CIR-00168,OBL-000310,ORG-0005,easy,train
QA-000029,Which circular talks about Outsourcing risk?,"Intent: search_circular. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",search_circular,CIR-00091,OBL-000255,ORG-0026,medium,validation
QA-000030,Why is OBL-000654 marked partial?,"Intent: check_policy_gap. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",check_policy_gap,CIR-00214,OBL-000654,ORG-0014,medium,validation
QA-000031,Show audit trail for MAP-0000713,"Intent: show_audit_trail. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",show_audit_trail,CIR-00199,OBL-000642,ORG-0021,medium,train
QA-000032,Summarize CIR-00219 in simple words,"Intent: summarize_circular. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",summarize_circular,CIR-00219,OBL-000403,ORG-0016,easy,test
QA-000033,What factors increased our compliance risk?,"Intent: explain_risk_score. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",explain_risk_score,CIR-00050,OBL-000184,ORG-0025,hard,train
QA-000034,Extract action items from CIR-00126,"Intent: extract_obligations. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",extract_obligations,CIR-00126,OBL-000569,ORG-0017,easy,validation
QA-000035,Who approved this mapping?,"Intent: show_audit_trail. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",show_audit_trail,CIR-00190,OBL-000142,ORG-0018,easy,train
QA-000036,Create remediation steps for finding FND-000555,"Intent: create_remediation_plan. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",create_remediation_plan,CIR-00086,OBL-000293,ORG-0005,hard,validation
QA-000037,Assign this finding to Trading Desk,"Intent: assign_owner. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",assign_owner,CIR-00162,OBL-000704,ORG-0001,easy,train
QA-000038,Is our policy covering obligation OBL-000519?,"Intent: check_policy_gap. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",check_policy_gap,CIR-00096,OBL-000519,ORG-0019,easy,train
QA-000039,What obligations are in circular CIR-00177?,"Intent: extract_obligations. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",extract_obligations,CIR-00177,OBL-000087,ORG-0022,easy,train
QA-000040,What factors increased our compliance risk?,"Intent: explain_risk_score. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",explain_risk_score,CIR-00171,OBL-000619,ORG-0016,easy,train
QA-000041,What factors increased our compliance risk?,"Intent: explain_risk_score. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",explain_risk_score,CIR-00034,OBL-000249,ORG-0018,easy,validation
QA-000042,Find latest SEBI requirements for Incident Management,"Intent: search_circular. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",search_circular,CIR-00033,OBL-000657,ORG-0016,easy,validation
QA-000043,Create remediation steps for finding FND-000368,"Intent: create_remediation_plan. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",create_remediation_plan,CIR-00026,OBL-000371,ORG-0018,hard,train
QA-000044,Tell me what we must do for Disclosure,"Intent: extract_obligations. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",extract_obligations,CIR-00179,OBL-000258,ORG-0006,medium,train
QA-000045,Prepare board summary for open findings,"Intent: generate_report. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",generate_report,CIR-00103,OBL-000279,ORG-0026,medium,train
QA-000046,Tell me what we must do for Cybersecurity,"Intent: extract_obligations. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",extract_obligations,CIR-00153,OBL-000066,ORG-0004,medium,train
QA-000047,What obligations are in circular CIR-00019?,"Intent: extract_obligations. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",extract_obligations,CIR-00019,OBL-000091,ORG-0015,easy,train
QA-000048,Show circulars related to Outsourcing for FinTech,"Intent: search_circular. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",search_circular,CIR-00032,OBL-000241,ORG-0028,easy,train
QA-000049,Which evidence is rejected for ORG-0008?,"Intent: show_evidence_status. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",show_evidence_status,CIR-00207,OBL-000077,ORG-0008,easy,validation
QA-000050,Show obligations due in 30 days,"Intent: deadline_query. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",deadline_query,CIR-00038,OBL-000530,ORG-0022,medium,train
QA-000051,What obligations are in circular CIR-00071?,"Intent: extract_obligations. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",extract_obligations,CIR-00071,OBL-000546,ORG-0028,easy,validation
QA-000052,Give executive summary for RBI circular,"Intent: summarize_circular. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",summarize_circular,CIR-00174,OBL-000235,ORG-0025,easy,validation
QA-000053,Extract action items from CIR-00042,"Intent: extract_obligations. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",extract_obligations,CIR-00042,OBL-000526,ORG-0027,easy,train
QA-000054,Which circular deadlines are overdue?,"Intent: deadline_query. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",deadline_query,CIR-00106,OBL-000341,ORG-0026,hard,train
QA-000055,List recent LLM review events,"Intent: show_audit_trail. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",show_audit_trail,CIR-00108,OBL-000010,ORG-0029,easy,test
QA-000056,Show obligations due in 30 days,"Intent: deadline_query. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",deadline_query,CIR-00165,OBL-000057,ORG-0027,easy,train
QA-000057,What obligations are in circular CIR-00175?,"Intent: extract_obligations. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",extract_obligations,CIR-00175,OBL-000053,ORG-0020,easy,train
QA-000058,Which evidence is rejected for ORG-0016?,"Intent: show_evidence_status. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",show_evidence_status,CIR-00122,OBL-000631,ORG-0016,easy,train
QA-000059,Why is OBL-000752 marked partial?,"Intent: check_policy_gap. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",check_policy_gap,CIR-00050,OBL-000752,ORG-0028,easy,validation
QA-000060,Which circular deadlines are overdue?,"Intent: deadline_query. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",deadline_query,CIR-00109,OBL-000176,ORG-0022,medium,validation
QA-000061,Find latest NPCI requirements for Disclosure,"Intent: search_circular. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",search_circular,CIR-00085,OBL-000517,ORG-0016,easy,train
QA-000062,Which circular talks about Capital Adequacy risk?,"Intent: search_circular. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",search_circular,CIR-00132,OBL-000130,ORG-0004,hard,validation
QA-000063,Give me action plan for non-compliant obligations,"Intent: create_remediation_plan. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",create_remediation_plan,CIR-00153,OBL-000599,ORG-0014,easy,train
QA-000064,Show audit trail for MAP-0000809,"Intent: show_audit_trail. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",show_audit_trail,CIR-00131,OBL-000663,ORG-0006,medium,train
QA-000065,Which circular talks about Cybersecurity risk?,"Intent: search_circular. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",search_circular,CIR-00086,OBL-000691,ORG-0001,easy,train
QA-000066,Is our policy covering obligation OBL-000118?,"Intent: check_policy_gap. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",check_policy_gap,CIR-00095,OBL-000118,ORG-0011,easy,test
QA-000067,Which circular deadlines are overdue?,"Intent: deadline_query. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",deadline_query,CIR-00132,OBL-000277,ORG-0019,medium,train
QA-000068,Which circular talks about Disclosure risk?,"Intent: search_circular. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",search_circular,CIR-00154,OBL-000477,ORG-0020,medium,train
QA-000069,Show circulars related to Customer Protection for Payments,"Intent: search_circular. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",search_circular,CIR-00184,OBL-000300,ORG-0001,medium,train
QA-000070,Show circulars related to Outsourcing for Mutual Funds,"Intent: search_circular. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",search_circular,CIR-00131,OBL-000181,ORG-0018,hard,train
QA-000071,What changed from old requirement to new requirement?,"Intent: compare_policy_versions. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",compare_policy_versions,CIR-00108,OBL-000377,ORG-0010,medium,train
QA-000072,Do we have proof for obligation OBL-000389?,"Intent: show_evidence_status. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",show_evidence_status,CIR-00200,OBL-000389,ORG-0025,medium,validation
QA-000073,Export risk report for this month,"Intent: generate_report. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",generate_report,CIR-00213,OBL-000094,ORG-0014,hard,train
QA-000074,Assign this finding to Operations,"Intent: assign_owner. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",assign_owner,CIR-00030,OBL-000085,ORG-0014,easy,validation
QA-000075,Set owner for obligation OBL-000679,"Intent: assign_owner. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",assign_owner,CIR-00183,OBL-000679,ORG-0017,easy,train
QA-000076,Why is OBL-000732 marked partial?,"Intent: check_policy_gap. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",check_policy_gap,CIR-00090,OBL-000732,ORG-0029,easy,train
QA-000077,Export risk report for this month,"Intent: generate_report. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",generate_report,CIR-00094,OBL-000432,ORG-0020,easy,train
QA-000078,What is the main point of CIR-00056?,"Intent: summarize_circular. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",summarize_circular,CIR-00056,OBL-000405,ORG-0012,easy,train
QA-000079,Is our policy covering obligation OBL-000109?,"Intent: check_policy_gap. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",check_policy_gap,CIR-00183,OBL-000109,ORG-0008,medium,train
QA-000080,Do we have proof for obligation OBL-000526?,"Intent: show_evidence_status. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",show_evidence_status,CIR-00047,OBL-000526,ORG-0002,easy,train
QA-000081,Extract action items from CIR-00114,"Intent: extract_obligations. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",extract_obligations,CIR-00114,OBL-000241,ORG-0025,easy,train
QA-000082,What changed from old requirement to new requirement?,"Intent: compare_policy_versions. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",compare_policy_versions,CIR-00167,OBL-000182,ORG-0028,easy,validation
QA-000083,Give executive summary for FIU-IND circular,"Intent: summarize_circular. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",summarize_circular,CIR-00138,OBL-000607,ORG-0013,easy,validation
QA-000084,Do we have proof for obligation OBL-000592?,"Intent: show_evidence_status. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",show_evidence_status,CIR-00061,OBL-000592,ORG-0018,easy,train
QA-000085,Do we have proof for obligation OBL-000375?,"Intent: show_evidence_status. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",show_evidence_status,CIR-00025,OBL-000375,ORG-0024,medium,train
QA-000086,Tell me what we must do for Outsourcing,"Intent: extract_obligations. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",extract_obligations,CIR-00085,OBL-000618,ORG-0008,easy,train
QA-000087,Show obligations due in 30 days,"Intent: deadline_query. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",deadline_query,CIR-00188,OBL-000421,ORG-0024,medium,validation
QA-000088,Show missing evidence for Cybersecurity,"Intent: show_evidence_status. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",show_evidence_status,CIR-00088,OBL-000745,ORG-0024,medium,train
QA-000089,What is due this month?,"Intent: deadline_query. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",deadline_query,CIR-00031,OBL-000516,ORG-0008,easy,validation
QA-000090,List recent LLM review events,"Intent: show_audit_trail. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",show_audit_trail,CIR-00186,OBL-000462,ORG-0018,medium,validation
QA-000091,Assign this finding to IT,"Intent: assign_owner. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",assign_owner,CIR-00103,OBL-000464,ORG-0019,easy,train
QA-000092,How do I fix Capital Adequacy gaps?,"Intent: create_remediation_plan. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",create_remediation_plan,CIR-00056,OBL-000200,ORG-0006,medium,train
QA-000093,Who approved this mapping?,"Intent: show_audit_trail. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",show_audit_trail,CIR-00125,OBL-000402,ORG-0020,medium,train
QA-000094,Set owner for obligation OBL-000628,"Intent: assign_owner. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",assign_owner,CIR-00134,OBL-000628,ORG-0002,easy,test
QA-000095,What factors increased our compliance risk?,"Intent: explain_risk_score. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",explain_risk_score,CIR-00166,OBL-000116,ORG-0028,medium,train
QA-000096,List recent LLM review events,"Intent: show_audit_trail. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",show_audit_trail,CIR-00179,OBL-000747,ORG-0030,easy,test
QA-000097,What changed from old requirement to new requirement?,"Intent: compare_policy_versions. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",compare_policy_versions,CIR-00150,OBL-000404,ORG-0018,medium,test
QA-000098,List recent LLM review events,"Intent: show_audit_trail. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",show_audit_trail,CIR-00193,OBL-000278,ORG-0022,easy,train
QA-000099,Export risk report for this month,"Intent: generate_report. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",generate_report,CIR-00086,OBL-000531,ORG-0019,hard,train
QA-000100,Explain the risk score for ORG-0027,"Intent: explain_risk_score. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",explain_risk_score,CIR-00101,OBL-000155,ORG-0027,medium,train
QA-000101,Compare policy POL-000013 with new circular CIR-00080,"Intent: compare_policy_versions. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",compare_policy_versions,CIR-00080,OBL-000706,ORG-0002,easy,validation
QA-000102,List recent LLM review events,"Intent: show_audit_trail. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",show_audit_trail,CIR-00219,OBL-000728,ORG-0012,easy,train
QA-000103,Find gaps for Trading Limit and Surveillance Policy,"Intent: check_policy_gap. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",check_policy_gap,CIR-00030,OBL-000346,ORG-0016,easy,train
QA-000104,Export risk report for this month,"Intent: generate_report. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",generate_report,CIR-00140,OBL-000466,ORG-0027,hard,train
QA-000105,Tell me what we must do for Customer Protection,"Intent: extract_obligations. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",extract_obligations,CIR-00117,OBL-000484,ORG-0030,medium,train
QA-000106,Do we have proof for obligation OBL-000693?,"Intent: show_evidence_status. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",show_evidence_status,CIR-00009,OBL-000693,ORG-0001,easy,train
QA-000107,Why is ORG-0022 high risk?,"Intent: explain_risk_score. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",explain_risk_score,CIR-00095,OBL-000090,ORG-0022,easy,validation
QA-000108,Do we have proof for obligation OBL-000611?,"Intent: show_evidence_status. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",show_evidence_status,CIR-00209,OBL-000611,ORG-0003,easy,train
QA-000109,Why is ORG-0029 high risk?,"Intent: explain_risk_score. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",explain_risk_score,CIR-00142,OBL-000489,ORG-0029,easy,train
QA-000110,Why is OBL-000721 marked partial?,"Intent: check_policy_gap. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",check_policy_gap,CIR-00078,OBL-000721,ORG-0004,hard,train
QA-000111,List recent LLM review events,"Intent: show_audit_trail. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",show_audit_trail,CIR-00134,OBL-000011,ORG-0015,easy,train
QA-000112,Show missing evidence for Outsourcing,"Intent: show_evidence_status. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",show_evidence_status,CIR-00116,OBL-000725,ORG-0021,medium,train
QA-000113,Explain the risk score for ORG-0024,"Intent: explain_risk_score. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",explain_risk_score,CIR-00036,OBL-000278,ORG-0024,hard,validation
