circular_id,regulator_code,sector,title,issue_date,effective_date,due_date,category,severity,jurisdiction,summary,full_text,source_url,status,keywords,version
CIR-00019,IRDAI,Capital Markets,IRDAI circular on incident management requirements for capital markets entities,2025-12-02,2026-02-14,2026-07-16,Incident Management,High,India / Synthetic Demo,Synthetic Incident Management requirement for Capital Markets firms to document board oversight.,"This synthetic circular requires regulated entities in the Capital Markets sector to document board oversight. Entities must assign accountable owners, maintain auditable evidence, update internal policies, and submit compliance confirmation within prescribed timelines. The requirement is categorized under Incident Management with High supervisory importance. NiyamGuard uses this text for obligation extraction, drift detection, evidence review, and risk scoring demonstrations.",synthetic://niyamguard/regulatory/irdai/19,Active,"Capital Markets,High,Incident Management,board,document",v2.0
CIR-00020,RBI,Payments,RBI circular on trading risk requirements for payments entities,2024-07-23,2024-08-12,2024-11-30,Trading Risk,Low,India / Synthetic Demo,Synthetic Trading Risk requirement for Payments firms to review data retention.,"This synthetic circular requires regulated entities in the Payments sector to review data retention. Entities must assign accountable owners, maintain auditable evidence, update internal policies, and submit compliance confirmation within prescribed timelines. The requirement is categorized under Trading Risk with Low supervisory importance. NiyamGuard uses this text for obligation extraction, drift detection, evidence review, and risk scoring demonstrations.",synthetic://niyamguard/regulatory/rbi/20,Active,"Low,Payments,Trading Risk,data,review",v3.0
CIR-00021,NPCI,Banking,NPCI circular on trading risk requirements for banking entities,2024-07-14,2024-09-03,2025-01-02,Trading Risk,High,India / Synthetic Demo,Synthetic Trading Risk requirement for Banking firms to strengthen liquidity stress testing.,"This synthetic circular requires regulated entities in the Banking sector to strengthen liquidity stress testing. Entities must assign accountable owners, maintain auditable evidence, update internal policies, and submit compliance confirmation within prescribed timelines. The requirement is categorized under Trading Risk with High supervisory importance. NiyamGuard uses this text for obligation extraction, drift detection, evidence review, and risk scoring demonstrations.",synthetic://niyamguard/regulatory/npci/21,Active,"Banking,High,Trading Risk,liquidity,strengthen",v1.0
CIR-00022,IRDAI,Brokerage,IRDAI circular on disclosure requirements for brokerage entities,2025-01-30,2025-03-29,2025-06-14,Disclosure,High,India / Synthetic Demo,Synthetic Disclosure requirement for Brokerage firms to monitor investor disclosures.,"This synthetic circular requires regulated entities in the Brokerage sector to monitor investor disclosures. Entities must assign accountable owners, maintain auditable evidence, update internal policies, and submit compliance confirmation within prescribed timelines. The requirement is categorized under Disclosure with High supervisory importance. NiyamGuard uses this text for obligation extraction, drift detection, evidence review, and risk scoring demonstrations.",synthetic://niyamguard/regulatory/irdai/22,Active,"Brokerage,Disclosure,High,investor,monitor",v3.0
CIR-00023,IRDAI,Brokerage,IRDAI circular on cybersecurity requirements for brokerage entities,2025-09-08,2025-10-16,2026-04-03,Cybersecurity,Low,India / Synthetic Demo,Synthetic Cybersecurity requirement for Brokerage firms to review brokerage surveillance.,"This synthetic circular requires regulated entities in the Brokerage sector to review brokerage surveillance. Entities must assign accountable owners, maintain auditable evidence, update internal policies, and submit compliance confirmation within prescribed timelines. The requirement is categorized under Cybersecurity with Low supervisory importance. NiyamGuard uses this text for obligation extraction, drift detection, evidence review, and risk scoring demonstrations.",synthetic://niyamguard/regulatory/irdai/23,Active,"Brokerage,Cybersecurity,Low,brokerage,review",v2.0
CIR-00024,MOF,Insurance,MOF circular on trading risk requirements for insurance entities,2026-01-04,2026-03-14,2026-05-25,Trading Risk,Medium,India / Synthetic Demo,Synthetic Trading Risk requirement for Insurance firms to monitor brokerage surveillance.,"This synthetic circular requires regulated entities in the Insurance sector to monitor brokerage surveillance. Entities must assign accountable owners, maintain auditable evidence, update internal policies, and submit compliance confirmation within prescribed timelines. The requirement is categorized under Trading Risk with Medium supervisory importance. NiyamGuard uses this text for obligation extraction, drift detection, evidence review, and risk scoring demonstrations.",synthetic://niyamguard/regulatory/mof/24,Active,"Insurance,Medium,Trading Risk,brokerage,monitor",v3.0
CIR-00025,IRDAI,Brokerage,IRDAI circular on audit & reporting requirements for brokerage entities,2026-03-21,2026-04-12,2026-05-31,Audit & Reporting,Medium,India / Synthetic Demo,Synthetic Audit & Reporting requirement for Brokerage firms to validate brokerage surveillance.,"This synthetic circular requires regulated entities in the Brokerage sector to validate brokerage surveillance. Entities must assign accountable owners, maintain auditable evidence, update internal policies, and submit compliance confirmation within prescribed timelines. The requirement is categorized under Audit & Reporting with Medium supervisory importance. NiyamGuard uses this text for obligation extraction, drift detection, evidence review, and risk scoring demonstrations.",synthetic://niyamguard/regulatory/irdai/25,Active,"Audit & Reporting,Brokerage,Medium,brokerage,validate",v3.0
CIR-00026,MOF,Banking,MOF circular on data privacy requirements for banking entities,2025-09-14,2025-11-24,2026-01-01,Data Privacy,Low,India / Synthetic Demo,Synthetic Data Privacy requirement for Banking firms to document transaction alerts.,"This synthetic circular requires regulated entities in the Banking sector to document transaction alerts. Entities must assign accountable owners, maintain auditable evidence, update internal policies, and submit compliance confirmation within prescribed timelines. The requirement is categorized under Data Privacy with Low supervisory importance. NiyamGuard uses this text for obligation extraction, drift detection, evidence review, and risk scoring demonstrations.",synthetic://niyamguard/regulatory/mof/26,Active,"Banking,Data Privacy,Low,document,transaction",v3.0
CIR-00027,IRDAI,Brokerage,IRDAI circular on capital adequacy requirements for brokerage entities,2024-02-03,2024-03-08,2024-07-31,Capital Adequacy,Critical,India / Synthetic Demo,Synthetic Capital Adequacy requirement for Brokerage firms to disclose brokerage surveillance.,"This synthetic circular requires regulated entities in the Brokerage sector to disclose brokerage surveillance. Entities must assign accountable owners, maintain auditable evidence, update internal policies, and submit compliance confirmation within prescribed timelines. The requirement is categorized under Capital Adequacy with Critical supervisory importance. NiyamGuard uses this text for obligation extraction, drift detection, evidence review, and risk scoring demonstrations.",synthetic://niyamguard/regulatory/irdai/27,Active,"Brokerage,Capital Adequacy,Critical,brokerage,disclose",v1.0
CIR-00028,FIU-IND,Mutual Funds,FIU-IND circular on data privacy requirements for mutual funds entities,2025-10-27,2025-12-16,2026-03-19,Data Privacy,Medium,India / Synthetic Demo,Synthetic Data Privacy requirement for Mutual Funds firms to standardize customer due diligence.,"This synthetic circular requires regulated entities in the Mutual Funds sector to standardize customer due diligence. Entities must assign accountable owners, maintain auditable evidence, update internal policies, and submit compliance confirmation within prescribed timelines. The requirement is categorized under Data Privacy with Medium supervisory importance. NiyamGuard uses this text for obligation extraction, drift detection, evidence review, and risk scoring demonstrations.",synthetic://niyamguard/regulatory/fiu-ind/28,Active,"Data Privacy,Medium,Mutual Funds,customer,standardize",v2.0
CIR-00029,FIU-IND,NBFC,FIU-IND circular on disclosure requirements for nbfc entities,2024-09-23,2024-12-04,2025-02-26,Disclosure,Medium,India / Synthetic Demo,Synthetic Disclosure requirement for NBFC firms to report UPI dispute handling.,"This synthetic circular requires regulated entities in the NBFC sector to report UPI dispute handling. Entities must assign accountable owners, maintain auditable evidence, update internal policies, and submit compliance confirmation within prescribed timelines. The requirement is categorized under Disclosure with Medium supervisory importance. NiyamGuard uses this text for obligation extraction, drift detection, evidence review, and risk scoring demonstrations.",synthetic://niyamguard/regulatory/fiu-ind/29,Active,"Disclosure,Medium,NBFC,UPI,report",v2.0
CIR-00030,SEBI,Capital Markets,SEBI circular on cybersecurity requirements for capital markets entities,2025-04-07,2025-05-14,2025-10-04,Cybersecurity,High,India / Synthetic Demo,Synthetic Cybersecurity requirement for Capital Markets firms to standardize liquidity stress testing.,"This synthetic circular requires regulated entities in the Capital Markets sector to standardize liquidity stress testing. Entities must assign accountable owners, maintain auditable evidence, update internal policies, and submit compliance confirmation within prescribed timelines. The requirement is categorized under Cybersecurity with High supervisory importance. NiyamGuard uses this text for obligation extraction, drift detection, evidence review, and risk scoring demonstrations.",synthetic://niyamguard/regulatory/sebi/30,Draft,"Capital Markets,Cybersecurity,High,liquidity,standardize",v2.0
CIR-00031,MOF,NBFC,MOF circular on capital adequacy requirements for nbfc entities,2024-10-24,2024-12-16,2025-02-24,Capital Adequacy,Medium,India / Synthetic Demo,Synthetic Capital Adequacy requirement for NBFC firms to document brokerage surveillance.,"This synthetic circular requires regulated entities in the NBFC sector to document brokerage surveillance. Entities must assign accountable owners, maintain auditable evidence, update internal policies, and submit compliance confirmation within prescribed timelines. The requirement is categorized under Capital Adequacy with Medium supervisory importance. NiyamGuard uses this text for obligation extraction, drift detection, evidence review, and risk scoring demonstrations.",synthetic://niyamguard/regulatory/mof/31,Active,"Capital Adequacy,Medium,NBFC,brokerage,document",v1.0
CIR-00032,SEBI,Payments,SEBI circular on data privacy requirements for payments entities,2024-01-27,2024-03-28,2024-09-15,Data Privacy,High,India / Synthetic Demo,Synthetic Data Privacy requirement for Payments firms to report brokerage surveillance.,"This synthetic circular requires regulated entities in the Payments sector to report brokerage surveillance. Entities must assign accountable owners, maintain auditable evidence, update internal policies, and submit compliance confirmation within prescribed timelines. The requirement is categorized under Data Privacy with High supervisory importance. NiyamGuard uses this text for obligation extraction, drift detection, evidence review, and risk scoring demonstrations.",synthetic://niyamguard/regulatory/sebi/32,Active,"Data Privacy,High,Payments,brokerage,report",v3.0
CIR-00033,SEBI,NBFC,SEBI circular on audit & reporting requirements for nbfc entities,2025-02-11,2025-04-28,2025-10-09,Audit & Reporting,Low,India / Synthetic Demo,Synthetic Audit & Reporting requirement for NBFC firms to validate outsourced vendor controls.,"This synthetic circular requires regulated entities in the NBFC sector to validate outsourced vendor controls. Entities must assign accountable owners, maintain auditable evidence, update internal policies, and submit compliance confirmation within prescribed timelines. The requirement is categorized under Audit & Reporting with Low supervisory importance. NiyamGuard uses this text for obligation extraction, drift detection, evidence review, and risk scoring demonstrations.",synthetic://niyamguard/regulatory/sebi/33,Superseded,"Audit & Reporting,Low,NBFC,outsourced,validate",v1.0
CIR-00034,SEBI,NBFC,SEBI circular on capital adequacy requirements for nbfc entities,2025-11-27,2026-02-16,2026-06-14,Capital Adequacy,Medium,India / Synthetic Demo,Synthetic Capital Adequacy requirement for NBFC firms to document data retention.,"This synthetic circular requires regulated entities in the NBFC sector to document data retention. Entities must assign accountable owners, maintain auditable evidence, update internal policies, and submit compliance confirmation within prescribed timelines. The requirement is categorized under Capital Adequacy with Medium supervisory importance. NiyamGuard uses this text for obligation extraction, drift detection, evidence review, and risk scoring demonstrations.",synthetic://niyamguard/regulatory/sebi/34,Active,"Capital Adequacy,Medium,NBFC,data,document",v1.0
CIR-00035,SEBI,Banking,SEBI circular on disclosure requirements for banking entities,2025-06-14,2025-07-18,2025-11-02,Disclosure,High,India / Synthetic Demo,Synthetic Disclosure requirement for Banking firms to document board oversight.,"This synthetic circular requires regulated entities in the Banking sector to document board oversight. Entities must assign accountable owners, maintain auditable evidence, update internal policies, and submit compliance confirmation within prescribed timelines. The requirement is categorized under Disclosure with High supervisory importance. NiyamGuard uses this text for obligation extraction, drift detection, evidence review, and risk scoring demonstrations.",synthetic://niyamguard/regulatory/sebi/35,Active,"Banking,Disclosure,High,board,document",v3.0
CIR-00036,SEBI,Insurance,SEBI circular on capital adequacy requirements for insurance entities,2024-09-13,2024-10-23,2025-04-12,Capital Adequacy,High,India / Synthetic Demo,Synthetic Capital Adequacy requirement for Insurance firms to review board oversight.,"This synthetic circular requires regulated entities in the Insurance sector to review board oversight. Entities must assign accountable owners, maintain auditable evidence, update internal policies, and submit compliance confirmation within prescribed timelines. The requirement is categorized under Capital Adequacy with High supervisory importance. NiyamGuard uses this text for obligation extraction, drift detection, evidence review, and risk scoring demonstrations.",synthetic://niyamguard/regulatory/sebi/36,Active,"Capital Adequacy,High,Insurance,board,review",v3.0
CIR-00037,FIU-IND,Capital Markets,FIU-IND circular on cybersecurity requirements for capital markets entities,2025-08-17,2025-09-20,2025-12-02,Cybersecurity,High,India / Synthetic Demo,Synthetic Cybersecurity requirement for Capital Markets firms to report investor disclosures.,"This synthetic circular requires regulated entities in the Capital Markets sector to report investor disclosures. Entities must assign accountable owners, maintain auditable evidence, update internal policies, and submit compliance confirmation within prescribed timelines. The requirement is categorized under Cybersecurity with High supervisory importance. NiyamGuard uses this text for obligation extraction, drift detection, evidence review, and risk scoring demonstrations.",synthetic://niyamguard/regulatory/fiu-ind/37,Draft,"Capital Markets,Cybersecurity,High,investor,report",v2.0
CIR-00038,FIU-IND,Banking,FIU-IND circular on kyc/aml requirements for banking entities,2025-10-18,2026-01-14,2026-04-21,KYC/AML,Low,India / Synthetic Demo,Synthetic KYC/AML requirement for Banking firms to automate risk appetite limits.,"This synthetic circular requires regulated entities in the Banking sector to automate risk appetite limits. Entities must assign accountable owners, maintain auditable evidence, update internal policies, and submit compliance confirmation within prescribed timelines. The requirement is categorized under KYC/AML with Low supervisory importance. NiyamGuard uses this text for obligation extraction, drift detection, evidence review, and risk scoring demonstrations.",synthetic://niyamguard/regulatory/fiu-ind/38,Active,"Banking,KYC/AML,Low,automate,risk",v3.0
CIR-00039,RBI,Insurance,RBI circular on customer protection requirements for insurance entities,2024-11-05,2025-01-20,2025-04-22,Customer Protection,High,India / Synthetic Demo,Synthetic Customer Protection requirement for Insurance firms to validate UPI dispute handling.,"This synthetic circular requires regulated entities in the Insurance sector to validate UPI dispute handling. Entities must assign accountable owners, maintain auditable evidence, update internal policies, and submit compliance confirmation within prescribed timelines. The requirement is categorized under Customer Protection with High supervisory importance. NiyamGuard uses this text for obligation extraction, drift detection, evidence review, and risk scoring demonstrations.",synthetic://niyamguard/regulatory/rbi/39,Active,"Customer Protection,High,Insurance,UPI,validate",v3.0
CIR-00040,RBI,FinTech,RBI circular on data privacy requirements for fintech entities,2025-04-20,2025-05-31,2025-09-25,Data Privacy,Medium,India / Synthetic Demo,Synthetic Data Privacy requirement for FinTech firms to report board oversight.,"This synthetic circular requires regulated entities in the FinTech sector to report board oversight. Entities must assign accountable owners, maintain auditable evidence, update internal policies, and submit compliance confirmation within prescribed timelines. The requirement is categorized under Data Privacy with Medium supervisory importance. NiyamGuard uses this text for obligation extraction, drift detection, evidence review, and risk scoring demonstrations.",synthetic://niyamguard/regulatory/rbi/40,Active,"Data Privacy,FinTech,Medium,board,report",v3.0
CIR-00041,IRDAI,Mutual Funds,IRDAI circular on liquidity risk requirements for mutual funds entities,2024-05-13,2024-07-14,2024-12-22,Liquidity Risk,Critical,India / Synthetic Demo,Synthetic Liquidity Risk requirement for Mutual Funds firms to retain transaction alerts.,"This synthetic circular requires regulated entities in the Mutual Funds sector to retain transaction alerts. Entities must assign accountable owners, maintain auditable evidence, update internal policies, and submit compliance confirmation within prescribed timelines. The requirement is categorized under Liquidity Risk with Critical supervisory importance. NiyamGuard uses this text for obligation extraction, drift detection, evidence review, and risk scoring demonstrations.",synthetic://niyamguard/regulatory/irdai/41,Active,"Critical,Liquidity Risk,Mutual Funds,retain,transaction",v2.0
CIR-00042,RBI,FinTech,RBI circular on trading risk requirements for fintech entities,2024-04-09,2024-04-30,2024-08-12,Trading Risk,Medium,India / Synthetic Demo,Synthetic Trading Risk requirement for FinTech firms to validate risk appetite limits.,"This synthetic circular requires regulated entities in the FinTech sector to validate risk appetite limits. Entities must assign accountable owners, maintain auditable evidence, update internal policies, and submit compliance confirmation within prescribed timelines. The requirement is categorized under Trading Risk with Medium supervisory importance. NiyamGuard uses this text for obligation extraction, drift detection, evidence review, and risk scoring demonstrations.",synthetic://niyamguard/regulatory/rbi/42,Active,"FinTech,Medium,Trading Risk,risk,validate",v1.0
CIR-00043,IRDAI,Mutual Funds,IRDAI circular on audit & reporting requirements for mutual funds entities,2024-06-12,2024-08-29,2025-02-06,Audit & Reporting,Medium,India / Synthetic Demo,Synthetic Audit & Reporting requirement for Mutual Funds firms to monitor incident reporting.,"This synthetic circular requires regulated entities in the Mutual Funds sector to monitor incident reporting. Entities must assign accountable owners, maintain auditable evidence, update internal policies, and submit compliance confirmation within prescribed timelines. The requirement is categorized under Audit & Reporting with Medium supervisory importance. NiyamGuard uses this text for obligation extraction, drift detection, evidence review, and risk scoring demonstrations.",synthetic://niyamguard/regulatory/irdai/43,Superseded,"Audit & Reporting,Medium,Mutual Funds,incident,monitor",v2.0
