policy_id,org_id,policy_title,department,owner_role,version,effective_from,last_updated_at,next_review_date,status,policy_text,tags
POL-000011,ORG-0001,Trading Limit and Surveillance Policy,Operations,ML Reviewer,5.0,2025-12-06,2026-02-06T10:40:00,2027-03-12,Pending Review,"Trading Limit and Surveillance Policy for Aarohan Capital 1 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to NBFC operations and is maintained by the Operations team. Controls must be reviewed, documented, and approved according to internal governance standards.","KYC/AML,Trading Risk"
POL-000012,ORG-0001,Outsourcing Governance Policy,IT,Risk Manager,3.0,2024-12-25,2025-02-16T15:36:00,2026-04-23,Approved,"Outsourcing Governance Policy for Aarohan Capital 1 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to NBFC operations and is maintained by the IT team. Controls must be reviewed, documented, and approved according to internal governance standards.","Audit & Reporting,Customer Protection"
POL-000013,ORG-0002,AML Transaction Monitoring Policy,Compliance,Operations Lead,2.0,2024-08-10,2024-10-17T09:56:00,2025-11-08,Expired,"AML Transaction Monitoring Policy for Aarohan Bank 2 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Brokerage operations and is maintained by the Compliance team. Controls must be reviewed, documented, and approved according to internal governance standards.","Trading Risk,Incident Management"
POL-000014,ORG-0002,Disclosure and Investor Communication Policy,Legal,Compliance Officer,2.0,2024-11-13,2025-01-10T19:18:00,2025-09-24,Approved,"Disclosure and Investor Communication Policy for Aarohan Bank 2 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Brokerage operations and is maintained by the Legal team. Controls must be reviewed, documented, and approved according to internal governance standards.","Audit & Reporting,Capital Adequacy"
POL-000015,ORG-0002,Cyber Incident Response Policy,Operations,Legal Reviewer,4.0,2024-07-11,2024-08-15T10:18:00,2025-06-12,Approved,"Cyber Incident Response Policy for Aarohan Bank 2 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Brokerage operations and is maintained by the Operations team. Controls must be reviewed, documented, and approved according to internal governance standards.","Trading Risk,Cybersecurity"
POL-000016,ORG-0002,Access Control and Review Policy,Data Governance,Operations Lead,4.0,2025-08-15,2025-10-08T18:33:00,2026-09-04,Pending Review,"Access Control and Review Policy for Aarohan Bank 2 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Brokerage operations and is maintained by the Data Governance team. Controls must be reviewed, documented, and approved according to internal governance standards.","Incident Management,Data Privacy"
POL-000017,ORG-0002,Liquidity Risk Monitoring Policy,Audit,Policy Owner,1.0,2025-01-29,2025-04-17T17:13:00,2026-04-23,Approved,"Liquidity Risk Monitoring Policy for Aarohan Bank 2 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Brokerage operations and is maintained by the Audit team. Controls must be reviewed, documented, and approved according to internal governance standards.","Incident Management,Liquidity Risk"
POL-000018,ORG-0002,Business Continuity and Resilience Policy,Operations,ML Reviewer,3.0,2024-12-16,2025-03-06T19:50:00,2025-11-19,Approved,"Business Continuity and Resilience Policy for Aarohan Bank 2 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Brokerage operations and is maintained by the Operations team. Controls must be reviewed, documented, and approved according to internal governance standards.","Operational Resilience,Trading Risk"
POL-000019,ORG-0002,Trading Limit and Surveillance Policy,Trading Desk,Compliance Officer,2.0,2024-09-24,2024-10-18T16:42:00,2025-11-29,Approved,"Trading Limit and Surveillance Policy for Aarohan Bank 2 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Brokerage operations and is maintained by the Trading Desk team. Controls must be reviewed, documented, and approved according to internal governance standards.","Data Privacy,Customer Protection"
POL-000020,ORG-0002,KYC and Customer Due Diligence Policy,Data Governance,Admin,5.0,2025-01-16,2025-03-15T18:37:00,2026-05-31,Approved,"KYC and Customer Due Diligence Policy for Aarohan Bank 2 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Brokerage operations and is maintained by the Data Governance team. Controls must be reviewed, documented, and approved according to internal governance standards.","Liquidity Risk,Cybersecurity"
POL-000021,ORG-0003,Trading Limit and Surveillance Policy,Trading Desk,Policy Owner,2.0,2025-07-13,2025-10-27T08:28:00,2026-11-02,Approved,"Trading Limit and Surveillance Policy for Pragati Payments 3 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Brokerage operations and is maintained by the Trading Desk team. Controls must be reviewed, documented, and approved according to internal governance standards.","Audit & Reporting,Liquidity Risk"
POL-000022,ORG-0003,Liquidity Risk Monitoring Policy,Finance,Auditor,4.0,2025-04-29,2025-06-10T19:23:00,2026-06-26,Approved,"Liquidity Risk Monitoring Policy for Pragati Payments 3 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Brokerage operations and is maintained by the Finance team. Controls must be reviewed, documented, and approved according to internal governance standards.","Incident Management,Disclosure"
POL-000023,ORG-0003,KYC and Customer Due Diligence Policy,Compliance,ML Reviewer,3.0,2024-08-27,2024-09-19T14:27:00,2025-12-08,Approved,"KYC and Customer Due Diligence Policy for Pragati Payments 3 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Brokerage operations and is maintained by the Compliance team. Controls must be reviewed, documented, and approved according to internal governance standards.","Audit & Reporting,Disclosure"
POL-000024,ORG-0003,Cyber Incident Response Policy,Compliance,ML Reviewer,5.0,2024-06-16,2024-07-17T12:56:00,2025-08-12,Expired,"Cyber Incident Response Policy for Pragati Payments 3 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Brokerage operations and is maintained by the Compliance team. Controls must be reviewed, documented, and approved according to internal governance standards.","Outsourcing,Operational Resilience"
POL-000025,ORG-0003,Capital Adequacy Monitoring Policy,Legal,Operations Lead,5.0,2024-05-13,2024-08-31T08:05:00,2025-04-27,Approved,"Capital Adequacy Monitoring Policy for Pragati Payments 3 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Brokerage operations and is maintained by the Legal team. Controls must be reviewed, documented, and approved according to internal governance standards.","Data Privacy,Capital Adequacy"
POL-000026,ORG-0003,Customer Complaint Handling Policy,Finance,Data Protection Officer,4.0,2024-06-18,2024-06-28T18:09:00,2025-05-05,Pending Review,"Customer Complaint Handling Policy for Pragati Payments 3 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Brokerage operations and is maintained by the Finance team. Controls must be reviewed, documented, and approved according to internal governance standards.","Trading Risk,Liquidity Risk"
POL-000027,ORG-0003,Disclosure and Investor Communication Policy,Legal,Auditor,1.0,2024-08-29,2024-11-02T09:46:00,2025-07-27,Approved,"Disclosure and Investor Communication Policy for Pragati Payments 3 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Brokerage operations and is maintained by the Legal team. Controls must be reviewed, documented, and approved according to internal governance standards.","Outsourcing,Capital Adequacy"
POL-000028,ORG-0003,Outsourcing Governance Policy,Trading Desk,Operations Lead,1.0,2024-06-12,2024-07-04T15:35:00,2025-08-31,Approved,"Outsourcing Governance Policy for Pragati Payments 3 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Brokerage operations and is maintained by the Trading Desk team. Controls must be reviewed, documented, and approved according to internal governance standards.","Operational Resilience,Customer Protection"
POL-000029,ORG-0003,Regulatory Reporting Policy,Trading Desk,Auditor,4.0,2025-12-24,2026-04-10T09:24:00,2026-10-22,Approved,"Regulatory Reporting Policy for Pragati Payments 3 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Brokerage operations and is maintained by the Trading Desk team. Controls must be reviewed, documented, and approved according to internal governance standards.","Data Privacy,Disclosure"
POL-000030,ORG-0003,Business Continuity and Resilience Policy,Security,Security Officer,3.0,2025-11-21,2026-02-15T14:34:00,2026-09-05,Approved,"Business Continuity and Resilience Policy for Pragati Payments 3 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Brokerage operations and is maintained by the Security team. Controls must be reviewed, documented, and approved according to internal governance standards.","Incident Management,Audit & Reporting"
POL-000031,ORG-0003,AML Transaction Monitoring Policy,Operations,Policy Owner,1.0,2025-09-15,2026-01-01T11:23:00,2026-09-12,Approved,"AML Transaction Monitoring Policy for Pragati Payments 3 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Brokerage operations and is maintained by the Operations team. Controls must be reviewed, documented, and approved according to internal governance standards.","KYC/AML,Audit & Reporting"
POL-000032,ORG-0003,Access Control and Review Policy,Finance,Auditor,5.0,2024-03-20,2024-04-16T15:12:00,2024-12-26,Approved,"Access Control and Review Policy for Pragati Payments 3 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Brokerage operations and is maintained by the Finance team. Controls must be reviewed, documented, and approved according to internal governance standards.","Disclosure,Cybersecurity"
POL-000033,ORG-0003,Third Party Risk Management Policy,Finance,Policy Owner,3.0,2025-10-31,2026-01-03T10:18:00,2026-10-15,Approved,"Third Party Risk Management Policy for Pragati Payments 3 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Brokerage operations and is maintained by the Finance team. Controls must be reviewed, documented, and approved according to internal governance standards.","Customer Protection,KYC/AML"
POL-000034,ORG-0004,Capital Adequacy Monitoring Policy,Risk,Security Officer,3.0,2025-11-02,2026-02-22T08:10:00,2026-10-19,Approved,"Capital Adequacy Monitoring Policy for Veda Finance 4 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Mutual Funds operations and is maintained by the Risk team. Controls must be reviewed, documented, and approved according to internal governance standards.","Outsourcing,Disclosure"
POL-000035,ORG-0004,Cyber Incident Response Policy,Compliance,Security Officer,4.0,2025-05-12,2025-07-15T08:19:00,2026-05-25,Approved,"Cyber Incident Response Policy for Veda Finance 4 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Mutual Funds operations and is maintained by the Compliance team. Controls must be reviewed, documented, and approved according to internal governance standards.","Incident Management,Cybersecurity"
POL-000036,ORG-0004,Liquidity Risk Monitoring Policy,Trading Desk,Operations Lead,5.0,2025-05-29,2025-09-15T15:45:00,2026-05-19,Pending Review,"Liquidity Risk Monitoring Policy for Veda Finance 4 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Mutual Funds operations and is maintained by the Trading Desk team. Controls must be reviewed, documented, and approved according to internal governance standards.","Capital Adequacy,Cybersecurity"
POL-000037,ORG-0004,Disclosure and Investor Communication Policy,Finance,Security Officer,2.0,2025-06-28,2025-10-02T09:09:00,2026-03-26,Approved,"Disclosure and Investor Communication Policy for Veda Finance 4 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Mutual Funds operations and is maintained by the Finance team. Controls must be reviewed, documented, and approved according to internal governance standards.","Liquidity Risk,Audit & Reporting"
POL-000038,ORG-0004,Model Risk Governance Policy,Operations,Admin,3.0,2025-06-11,2025-09-22T15:27:00,2026-03-20,Approved,"Model Risk Governance Policy for Veda Finance 4 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Mutual Funds operations and is maintained by the Operations team. Controls must be reviewed, documented, and approved according to internal governance standards.","KYC/AML,Cybersecurity"
POL-000039,ORG-0004,Outsourcing Governance Policy,Trading Desk,Compliance Officer,4.0,2025-01-10,2025-04-06T18:23:00,2025-12-10,Approved,"Outsourcing Governance Policy for Veda Finance 4 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Mutual Funds operations and is maintained by the Trading Desk team. Controls must be reviewed, documented, and approved according to internal governance standards.","Incident Management,Trading Risk"
POL-000040,ORG-0004,AML Transaction Monitoring Policy,IT,Policy Owner,1.0,2024-09-30,2024-11-16T13:26:00,2025-07-01,Approved,"AML Transaction Monitoring Policy for Veda Finance 4 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Mutual Funds operations and is maintained by the IT team. Controls must be reviewed, documented, and approved according to internal governance standards.","Trading Risk,Incident Management"
POL-000041,ORG-0004,Customer Complaint Handling Policy,Audit,Operations Lead,1.0,2024-04-24,2024-08-05T08:34:00,2025-07-27,Approved,"Customer Complaint Handling Policy for Veda Finance 4 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Mutual Funds operations and is maintained by the Audit team. Controls must be reviewed, documented, and approved according to internal governance standards.","Data Privacy,Cybersecurity"
POL-000042,ORG-0004,Access Control and Review Policy,Risk,Policy Owner,5.0,2024-05-09,2024-08-08T15:27:00,2025-09-19,Approved,"Access Control and Review Policy for Veda Finance 4 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Mutual Funds operations and is maintained by the Risk team. Controls must be reviewed, documented, and approved according to internal governance standards.","Customer Protection,Audit & Reporting"
POL-000043,ORG-0004,KYC and Customer Due Diligence Policy,IT,Data Protection Officer,2.0,2025-08-05,2025-08-20T09:20:00,2026-08-05,Approved,"KYC and Customer Due Diligence Policy for Veda Finance 4 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Mutual Funds operations and is maintained by the IT team. Controls must be reviewed, documented, and approved according to internal governance standards.","Audit & Reporting,Incident Management"
POL-000044,ORG-0005,Capital Adequacy Monitoring Policy,Legal,Legal Reviewer,1.0,2026-02-03,2026-05-16T18:47:00,2027-06-14,Approved,"Capital Adequacy Monitoring Policy for Aarohan Capital 5 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Insurance operations and is maintained by the Legal team. Controls must be reviewed, documented, and approved according to internal governance standards.","Disclosure,Cybersecurity"
POL-000045,ORG-0005,Outsourcing Governance Policy,Audit,Legal Reviewer,2.0,2024-09-24,2024-12-21T16:34:00,2026-01-25,Approved,"Outsourcing Governance Policy for Aarohan Capital 5 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Insurance operations and is maintained by the Audit team. Controls must be reviewed, documented, and approved according to internal governance standards.","Liquidity Risk,KYC/AML"
POL-000046,ORG-0005,Access Control and Review Policy,Audit,Auditor,3.0,2025-04-29,2025-08-14T14:17:00,2026-08-03,Approved,"Access Control and Review Policy for Aarohan Capital 5 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Insurance operations and is maintained by the Audit team. Controls must be reviewed, documented, and approved according to internal governance standards.","Data Privacy,Trading Risk"
POL-000047,ORG-0005,AML Transaction Monitoring Policy,Compliance,Security Officer,5.0,2025-09-11,2025-10-14T18:18:00,2026-08-16,Approved,"AML Transaction Monitoring Policy for Aarohan Capital 5 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Insurance operations and is maintained by the Compliance team. Controls must be reviewed, documented, and approved according to internal governance standards.","Operational Resilience,KYC/AML"
POL-000048,ORG-0005,Trading Limit and Surveillance Policy,Legal,Legal Reviewer,4.0,2024-10-08,2024-12-16T17:50:00,2025-12-14,Approved,"Trading Limit and Surveillance Policy for Aarohan Capital 5 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Insurance operations and is maintained by the Legal team. Controls must be reviewed, documented, and approved according to internal governance standards.","Operational Resilience,Liquidity Risk"
POL-000049,ORG-0005,Third Party Risk Management Policy,Data Governance,Risk Manager,1.0,2024-08-14,2024-11-10T12:46:00,2025-11-09,Approved,"Third Party Risk Management Policy for Aarohan Capital 5 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Insurance operations and is maintained by the Data Governance team. Controls must be reviewed, documented, and approved according to internal governance standards.","Customer Protection,Audit & Reporting"
POL-000050,ORG-0005,Disclosure and Investor Communication Policy,Audit,ML Reviewer,4.0,2024-12-02,2025-01-30T15:59:00,2026-01-18,Approved,"Disclosure and Investor Communication Policy for Aarohan Capital 5 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Insurance operations and is maintained by the Audit team. Controls must be reviewed, documented, and approved according to internal governance standards.","Capital Adequacy,Liquidity Risk"
POL-000051,ORG-0005,Liquidity Risk Monitoring Policy,Trading Desk,Data Protection Officer,3.0,2024-06-04,2024-10-01T19:31:00,2025-04-23,Approved,"Liquidity Risk Monitoring Policy for Aarohan Capital 5 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Insurance operations and is maintained by the Trading Desk team. Controls must be reviewed, documented, and approved according to internal governance standards.","Data Privacy,Incident Management"
POL-000052,ORG-0006,Third Party Risk Management Policy,Security,Operations Lead,3.0,2024-10-25,2024-12-31T18:29:00,2025-07-29,Approved,"Third Party Risk Management Policy for CapitalNest Finance 6 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Mutual Funds operations and is maintained by the Security team. Controls must be reviewed, documented, and approved according to internal governance standards.","Audit & Reporting,Data Privacy"
POL-000053,ORG-0006,Capital Adequacy Monitoring Policy,Data Governance,Security Officer,5.0,2025-08-01,2025-10-03T08:48:00,2026-07-09,Approved,"Capital Adequacy Monitoring Policy for CapitalNest Finance 6 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Mutual Funds operations and is maintained by the Data Governance team. Controls must be reviewed, documented, and approved according to internal governance standards.","Customer Protection,Operational Resilience"
POL-000054,ORG-0006,KYC and Customer Due Diligence Policy,IT,Security Officer,4.0,2024-05-14,2024-08-09T09:06:00,2025-05-20,Approved,"KYC and Customer Due Diligence Policy for CapitalNest Finance 6 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Mutual Funds operations and is maintained by the IT team. Controls must be reviewed, documented, and approved according to internal governance standards.","Cybersecurity,Audit & Reporting"
POL-000055,ORG-0006,Model Risk Governance Policy,Legal,Security Officer,3.0,2024-06-11,2024-08-30T14:22:00,2025-09-16,Approved,"Model Risk Governance Policy for CapitalNest Finance 6 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Mutual Funds operations and is maintained by the Legal team. Controls must be reviewed, documented, and approved according to internal governance standards.","Audit & Reporting,Trading Risk"
POL-000056,ORG-0006,Regulatory Reporting Policy,Data Governance,Risk Manager,3.0,2025-10-07,2026-01-10T18:40:00,2027-01-15,Approved,"Regulatory Reporting Policy for CapitalNest Finance 6 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Mutual Funds operations and is maintained by the Data Governance team. Controls must be reviewed, documented, and approved according to internal governance standards.","Outsourcing,Liquidity Risk"
POL-000057,ORG-0006,AML Transaction Monitoring Policy,Finance,Security Officer,5.0,2024-08-18,2024-10-30T15:18:00,2025-12-12,Expired,"AML Transaction Monitoring Policy for CapitalNest Finance 6 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Mutual Funds operations and is maintained by the Finance team. Controls must be reviewed, documented, and approved according to internal governance standards.","Data Privacy,Liquidity Risk"
POL-000058,ORG-0006,Customer Complaint Handling Policy,Security,ML Reviewer,4.0,2024-01-04,2024-04-29T13:48:00,2025-01-26,Approved,"Customer Complaint Handling Policy for CapitalNest Finance 6 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Mutual Funds operations and is maintained by the Security team. Controls must be reviewed, documented, and approved according to internal governance standards.","Incident Management,Cybersecurity"
POL-000059,ORG-0006,Trading Limit and Surveillance Policy,Audit,Security Officer,4.0,2025-10-30,2026-01-01T14:12:00,2027-01-05,Approved,"Trading Limit and Surveillance Policy for CapitalNest Finance 6 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Mutual Funds operations and is maintained by the Audit team. Controls must be reviewed, documented, and approved according to internal governance standards.","Operational Resilience,Data Privacy"
POL-000060,ORG-0006,Business Continuity and Resilience Policy,Audit,Risk Manager,5.0,2025-05-30,2025-08-24T17:46:00,2026-06-08,Expired,"Business Continuity and Resilience Policy for CapitalNest Finance 6 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Mutual Funds operations and is maintained by the Audit team. Controls must be reviewed, documented, and approved according to internal governance standards.","Capital Adequacy,Audit & Reporting"
POL-000061,ORG-0006,Access Control and Review Policy,Legal,Data Protection Officer,2.0,2025-08-05,2025-11-10T09:23:00,2026-05-07,Approved,"Access Control and Review Policy for CapitalNest Finance 6 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Mutual Funds operations and is maintained by the Legal team. Controls must be reviewed, documented, and approved according to internal governance standards.","Incident Management,Disclosure"
POL-000062,ORG-0006,Disclosure and Investor Communication Policy,IT,Policy Owner,5.0,2024-07-16,2024-09-22T13:46:00,2025-11-21,Approved,"Disclosure and Investor Communication Policy for CapitalNest Finance 6 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Mutual Funds operations and is maintained by the IT team. Controls must be reviewed, documented, and approved according to internal governance standards.","Customer Protection,Operational Resilience"
POL-000063,ORG-0007,Cyber Incident Response Policy,Trading Desk,Policy Owner,5.0,2024-09-04,2024-11-12T16:41:00,2025-06-29,Pending Review,"Cyber Incident Response Policy for Veda Payments 7 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Brokerage operations and is maintained by the Trading Desk team. Controls must be reviewed, documented, and approved according to internal governance standards.","Capital Adequacy,Data Privacy"
POL-000064,ORG-0007,Third Party Risk Management Policy,Trading Desk,Risk Manager,2.0,2026-01-09,2026-01-19T19:02:00,2027-03-29,Approved,"Third Party Risk Management Policy for Veda Payments 7 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Brokerage operations and is maintained by the Trading Desk team. Controls must be reviewed, documented, and approved according to internal governance standards.","Outsourcing,Customer Protection"
POL-000065,ORG-0007,AML Transaction Monitoring Policy,Risk,Legal Reviewer,4.0,2025-03-03,2025-06-12T16:07:00,2026-05-30,Approved,"AML Transaction Monitoring Policy for Veda Payments 7 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Brokerage operations and is maintained by the Risk team. Controls must be reviewed, documented, and approved according to internal governance standards.","Incident Management,Outsourcing"
POL-000066,ORG-0007,KYC and Customer Due Diligence Policy,Trading Desk,Compliance Officer,1.0,2025-05-07,2025-06-23T14:53:00,2026-08-30,Approved,"KYC and Customer Due Diligence Policy for Veda Payments 7 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Brokerage operations and is maintained by the Trading Desk team. Controls must be reviewed, documented, and approved according to internal governance standards.","KYC/AML,Capital Adequacy"
POL-000067,ORG-0007,Data Retention and Privacy Policy,IT,Data Protection Officer,4.0,2025-10-06,2025-12-09T09:06:00,2026-08-09,Pending Review,"Data Retention and Privacy Policy for Veda Payments 7 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Brokerage operations and is maintained by the IT team. Controls must be reviewed, documented, and approved according to internal governance standards.","Audit & Reporting,Cybersecurity"
POL-000068,ORG-0007,Regulatory Reporting Policy,Data Governance,Operations Lead,2.0,2025-02-26,2025-03-26T11:50:00,2026-03-26,Approved,"Regulatory Reporting Policy for Veda Payments 7 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Brokerage operations and is maintained by the Data Governance team. Controls must be reviewed, documented, and approved according to internal governance standards.","Cybersecurity,Capital Adequacy"
POL-000069,ORG-0007,Customer Complaint Handling Policy,Trading Desk,Data Protection Officer,1.0,2025-12-27,2026-04-12T11:48:00,2026-11-28,Approved,"Customer Complaint Handling Policy for Veda Payments 7 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Brokerage operations and is maintained by the Trading Desk team. Controls must be reviewed, documented, and approved according to internal governance standards.","Liquidity Risk,Customer Protection"
POL-000070,ORG-0007,Outsourcing Governance Policy,Trading Desk,Legal Reviewer,3.0,2025-12-17,2026-03-09T12:38:00,2026-09-22,Approved,"Outsourcing Governance Policy for Veda Payments 7 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to Brokerage operations and is maintained by the Trading Desk team. Controls must be reviewed, documented, and approved according to internal governance standards.","Data Privacy,Outsourcing"
